Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,21.26,21.26,20,766,2019 Futures,Auburn University Invite,US,UN,2/4/2018
50 FR,21.95,21.95,18,699,"""AAA""",2016 FG Senior Championships,FG,JDST,3/20/2016
50 FR,22.15r,22.15,16,723,"""AAA""",2014 FG FHSAA Swimming,FG,UN,11/7/2014
50 FR,22.16,22.16,15,775,"""AAA""",2013 FG Speedo Winter Championships,FG,JDST,11/21/2013
50 FR,22.21,22.21,15,770,"""AAA""",2013 FG Speedo Winter Championships,FG,JDST,11/21/2013
50 FR,22.29,22.29,18,667,"""AAA""",2016 FG Dragons Summer Short C,FG,JDST,6/25/2016
50 FR,22.34,22.34,17,678,"""AA""",2016 FG Tiger Sharks Invitatio,FG,JDST,1/30/2016
50 FR,22.37,22.37,17,676,"""AA""",2015 FG Speedo Winter Champion,FG,JDST,11/20/2015
50 FR,22.39,22.39,16,700,"""AAA""",2014 FG Speedo Winter Championships,FG,JDST,11/21/2014
50 FR,22.46,22.46,16,694,"""AAA""",2014 FG Speedo Winter Championships,FG,JDST,11/21/2014
50 FR,22.46r,22.46,16,694,"""AAA""",2014 FL FSPA High School Invite,FG,UN,9/27/2014
50 FR,22.57,22.57,17,657,"""AA""",2015 FG JDST Short Course Invi,FG,JDST,9/12/2015
50 FR,22.62r,22.62,16,679,"""AAA""",2014 FL FSPA High School Invite,FG,UN,9/27/2014
50 FR,23.12,23.12,17,606,"""AA""",2015 FG Wellington Winter Classic Meet,FG,JDST,2/14/2015
50 FR,23.20,23.20,17,598,"""AA""",2015 FG Tiger Sharks Winter Invitation,FG,JDST,1/31/2015
50 FR,23.36r,23.36,18,567,"""A""",2016 FG Senior Championships,FG,JDST,3/18/2016
50 FR,23.38,23.38,15,663,"""AA""",2013 FG Senior Championships,FG,JDST,3/22/2013
50 FR,23.53r,23.53,14,692,"""AAA""",2012 FG Speedo Winter Champs,FG,JDST,11/16/2012
50 FR,23.76,23.76,15,629,"""AA""",2013 FG Tiger Sharks Invititational,FG,JDST,2/1/2013
50 FR,23.96,23.96,14,654,"""AAA""",2012 FL vs. FGC All-Star Meet,FG,JDST,3/24/2012
50 FR,24.65,24.65,14,594,"""AA""",2012 FG Short Course Junior Ol,FG,JDST,3/9/2012
50 FR,24.76,24.76,13,666,"""AA""",2011 FG Speedo Winter Champs,FG,JDST,11/17/2011
50 FR,24.77,24.77,13,665,"""AA""",2011 FG Mike Horgan Memorial,FG,JDST,10/21/2011
50 FR,25.24,25.24,13,626,"""A""",2011 FG Speedo Winter Champs,FG,JDST,11/17/2011
50 FR,25.24,25.24,13,626,"""A""",2012 FG FG Invite,FG,JDST,1/20/2012
50 FR,25.68,25.68,13,589,"""A""",2011 FG Short Course Junior,FG,JDST,3/11/2011
50 FR,25.83r,25.83,13,576,"""A""",2011 FG Short Course Junior,FG,JDST,3/11/2011
50 FR,26.20,26.20,12,663,"""AA""",2010 FG Speedo Winter Champs,FG,JDST,11/19/2010
50 FR,26.20,26.20,12,663,"""AA""",2010 FG Speedo Winter Champs,FG,JDST,11/19/2010
50 FR,26.24r,26.24,12,660,"""AA""",2010 FG Speedo Winter Champs,FG,JDST,11/21/2010
50 FR,26.24r,26.24,12,660,"""AA""",2010 FG Speedo Winter Champs,FG,JDST,11/21/2010
50 FR,26.28,26.28,12,657,"""AA""",2010 FG A-Invitational,FG,JDST,10/23/2010
50 FR,26.31,26.31,12,655,"""AA""",2010 FG Invitational,FG,JDST,9/25/2010
50 FR,26.31,26.31,12,655,"""AA""",2010 FG Invite-MCA-092510,FG,JDST,9/25/2010
50 FR,26.48,26.48,12,642,"""AA""",2010 FG Speedo Winter Champs,FG,JDST,11/19/2010
50 FR,26.48,26.48,12,642,"""AA""",2010 FG Speedo Winter Champs,FG,JDST,11/19/2010
50 FR,27.32,27.32,12,582,"""AA""",2010 FG Junior Olympic Champs,FG,JDST,3/11/2010
50 FR,27.38,27.38,11,701,"""AA""",2009 FG Short Course JO,FG,JDST,3/26/2009
50 FR,27.39,27.39,11,700,"""AA""",2009 FG Speedo Winter Champs,FG,JDST,11/19/2009
50 FR,27.53r,27.53,11,690,"""A""",2009 FG Short Course JO,FG,JDST,3/28/2009
50 FR,27.75,27.75,12,551,"""A""",2010 FL vs. FGC All-Star Meet,FG,JDST,4/10/2010
50 FR,28.14,28.14,11,648,"""A""",2009 FG Fall Invite,FG,JDST,9/25/2009
50 FR,28.59,28.59,10,710,"""AAA""",2008 FG Winter Invite,FG,JDST,11/20/2008
50 FR,28.76,28.76,11,605,"""BB""",2009 FG ABC Invite,FG,JDST,2/27/2009
50 FR,28.89,28.89,10,692,"""AAA""",2008 FG Winter Invite,FG,JDST,11/20/2008
50 FR,28.96,28.96,10,687,"""AAA""",2008 FG 'A' Invitational - 091,FG,JDST,9/12/2008
50 FR,29.00,29.00,11,589,"""BB""",2009 FG Palm Beach County Holiday,FG,JDST,12/12/2009
50 FR,29.33,29.33,10,665,"""AAA""",2008 FG Junior Olympic Champs,FG,JDST,2/28/2008
50 FR,29.67,29.67,10,644,"""AA""",2008 FG Junior Olympic Champs,FG,JDST,2/28/2008
50 FR,29.70,29.70,10,642,"""AA""",2008 FL vs. FGC All-Star Meet,FG,JDST,3/29/2008
50 FR,30.03,30.03,10,623,"""AA""",2008 FL vs. FGC All-Star Meet,FG,JDST,3/30/2008
50 FR,30.68,30.68,10,584,"""AA""",2008 FG FGC Open Invitational,FG,JDST,2/8/2008
50 FR,31.12r,31.12,10,558,"""A""",2008 FG FGC Open Invitational,FG,JDST,2/9/2008
50 FR,31.32,31.32,9,658,"""A""",2007 FG FGC ABC Invitational Top 16,FG,JDST,10/5/2007
50 FR,31.47,31.47,9,649,"""A""",2007 FG Top 16 Invitational,FG,JDST,9/14/2007
50 FR,31.94,31.94,9,623,"""BB""",2008 FG ABC Invite,FG,JDST,1/25/2008
50 FR,32.08,32.08,9,615,"""BB""",2007 FG Palm Beach County,FG,JDST,8/25/2007
50 FR,33.51,33.51,9,536,"""BB""",2007 FG Division II North Champ,FG,JDST,3/2/2007
50 FR,33.52,33.52,9,535,"""BB""",2007 FG Junior Olympics,FG,JDST,3/15/2007
50 FR,33.86,33.86,9,517,"""BB""",2007 FG Division II North Champ,FG,JDST,3/2/2007
50 FR,35.12,35.12,9,450,"""BB""",2007 FG Palm Beach Sub-JO,FG,JDST,2/17/2007
50 FR,38.34,38.34,8,289,"""B""",Palm Bch. County Sub JO Meet,FG,JDST,10/21/2006
50 FR,39.14,39.14,8,252,"""B""",2006 FG Holiday 8 & Und. and PB Cou,FG,JDST,12/9/2006
50 FR,39.33,39.33,8,243,"""Slower than B""",2006 FG County Sub JO Meet,FG,JDST,11/11/2006
50 FR,39.82,39.82,8,221,"""Slower than B""",2006 FG SAS Palm Beach County Sun,FG,JDST,9/30/2006
