Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,26.33,26.33,22,550,"""A""",2017OB UNLV INVITE,US,UN,11/16/2017
50 FR,26.95,26.95,17,497,"""A""",2012 CA LKWD-TRI-MEET,CA,LKWD,10/27/2012
50 FR,27.19,27.19,16,491,"""A""",2012 CA Cerritos Aquatic Club,CA,LKWD,1/14/2012
50 FR,27.32,27.32,16,480,"""A""",2011 CA ZAP Spooktacular BRW S,CA,LKWD,10/8/2011
50 FR,27.36,27.36,16,477,"""A""",2011 CA Lakewood-Trident-ZAP Hallowee,CA,LKWD,10/29/2011
50 FR,27.41,27.41,16,472,"""A""",2012 CA Metro Committee Spring,CA,LKWD,2/19/2012
50 FR,27.52,27.52,16,463,"""A""",2011 CA Cerritos Aquatic Club,CA,LKWD,11/19/2011
50 FR,27.94,27.94,16,429,"""A""",2012 CA LKWD-TRID-ZAP-SCAL,CA,LKWD,1/7/2012
50 FR,28.05,28.05,15,423,"""BB""",2010 CA - Lakewood Aquatics Oc,CA,LKWD,10/9/2010
50 FR,28.14,28.14,22,399,"""BB""",2017 PCSC Pentathlon,US,UN,10/7/2017
50 FR,28.28,28.28,15,405,"""BB""","2011 CA Downey B,R,W SC Meet",CA,LKWD,1/15/2011
50 FR,28.43,28.43,15,393,"""BB""",2010 CA MVN Turkey BR Meet,CA,LKWD,11/19/2010
50 FR,28.81,28.81,14,393,"""BB""",2009 CA Downey Dolphins Octobe,CA,LKWD,10/10/2009
50 FR,29.23,29.23,13,415,"""BB""",2009 CA METRO COMM SPRING CHAM,CA,LKWD,2/21/2009
50 FR,29.23,29.23,13,415,"""BB""",2009 CA METRO COMM SPRING CHAM,CA,LKWD,2/21/2009
50 FR,29.38,29.38,14,350,"""BB""","2010 CA Downey  B,R,W SC Meet",CA,LKWD,1/9/2010
50 FR,29.69,29.69,14,327,"""BB""",2009 CA Lakewood Halloween,CA,LKWD,10/31/2009
50 FR,29.80,29.80,13,372,"""BB""",2009 CA Barracuda Aquatic Club,CA,LKWD,1/17/2009
50 FR,30.39,30.39,13,329,"""BB""",2008 CA Metro Committee-Max Ch,CA,LKWD,12/6/2008
50 FR,30.86,30.86,13,296,"""BB""",2009 CA ZAP/ Lakewood/ Century,CA,LKWD,3/14/2009
50 FR,31.91,31.91,13,226,"""B""",2008 CA SFSA Fall,CA,LKWD,9/20/2008
50 FR,32.05,32.05,12,291,"""BB""",2008 CA PVST Pres Day Meet,CA,LKWD,2/16/2008
50 FR,32.17,32.17,13,210,"""B""",2008 CA Cerritos Aquatic Club,CA,LKWD,11/22/2008
50 FR,33.32r,33.32,12,216,"""B""",2008 CA PVST Pres Day Meet,CA,LKWD,2/17/2008
50 FR,36.10,36.10,12,80,"""Slower than B""",2007 CA CERR Fall SC--3rd Corr,CA,LKWD,11/17/2007
