Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,21.03,21.03,18,789,"""AAAA""",2015 ACC Men's Championship,FL,UN,2/26/2015
50 FR,21.31,21.31,21,761,2019 Futures,Texas Hall of Fame Swimming In,WI,UN,11/30/2017
50 FR,21.33,21.33,18,759,2019 Futures,UGA Fall Invitational 2014,US,UN,12/5/2014
50 FR,21.65,21.65,21,728,"""AAA""",Auburn vs Tennessee vs Wiscons,WI,UN,10/13/2017
50 FR,21.77,21.77,18,717,"""AAA""",2014 Georgia Tech Fall Invitat,US,UN,11/20/2014
50 FR,22.05,22.05,18,690,"""AAA""",2014 All Florida Invitational,US,UN,10/3/2014
100 FR,44.29,44.29,19,874,2019 Summer Juniors (LCM),2016 Men's B1G S&D,WI,UN,2/27/2016
100 FR,44.35,44.35,21,871,2019 Summer Juniors (LCM),2018 Men's B1G Swimming & Divi,US,UN,2/24/2018
100 FR,44.40,44.40,19,868,2019 Summer Juniors (LCM),2016 Men's B1G S&D,WI,UN,2/27/2016
100 FR,44.82,44.82,20,845,2018 Winter Juniors (SCY),2017 MEN'S B1G,US,UN,2/25/2017
100 FR,45.30,45.30,19,820,2018 Winter Juniors (SCY),Texas Swimming & Diving Hall o,FL,UN,12/5/2015
100 FR,45.32,45.32,18,819,2018 Winter Juniors (SCY),2015 ACC Men's Championship,FL,UN,2/28/2015
100 FR,45.53,45.53,21,807,"""AAAA""",Texas Hall of Fame Swimming In,WI,UN,12/2/2017
100 FR,45.56,45.56,20,806,2018 Winter Juniors (SCY),Texas Hall of Fame Swimming In,WI,UN,12/3/2016
100 FR,45.61,45.61,18,803,2018 Winter Juniors (SCY),UGA Fall Invitational 2014,US,UN,12/7/2014
100 FR,45.82,45.82,19,792,2019 Futures,Texas Swimming & Diving Hall o,FL,UN,12/5/2015
100 FR,45.82,45.82,21,792,"""AAAA""",2018 Shamrock Invite,US,UN,1/27/2018
100 FR,46.14,46.14,21,775,2019 Futures,USC v Wisconsin,US,UN,1/15/2018
100 FR,46.33,46.33,18,765,2019 Futures,FSU vs. Florida Southern,US,UN,11/7/2014
100 FR,46.40,46.40,21,762,2019 Futures,Wisconsin vs. NC State,WI,UN,10/28/2017
100 FR,46.42r,46.42,18,761,2019 Futures,2015 FL ATAC Mac Crutchfield Inivtiati,FL,FSU,1/24/2015
100 FR,46.50,46.50,20,757,"""AAA""",USC vs Wisconsin (M & W),US,UN,1/13/2017
100 FR,46.50,46.50,20,757,"""AAA""",USC vs Wisconsin (M & W),US,UN,1/13/2017
100 FR,46.74,46.74,21,744,"""AAA""",Auburn vs Tennessee vs Wiscons,WI,UN,10/13/2017
100 FR,46.85r,46.85,20,738,"""AAA""",Shamrock Invite 2017,US,UN,1/28/2017
100 FR,46.85,46.85,18,738,"""AAA""",2014 Georgia Tech Fall Invitat,US,UN,11/22/2014
100 FR,46.86,46.86,18,738,"""AAA""",2015 FL ATAC Mac Crutchfield Inivtiati,FL,FSU,1/24/2015
100 FR,47.14,47.14,20,724,"""AAA""",Shamrock Invite 2017,US,UN,1/28/2017
100 FR,47.26,47.26,18,717,"""AAA""",2014 All Florida Invitational,US,UN,10/5/2014
100 FR,47.40,47.40,18,710,"""AAA""",2014 All Florida Invitational,US,UN,10/5/2014
100 FR,47.86,47.86,20,687,"""AAA""",North Carolina State  vs Minnesota,WI,UN,10/22/2016
