Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,24.40,24.40,20,728,"""AAA""",2017 RMAC Championships,US,UN,2/8/2017
50 FR,24.48,24.48,19,720,"""AAA""",2016 CA OB CCC-AA State Meet,CA,UN,5/5/2016
50 FR,24.52,24.52,19,716,"""AAA""",2016 CA OB CCC-AA State Meet,CA,UN,5/5/2016
50 FR,24.54,24.54,20,714,"""AAA""",2017 RMAC Championships,US,UN,2/8/2017
50 FR,24.70r,24.70,20,699,"""AA""",2017 RMAC Championships,US,UN,2/8/2017
50 FR,24.81,24.81,18,689,"""AAA""",2015 CA OB CCC-COA_AA State Meet,CA,UN,4/30/2015
50 FR,24.81,24.81,18,689,"""AAA""",2015 CA OB CCC-COA_AA State Meet,CA,UN,4/30/2015
50 FR,24.87,24.87,21,683,"""AA""",2018 RMAC Championships,US,UN,2/14/2018
50 FR,24.88,24.88,20,682,"""AA""",2016 UNLV INVITE,CA,UN,12/1/2016
50 FR,24.94,24.94,18,676,"""AAA""",2015 CA OB CCC-COA_AA State Meet,CA,UN,4/30/2015
50 FR,24.94,24.94,18,676,"""AAA""",2015 CA OB CCC-COA_AA State Meet,CA,UN,4/30/2015
50 FR,25.00,25.00,21,671,"""AA""",2018 RMAC Championships,US,UN,2/14/2018
50 FR,25.10,25.10,20,661,"""AA""",2016 UNLV INVITE,CA,UN,12/1/2016
50 FR,25.17,25.17,17,655,"""AAA""",2014 CA OB CIF-LA City Champs,CA,UN,5/20/2014
50 FR,25.17,25.17,17,655,"""AAA""",2014 CA OB CIF-LA City Champs,CA,UN,5/20/2014
50 FR,25.35,25.35,20,638,"""AA""",2017OB UNLV INVITE,CA,UN,11/16/2017
50 FR,25.36,25.36,21,637,"""AA""",2017 CBU Lancers Swim Dive Inv,CA,UN,12/15/2017
50 FR,25.50,25.50,15,642,"""AAA""",2012 CA OB CIF LA City Championships,CA,UN,5/15/2012
