Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,22.38,22.38,23,929,2019 Summer Nationals (LCM),2017 MPSF Swim & Dive Champs,HI,UN,2/16/2017
50 FR,22.48,22.48,23,919,2019 Summer Nationals (LCM),2017 Bulldog Invitational,HI,UN,2/25/2017
50 FR,22.50,22.50,23,917,2017 US Open,2016 A3 Performance Invitation,US,UN,11/17/2016
50 FR,22.53,22.53,21,913,2019 Summer Juniors (LCM),2015 Division II Men's & Women,US,UN,3/11/2015
50 FR,22.55,22.55,23,911,2017 US Open,2017 Bulldog Invitational,HI,UN,2/25/2017
50 FR,22.60r,22.60,21,906,2019 Summer Juniors (LCM),2015 Division II Men's & Women,US,UN,3/12/2015
50 FR,22.60,22.60,21,906,2019 Summer Juniors (LCM),2015 Division II Men's & Women,US,UN,3/11/2015
50 FR,22.61r,22.61,23,905,2017 US Open,2017 MPSF Swim & Dive Champs,HI,UN,2/16/2017
50 FR,22.62,22.62,23,904,2017 US Open,2017 NCAA DI Women's,HI,UN,3/16/2017
50 FR,22.65,22.65,23,901,2017 US Open,2016 A3 Performance Invitation,US,UN,11/17/2016
50 FR,22.69r,22.69,21,897,2019 Summer Juniors (LCM),2015 Division II Men's & Women,US,UN,3/12/2015
50 FR,22.86,22.86,23,880,2019 Summer Juniors (LCM),2017 MPSF Swim & Dive Champs,HI,UN,2/16/2017
50 FR,22.90,22.90,24,876,2018 Winter Juniors (SCY),2018 MPSF Swim & Dive Champs,US,UN,2/15/2018
50 FR,22.94r,22.94,24,872,2018 Winter Juniors (SCY),2018 MPSF Swim & Dive Champs,US,UN,2/15/2018
50 FR,22.98,22.98,25,868,2018 Winter Juniors (SCY),Art Adamson Invitational,HI,UN,11/14/2018
50 FR,23.05,23.05,23,860,2018 Winter Juniors (SCY),2017 Bulldog Invitational,HI,UN,2/25/2017
50 FR,23.09,23.09,25,856,2018 Winter Juniors (SCY),Art Adamson Invitational,HI,UN,11/14/2018
50 FR,23.15r,23.15,25,850,2018 Winter Juniors (SCY),Art Adamson Invitational,HI,UN,11/14/2018
50 FR,23.19,23.19,24,846,2018 Winter Juniors (SCY),2018 MPSF Swim & Dive Champs,US,UN,2/15/2018
50 FR,23.27,23.27,24,838,2018 Winter Juniors (SCY),Art Adamson Invitational Worki,HI,UN,11/16/2017
50 FR,23.27,23.27,24,838,2018 Winter Juniors (SCY),Art Adamson Invitational Worki,HI,UN,11/16/2017
50 FR,23.85r,23.85,24,781,2019 Futures,"Hawaii, Minnesota, Drury",US,UN,1/6/2018
50 FR,23.91,23.91,21,775,"""AAAA""",2014 All Florida Invitational,FG,UN,10/3/2014
50 FR,23.94,23.94,24,772,2019 Futures,"Hawaii, Minnesota, Drury",US,UN,1/6/2018
50 FR,24.13,24.13,21,754,"""AAA""",2014 All Florida Invitational,FG,UN,10/3/2014
