Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,22.08r,22.08,17,703,"""AAA""",2014 PV RMSC Holiday Invitational,VA,WAC,12/13/2014
50 FR,22.31r,22.31,17,681,"""AA""",2015 VA SC SR Championships,VA,WAC,3/7/2015
50 FR,22.54,22.54,17,660,"""AA""",2014 VA WAC Fall Classic,VA,WAC,11/16/2014
50 FR,22.62,22.62,17,652,"""AA""",2014 VA PSDN October Pumpkin P,VA,WAC,10/12/2014
50 FR,22.85,22.85,16,658,"""AA""",2013 VA October Pumpkin Plunge,VA,WAC,10/18/2013
50 FR,22.91r,22.91,16,652,"""AA""",2014 VA SC SR Championships,VA,WAC,3/8/2014
50 FR,22.93,22.93,15,704,"""AA""",2012 NC RSA Reindeer Meet,VA,WAC,11/30/2012
50 FR,23.09,23.09,17,608,"""AA""",2015 VA Williamsburg AC Polar,VA,WAC,1/25/2015
50 FR,23.47,23.47,15,655,"""AA""",2012 VA WAC Snowman Winter Plu,VA,WAC,12/15/2012
50 FR,23.55r,23.55,15,648,"""AA""",2012 VA WAC Snowman Winter Plu,VA,WAC,12/15/2012
50 FR,23.60r,23.60,17,562,"""A""",2014 VA WAC Fall Classic,VA,WAC,11/16/2014
50 FR,23.89r,23.89,14,660,"""AAA""",2012 VA SC Age Group Champs,VA,WAC,3/10/2012
50 FR,23.96r,23.96,16,557,"""A""",2013 VA SEVA A/BB/B/C Meet,VA,WAC,10/12/2013
50 FR,23.98,23.98,15,609,"""A""",2012 VA TIDE-TAC Speedo Monste,VA,WAC,10/26/2012
50 FR,24.39,24.39,14,616,"""AA""",2011 NC RSA Reindeer Meet,VA,WAC,12/2/2011
50 FR,24.42,24.42,14,614,"""AA""",2012 VA ODAC SE District Age G,VA,WAC,2/3/2012
50 FR,24.48,24.48,14,609,"""AA""",2011 VA 3rd Carl Warner Memori,VA,WAC,11/13/2011
50 FR,24.88,24.88,14,574,"""AA""",2011 VA WAC Invitational  Head,VA,WAC,9/24/2011
50 FR,25.97,25.97,13,565,"""A""",2011 VA Tidewater Region Champ,VA,WAC,2/25/2011
50 FR,27.02,27.02,13,480,"""BB""",2010 VA Wac Fall Classic,VA,WAC,11/6/2010
50 FR,27.15r,27.15,13,470,"""BB""",2010 VA Wac Fall Classic,VA,WAC,11/7/2010
50 FR,28.62,28.62,12,490,"""BB""",2010 VA Tidewater Region Championships,VA,WAC,2/26/2010
50 FR,28.72r,28.72,12,483,"""BB""",2010 VA Tidewater Region Championships,VA,WAC,2/27/2010
