Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,21.53,21.53,16,782,"""AAAA""",2013 OH MAKO Holiday Spirit In,OH,WTRC,12/13/2013
50 FR,21.60r,21.60,17,749,"""AAA""",2014 IN OLY Winter invite,OH,DR,12/4/2014
50 FR,21.66r,21.66,20,727,"""AAA""",2017 Bearcat Midseason Invitat,IN,UN,11/16/2017
50 FR,21.66r,21.66,20,727,"""AAA""",2017 Bearcat Midseason Invitat,IN,UN,11/16/2017
50 FR,21.88,21.88,18,706,"""AAA""",2015 IN OLY Winter invite,OH,DR,12/5/2015
50 FR,21.93,21.93,17,717,"""AAA""",2014 IN Carmel Swim Club Fall Fre,OH,UN,11/9/2014
50 FR,21.94,21.94,16,743,"""AAA""",2014 FL AP NCSA Spring Championship,OH,WTRC,3/18/2014
50 FR,21.94,21.94,17,716,"""AAA""",2014 IN OLY Winter invite,OH,DR,12/6/2014
50 FR,21.97,21.97,16,740,"""AAA""",2013 OH MAKO Holiday Spirit In,OH,WTRC,12/13/2013
50 FR,22.07,22.07,17,704,"""AAA""",2015 OH OB SW Ohio Classic Fin,OH,UN,1/17/2015
50 FR,22.13,22.13,17,698,"""AAA""",2014 IN OLY Winter invite,OH,DR,12/6/2014
50 FR,22.22,22.22,21,674,"""AA""",2018 Akron Zips Classic,OH,UN,10/12/2018
50 FR,22.27,22.27,18,669,"""AAA""",2015 IN OLY Winter invite,OH,DR,12/5/2015
50 FR,22.31,22.31,18,665,"""AA""",2016 NCSA Spring Championship,OH,DR,3/19/2016
50 FR,22.34r,22.34,20,662,"""AA""",University of Cincinnati vs UI,IN,UN,10/6/2017
50 FR,22.38,22.38,18,658,"""AA""",2015 IN CSC Fall Frenzy,OH,DR,11/8/2015
50 FR,22.38r,22.38,15,755,"""AAA""",2013 LE OHSA States,OH,UN,2/22/2013
50 FR,22.65,22.65,17,649,"""AA""",2015 FL NCSA Spring Champs,OH,DR,3/21/2015
50 FR,22.84,22.84,16,658,"""AA""",2013 NI - CAN-AM CHALLENGE,OH,WTRC,10/18/2013
50 FR,22.92,22.92,14,747,"""AAAA""",2011 OH MAKO Holiday Spirit In,OH,WTRC,12/9/2011
50 FR,23.09,23.09,15,689,"""AA""",2012 OH MAKO Holiday Spirit In,OH,WTRC,12/7/2012
50 FR,23.13r,23.13,14,728,"""AAA""",2011 OH MAKO Holiday Spirit In,OH,WTRC,12/10/2011
50 FR,23.14r,23.14,14,727,"""AAA""",2012 OH SW SC Regionals KCST,OH,WTRC,2/18/2012
50 FR,23.16,23.16,17,602,"""AA""",2014 OH DR Gunnar Listerman Me,OH,UN,11/16/2014
50 FR,23.17r,23.17,15,682,"""AA""",2012 OH MAKO Holiday Spirit In,OH,WTRC,12/8/2012
50 FR,23.23,23.23,14,719,"""AAA""",2011 OH MAKO Holiday Spirit In,OH,WTRC,12/9/2011
50 FR,23.25,23.25,16,621,"""AA""",2013 OH DR Jarnagin Memorial,OH,WTRC,11/15/2013
50 FR,23.26,23.26,15,674,"""AA""",2012 OH AP WTRC Andrew Worley,OH,WTRC,10/12/2012
50 FR,23.46r,23.46,15,656,"""AA""",2012 OH KCST Lunsford Memorial,OH,WTRC,11/4/2012
50 FR,23.49,23.49,16,599,"""AA""",2013 OH AP WTRC Andrew Worley,OH,WTRC,10/11/2013
50 FR,23.51r,23.51,16,597,"""AA""",2013 OH DR Jarnagin Memorial,OH,WTRC,11/16/2013
50 FR,23.51,23.51,15,651,"""AA""",2012 IN FWA Fall Classic,OH,WTRC,10/26/2012
50 FR,23.52,23.52,14,693,"""AAA""",2011 OH AP WTRC Andrew Worley Mem,OH,WTRC,10/14/2011
50 FR,23.58r,23.58,15,645,"""AA""",2012 OH AP WTRC Andrew Worley,OH,WTRC,10/14/2012
50 FR,23.63,23.63,14,683,"""AAA""",2012 OH KCST Bischoff Medals T,OH,WTRC,1/20/2012
