Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,22.36,22.36,20,931,2017 US Open,2018 ACC Women's Championship,NC,UN,2/15/2018
50 FR,22.47,22.47,19,920,2019 Summer Nationals (LCM),2017 ACC Women's Champs tt,NC,UN,2/14/2017
50 FR,22.55,22.55,21,911,2017 US Open,2018 IU Invitational,NC,UN,11/15/2018
50 FR,22.60r,22.60,20,906,2017 US Open,2018 ACC Women's Championship,NC,UN,2/15/2018
50 FR,22.66,22.66,21,900,2017 US Open,2018 IU Invitational,NC,UN,11/15/2018
50 FR,22.69,22.69,20,897,2017 US Open,2018 ACC Women's Championship,NC,UN,2/15/2018
50 FR,22.83,22.83,20,883,2018 Winter Nationals (LCM),Ohio State Invitational,NC,UN,11/17/2017
50 FR,22.94,22.94,20,872,2018 Winter Juniors (SCY),Ohio State Invitational,NC,UN,11/17/2017
50 FR,23.41,23.41,17,824,2018 Winter Juniors (SCY),2014 FL CAT Jingle Bell Meet,FL,T2,12/12/2014
50 FR,23.55,23.55,16,825,2019 Futures,2013 FHSAA Swimming Championship-3A,FL,UN,11/15/2013
50 FR,23.63,23.63,15,820,2019 Futures,2013 FL Spring Senior Champion,FL,T2,2/21/2013
50 FR,23.64r,23.64,19,801,2019 Futures,Wisconsin vs. NC State,NC,UN,10/27/2017
50 FR,23.73r,23.73,20,793,2019 Futures,Duke University vs NC State Un,NC,UN,10/20/2018
50 FR,23.77r,23.77,19,789,2019 Futures,North Carolina State  vs Univ.,NC,UN,1/28/2017
50 FR,23.87,23.87,16,794,2019 Futures,2013 FL CAT Jingle Bell Meet,FL,T2,12/13/2013
50 FR,23.89,23.89,14,826,2019 Futures,2012 FHSAA 2A Swimming,FL,UN,11/8/2012
50 FR,23.93,23.93,16,788,2019 Futures,2013 FHSAA Swimming Championship-3A,FL,UN,11/15/2013
50 FR,23.97,23.97,16,784,2019 Futures,2014 FL Spring Senior Champion,FL,T2,2/27/2014
50 FR,23.99,23.99,17,767,"""AAAA""",2014 FL CAT Jingle Bell Meet,FL,T2,12/12/2014
50 FR,24.08,24.08,16,773,2019 Futures,2014 FL Spring Senior Champion,FL,T2,2/27/2014
50 FR,24.13,24.13,15,771,"""AAAA""",2013 FHSAA 3A Region 3,FL,UN,11/9/2013
50 FR,24.18,24.18,17,749,"""AAA""",2015 FL T2 Aquatics Naples Open,FL,T2,1/18/2015
50 FR,24.24,24.24,15,761,"""AAAA""",2013 FL FSPA Invitational,FL,UN,9/28/2013
50 FR,24.26,24.26,17,741,"""AAA""",2015 FL T2 Aquatics Naples Open,FL,T2,1/18/2015
50 FR,24.28,24.28,14,788,"""AAAA""",2012 FHSAA - 2A Region 4,FL,UN,11/1/2012
50 FR,24.28,24.28,14,788,"""AAAA""",2012 FHSAA 2A Swimming,FL,UN,11/8/2012
50 FR,24.33,24.33,16,749,"""AAA""",2013 FL CAT Jingle Bell Meet,FL,T2,12/13/2013
50 FR,24.37,24.37,14,779,"""AAAA""",2012 FL Swimming Age Groups Ch,FL,T2,3/8/2012
50 FR,24.37,24.37,14,779,"""AAAA""",2012 FL Swimming Age Groups Ch,FL,T2,3/8/2012
50 FR,24.37,24.37,15,748,"""AAA""",2013 FHSAA 3A District 9,FL,UN,10/30/2013
50 FR,24.37,24.37,15,748,"""AAA""",2013 FHSAA 3A District 9,FL,UN,10/30/2013
50 FR,24.39r,24.39,16,743,"""AAA""",2014 FL Spring Senior Champion,FL,T2,2/28/2014
50 FR,24.43,24.43,16,739,"""AAA""",2014 FL Tarpon Invite,FL,UN,9/20/2014
50 FR,24.53,24.53,15,733,"""AAA""",2013 FL FSPA Invitational,FL,UN,9/28/2013
50 FR,24.58,24.58,15,728,"""AAA""",2013 FL Spring Senior Champion,FL,T2,2/21/2013
50 FR,24.59,24.59,14,758,"""AAAA""",2012 FSPA Invitational Meet,FL,UN,10/6/2012
50 FR,24.61,24.61,14,756,"""AAAA""",2012 FHSAA - 2A Region 4,FL,UN,11/1/2012
50 FR,24.66,24.66,14,752,"""AAAA""",2012 FSPA Invitational Meet,FL,UN,10/6/2012
50 FR,24.67,24.67,14,751,"""AAAA""",2012 FL Swimming Age Groups Ch,FL,T2,3/8/2012
50 FR,24.67,24.67,14,751,"""AAAA""",2012 FL Swimming Age Groups Ch,FL,T2,3/8/2012
50 FR,24.78,24.78,14,740,"""AAA""",2012 - FHSAA - 2A District 10,FL,UN,10/25/2012
50 FR,24.81,24.81,14,737,"""AAA""",2012 - FHSAA - 2A District 10,FL,UN,10/25/2012
50 FR,24.92,24.92,15,696,"""AAA""",2013 FL T2 Aquatics Naples Open,FL,T2,1/19/2013
50 FR,24.95,24.95,15,693,"""AAA""",2013 FL FHSAA - Tarpon Invite,FL,UN,9/21/2013
50 FR,25.41,25.41,15,650,"""AA""",2013 FL T2 Aquatics Naples Open,FL,T2,1/19/2013
50 FR,26.07,26.07,13,678,"""AAA""",2011 FL Swimming Age Groups Ch,FL,T2,2/17/2011
50 FR,26.23,26.23,13,664,"""AAA""",2010 FL CAT Jingle Bell Meet,FL,T2,12/3/2010
50 FR,26.47,26.47,13,642,"""AA""",2010 FL CAT Jingle Bell Meet,FL,T2,12/3/2010
50 FR,27.16,27.16,12,635,"""AA""",2010 FL Swim Florida Fall Meet,FL,T2,10/15/2010
50 FR,27.16,27.16,12,635,"""AA""",2010 FL Swim Florida Fall Meet,FL,T2,10/15/2010
50 FR,27.22,27.22,13,577,"""AA""",2011 FL GCST Winter Open Meet,FL,T2,1/22/2011
50 FR,27.68,27.68,13,539,"""A""",2010 FL SYS Turkey Meet,FL,T2,11/19/2010
50 FR,27.68,27.68,13,539,"""A""",2010 FL SYS Turkey Meet,FL,T2,11/19/2010
50 FR,29.51,29.51,12,459,"""BB""",2010 FL Last Chance CCS Winter Series,FL,SWIM,1/30/2010
50 FR,29.89,29.89,12,432,"""BB""",2010 FL GCST Tri Meet,FL,SWIM,2/5/2010
50 FR,30.36,30.36,12,400,"""BB""",2010 FL Area 3-5 Champs,FL,SWIM,3/19/2010
50 FR,30.89,30.89,12,364,"""BB""",2009 FL Sarasota YMCA Sharks,FL,SWIM,11/20/2009
50 FR,30.92r,30.92,12,362,"""BB""",2009 FL Sarasota YMCA Sharks,FL,SWIM,11/21/2009
50 FR,31.82,31.82,12,305,"""BB""",2010 FL GCST Winter Invite,FL,SWIM,1/16/2010
50 FR,32.80,32.80,11,324,"""B""",2009 FL Area 3-5 Championships,FL,SWIM,7/31/2009
50 FR,36.78,36.78,10,232,"""B""",2008 FL Swim Florida Sept Inv,FL,SWIM,9/20/2008
50 FR,37.08,37.08,10,218,"""B""",2008 FL Swim Florida Naples YMCA,FL,SWIM,10/3/2008
100 FR,48.52r,48.52,20,941,2019 Summer Nationals (LCM),2018 NCAA DI Women's Swimming,NC,UN,3/17/2018
100 FR,48.83r,48.83,20,925,2019 Summer Nationals (LCM),2018 NCAA DI Women's Swimming,NC,UN,3/17/2018
100 FR,49.19,49.19,16,920,2019 Summer Juniors (LCM),2014 FG FHSAA Swimming,FL,UN,11/8/2014
100 FR,49.50r,49.50,18,888,2019 Summer Juniors (LCM),2016 CCSA Swimming and Diving,FL,UN,2/20/2016
100 FR,49.55,49.55,19,886,2017 US Open,NC STATE GAC Invitational,NC,UN,11/19/2016
100 FR,49.61,49.61,16,898,2019 Summer Juniors (LCM),2014 FG FHSAA Swimming,FL,UN,11/8/2014
100 FR,49.71,49.71,16,892,2019 Summer Juniors (LCM),2014 FHSAA 3A Region 3,FL,UN,10/31/2014
100 FR,49.77r,49.77,20,874,2018 Winter Nationals (LCM),Ohio State Invitational,NC,UN,11/19/2017
100 FR,49.82,49.82,18,871,2019 Summer Juniors (LCM),2015 Georgia Tech Fall Invitat,FL,UN,11/21/2015
100 FR,50.04,50.04,16,875,2018 Winter Juniors (SCY),2013 FL CAT Jingle Bell Meet,FL,T2,12/13/2013
100 FR,50.20,50.20,19,851,2018 Winter Juniors (SCY),2017 ACC Women's Championship,NC,UN,2/16/2017
100 FR,50.22r,50.22,20,850,2018 Winter Juniors (SCY),UNC vs NC STATE,NC,UN,1/26/2018
100 FR,50.35r,50.35,19,844,2018 Winter Juniors (SCY),Wisconsin vs. NC State,NC,UN,10/28/2017
100 FR,50.60,50.60,16,845,2018 Winter Juniors (SCY),2014 FL Spring Senior Champion,FL,T2,2/27/2014
100 FR,50.67,50.67,16,842,2018 Winter Juniors (SCY),2014 FL FSPA High School Invite,FL,UN,9/27/2014
100 FR,50.70,50.70,18,825,2018 Winter Juniors (SCY),2015 Georgia Tech Fall Invitat,FL,UN,11/21/2015
100 FR,50.70,50.70,15,846,2018 Winter Juniors (SCY),2013 FL Spring Senior Champion,FL,T2,2/21/2013
100 FR,50.83r,50.83,20,819,2018 Winter Juniors (SCY),UVA v. NCSU 2018,NC,UN,1/19/2018
100 FR,50.91,50.91,20,814,"""AAAA""",University of SC vs NC State U,NC,UN,10/12/2018
100 FR,50.93r,50.93,19,813,2018 Winter Juniors (SCY),North Carolina State  vs UNC,NC,UN,1/27/2017
100 FR,51.10,51.10,19,805,"""AAAA""",NC STATE GAC Invitational,NC,UN,11/19/2016
100 FR,51.16r,51.16,19,802,"""AAAA""",Cal vs. NC State 11.4.17,NC,UN,11/4/2017
100 FR,51.58,51.58,16,795,2019 Futures,2013 FL CAT Jingle Bell Meet,FL,T2,12/13/2013
100 FR,51.67,51.67,15,796,2019 Futures,2013 FL Spring Senior Champion,FL,T2,2/21/2013
100 FR,51.73,51.73,15,793,2019 Futures,2012 FL CAT Jingle Bell Meet,FL,T2,12/14/2012
100 FR,51.93r,51.93,18,762,2019 Futures,North Carolina State  vs Minnesota,FL,UN,10/22/2016
100 FR,52.25,52.25,16,761,"""AAAA""",2014 FL FSPA High School Invite,FL,UN,9/27/2014
100 FR,52.31,52.31,16,758,"""AAAA""",2014 FHSAA 3A District 9,FL,UN,10/22/2014
100 FR,52.31r,52.31,14,806,"""AAAA""",2012 FL Swimming Age Groups Ch,FL,T2,3/10/2012
100 FR,52.31r,52.31,14,806,"""AAAA""",2012 FL Swimming Age Groups Ch,FL,T2,3/10/2012
100 FR,52.67,52.67,16,740,"""AAA""",2014 FL Spring Senior Champion,FL,T2,2/27/2014
100 FR,52.82,52.82,17,718,"""AAA""",2015 FL T2 Aquatics Naples Open,FL,T2,1/19/2015
100 FR,52.95r,52.95,14,774,"""AAAA""",2012 FHSAA 2A Swimming,FL,UN,11/8/2012
100 FR,54.08r,54.08,14,719,"""AAA""",2012 FHSAA 2A Swimming,FL,UN,11/8/2012
100 FR,54.38,54.38,15,663,"""AAA""",2013 FL T2 Aquatics Naples Open,FL,T2,1/19/2013
100 FR,54.44,54.44,14,701,"""AAA""",2012 FL vs. FGC All-Star Meet,FL,T2,3/24/2012
100 FR,54.53,54.53,16,651,"""AAA""",2014 FL T2 Aquatics Naples Open,FL,T2,1/18/2014
100 FR,54.68,54.68,15,649,"""AAA""",2012 FL CAT Jingle Bell Meet,FL,T2,12/14/2012
100 FR,55.68r,55.68,17,583,"""AA""",2015 FL T2 Aquatics Naples Open,FL,T2,1/19/2015
100 FR,56.41,56.41,13,648,"""AAA""",2011 FL Swimming Age Groups Ch,FL,T2,2/17/2011
100 FR,56.67,56.67,14,599,"""AAA""",2012 FL CAT Al Soltis Memorial Me,FL,T2,1/14/2012
100 FR,57.01,57.01,13,621,"""AA""",2011 FL FSPA Invitational Meet,FL,UN,10/8/2011
100 FR,57.59,57.59,13,595,"""AA""",2011 FL FSPA Invitational Meet,FL,UN,10/8/2011
100 FR,57.94,57.94,13,580,"""AA""",2010 FL CAT Jingle Bell Meet,FL,T2,12/3/2010
100 FR,58.45,58.45,13,558,"""AA""",2011 FL GCST Winter Open Meet,FL,T2,1/22/2011
100 FR,58.45,58.45,13,558,"""AA""",2010 FL CAT Jingle Bell Meet,FL,T2,12/3/2010
100 FR,59.14,59.14,12,608,"""AA""",2010 FL Swim Florida Fall Meet,FL,T2,10/15/2010
100 FR,59.14,59.14,12,608,"""AA""",2010 FL Swim Florida Fall Meet,FL,T2,10/15/2010
100 FR,59.26,59.26,13,524,"""AA""",2010 FL SYS Turkey Meet,FL,T2,11/19/2010
100 FR,59.26,59.26,13,524,"""AA""",2010 FL SYS Turkey Meet,FL,T2,11/19/2010
100 FR,1:08.42,1:08.42,12,288,"""B""",2010 FL Area 3-5 Champs,FL,SWIM,3/19/2010
100 FR,1:11.10,1:11.10,12,213,"""B""",2010 FL GCST Winter Invite,FL,SWIM,1/16/2010
100 FR,1:12.25,1:12.25,12,184,"""B""",2009 FL Sarasota YMCA Sharks,FL,SWIM,11/20/2009
100 FR,1:12.93,1:12.93,11,240,"""B""",2009 FL SWIM FLORIDA INVITE,FL,SWIM,9/19/2009
100 FR,1:14.26,1:14.26,11,206,"""Slower than B""",2009 FL Area 3-5 Championships,FL,SWIM,7/31/2009
100 FR,1:24.09,1:24.09,10,129,"""B""",2008 FL Swim Florida Naples YMCA,FL,SWIM,10/3/2008
100 FR,1:25.13,1:25.13,10,111,"""B""",2008 FL Swim Florida Sept Inv,FL,SWIM,9/20/2008
200 FR,1:46.20,1:46.20,18,916,2019 Summer Nationals (LCM),2016 CCSA Swimming and Diving,FL,UN,2/19/2016
200 FR,1:46.91,1:46.91,18,896,2019 Summer Juniors (LCM),2016 CCSA Swimming and Diving,FL,UN,2/19/2016
200 FR,1:46.93,1:46.93,20,896,2019 Summer Juniors (LCM),Ohio State Invitational,NC,UN,11/18/2017
200 FR,1:47.15,1:47.15,20,890,2019 Summer Juniors (LCM),Ohio State Invitational,NC,UN,11/18/2017
200 FR,1:47.25,1:47.25,18,887,2019 Summer Juniors (LCM),2015 Georgia Tech Fall Invitat,FL,UN,11/20/2015
200 FR,1:47.27,1:47.27,18,886,2019 Summer Juniors (LCM),2015 Georgia Tech Fall Invitat,FL,UN,11/20/2015
200 FR,1:47.57,1:47.57,20,878,2017 US Open,Janis Hape Dowd Nike Invitatio,NC,UN,2/3/2018
200 FR,1:47.67r,1:47.67,18,875,2019 Summer Juniors (LCM),2016 CCSA Swimming and Diving,FL,UN,2/17/2016
200 FR,1:48.25,1:48.25,16,869,2018 Winter Juniors (SCY),2013 FL CAT Jingle Bell Meet,FL,T2,12/13/2013
200 FR,1:48.97,1:48.97,19,840,2018 Winter Juniors (SCY),NC STATE GAC Invitational,NC,UN,11/18/2016
200 FR,1:49.09,1:49.09,19,836,2018 Winter Juniors (SCY),NC STATE GAC Invitational,NC,UN,11/18/2016
200 FR,1:49.78,1:49.78,19,818,2018 Winter Juniors (SCY),2017 Janis Hape Dowd Carolina,NC,UN,2/4/2017
200 FR,1:50.21,1:50.21,17,816,"""AAAA""",2014 FL CAT Jingle Bell Meet,FL,T2,12/13/2014
200 FR,1:50.34,1:50.34,16,813,2019 Futures,2014 FL Spring Senior Champion,FL,T2,2/27/2014
200 FR,1:50.75,1:50.75,17,802,"""AAAA""",2014 FL CAT Jingle Bell Meet,FL,T2,12/13/2014
200 FR,1:51.59,1:51.59,16,780,2019 Futures,2013 FL CAT Jingle Bell Meet,FL,T2,12/13/2013
200 FR,1:51.89,1:51.89,18,762,"""AAAA""",2016  FGCU vs. FIU,FL,SWIM,1/23/2016
200 FR,1:52.22,1:52.22,15,776,2019 Futures,2013 FL Spring Senior Champion,FL,T2,2/21/2013
200 FR,1:52.62,1:52.62,14,807,"""AAAA""",2012 FL Swimming Age Groups Ch,FL,T2,3/8/2012
200 FR,1:52.62,1:52.62,14,807,"""AAAA""",2012 FL Swimming Age Groups Ch,FL,T2,3/8/2012
200 FR,1:53.42,1:53.42,16,732,"""AAA""",2014 FL Spring Senior Champion,FL,T2,2/27/2014
200 FR,1:53.85,1:53.85,15,734,"""AAA""",2013 FL Spring Senior Champion,FL,T2,2/21/2013
200 FR,1:54.28,1:54.28,15,723,"""AAA""",2012 FL CAT Jingle Bell Meet,FL,T2,12/14/2012
200 FR,1:54.82,1:54.82,14,750,"""AAAA""",2012 FL Swimming Age Groups Ch,FL,T2,3/8/2012
200 FR,1:54.82,1:54.82,14,750,"""AAAA""",2012 FL Swimming Age Groups Ch,FL,T2,3/8/2012
200 FR,1:58.67,1:58.67,14,656,"""AAA""",2012 FL CAT Al Soltis Memorial Me,FL,T2,1/14/2012
200 FR,1:59.76,1:59.76,14,630,"""AAA""",2012 FL vs. FGC All-Star Meet,FL,T2,3/24/2012
200 FR,2:00.27,2:00.27,15,580,"""AA""",2012 FL CAT Jingle Bell Meet,FL,T2,12/14/2012
200 FR,2:05.03,2:05.03,13,550,"""AA""",2011 FL GCST Winter Open Meet,FL,T2,1/22/2011
200 FR,2:05.45,2:05.45,13,541,"""AA""",2010 FL CAT Jingle Bell Meet,FL,T2,12/3/2010
200 FR,2:08.12,2:08.12,13,485,"""AA""",2010 FL CAT Jingle Bell Meet,FL,T2,12/3/2010
200 FR,2:08.16,2:08.16,13,484,"""AA""",2010 FL SYS Turkey Meet,FL,T2,11/19/2010
200 FR,2:08.16,2:08.16,13,484,"""AA""",2010 FL SYS Turkey Meet,FL,T2,11/19/2010
200 FR,2:10.46,2:10.46,12,542,"""AA""",2010 FL Swim Florida Fall Meet,FL,T2,10/15/2010
200 FR,2:10.46,2:10.46,12,542,"""AA""",2010 FL Swim Florida Fall Meet,FL,T2,10/15/2010
200 FR,2:34.42,2:34.42,12,177,"""B""",2009 FL Sarasota YMCA Sharks,FL,SWIM,11/20/2009
200 FR,2:38.00,2:38.00,12,139,"""B""",2010 FL GCST Winter Invite,FL,SWIM,1/16/2010
200 FR,2:40.52,2:40.52,11,185,"""B""",2009 FL SWIM FLORIDA INVITE,FL,SWIM,9/19/2009
500 FR,5:02.98,5:02.98,16,716,2019 Futures,2014 FL T2 Aquatics Naples Open,FL,T2,1/18/2014
500 FR,5:03.60,5:03.60,15,731,"""AAA""",2012 FL CAT Jingle Bell Meet,FL,T2,12/14/2012
500 FR,5:08.18,5:08.18,15,687,"""AAA""",2012 FL CAT Jingle Bell Meet,FL,T2,12/14/2012
500 FR,5:40.07,5:40.07,13,478,"""A""",2011 FL GCST Winter Open Meet,FL,T2,1/22/2011
50 BK,23.59r,23.59,20,1154,"""Slower than B""",2018 ACC Women's Championship,NC,UN,2/14/2018
50 BK,23.73r,23.73,19,1139,"""Slower than B""",2017 ACC Women's Championship,NC,UN,2/13/2017
50 BK,23.99r,23.99,20,1110,"""Slower than B""",2018 NCAA DI Women's Swimming,NC,UN,3/16/2018
50 BK,24.14r,24.14,21,1094,"""Slower than B""",2018 IU Invitational,NC,UN,11/16/2018
50 BK,24.14r,24.14,20,1094,"""Slower than B""",Ohio State Invitational,NC,UN,11/18/2017
50 BK,24.21r,24.21,19,1086,"""Slower than B""",NC STATE GAC Invitational,NC,UN,11/18/2016
50 BK,24.24r,24.24,18,1083,"""Slower than B""",2016 CCSA Swimming and Diving,FL,UN,2/17/2016
50 BK,24.24r,24.24,19,1083,"""Slower than B""",2017 NCAA DI Women's,NC,UN,3/17/2017
50 BK,24.45r,24.45,20,1061,"""Slower than B""",2018 Acc - B1G Challenge,NC,UN,11/11/2018
50 BK,24.78r,24.78,18,1026,"""Slower than B""",2015 Georgia Tech Fall Invitat,FL,UN,11/20/2015
50 BK,24.81r,24.81,20,1022,"""Slower than B""",UVA v. NCSU 2018,NC,UN,1/19/2018
50 BK,24.87r,24.87,20,1016,"""Slower than B""",Duke University vs NC State Un,NC,UN,10/20/2018
50 BK,24.89r,24.89,19,1014,"""Slower than B""",North Carolina State  vs UNC,NC,UN,1/27/2017
50 BK,24.94,24.94,17,1009,"""Slower than B""",2014 FL CAT Jingle Bell Meet,FL,T2,12/12/2014
50 BK,24.97r,24.97,20,1006,"""Slower than B""",UNC vs NC STATE,NC,UN,1/26/2018
50 BK,24.98r,24.98,18,1005,"""Slower than B""",North Carolina State  vs Minnesota,FL,UN,10/22/2016
50 BK,25.06r,25.06,19,996,"""Slower than B""",Cal vs. NC State 11.4.17,NC,UN,11/4/2017
50 BK,25.06r,25.06,20,996,"""Slower than B""",University of SC vs NC State U,NC,UN,10/12/2018
50 BK,25.13r,25.13,19,989,"""Slower than B""",Wisconsin vs. NC State,NC,UN,10/28/2017
50 BK,25.17r,25.17,19,985,"""Slower than B""",2017 NCAA DI Women's,NC,UN,3/17/2017
50 BK,25.25r,25.25,18,976,"""Slower than B""",Duke vs NCSU(W) Duke vs NWU(M),FL,UN,10/29/2016
50 BK,25.36r,25.36,19,965,"""Slower than B""",North Carolina State @ Stanfor,NC,UN,11/3/2017
50 BK,25.43r,25.43,18,958,"""Slower than B""",UT Men & Women vs. NC State,FL,UN,11/4/2016
50 BK,25.44r,25.44,16,957,"""Slower than B""",2014 FL Spring Senior Champion,FL,T2,3/1/2014
50 BK,25.47r,25.47,15,964,"""Slower than B""",2013 FHSAA 3A Region 3,FL,UN,11/9/2013
50 BK,25.78r,25.78,14,961,,2012 FHSAA 2A Swimming,FL,UN,11/8/2012
50 BK,25.80r,25.80,16,920,"""Slower than B""",2014 FL FSPA High School Invite,FL,UN,9/27/2014
50 BK,25.87r,25.87,16,913,"""Slower than B""",2014 FL FSPA High School Invite,FL,UN,9/27/2014
50 BK,25.95r,25.95,15,915,,2013 FL Spring Senior Champion,FL,T2,2/23/2013
