Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,25.59,25.59,18,616,"""AA""",2016 FL BSS TYR JAX 50,FG,SFTL,4/23/2016
50 FR,25.85,25.85,18,593,"""AA""",2016 FL BSS TYR JAX 50,FG,SFTL,4/23/2016
50 FR,26.18,26.18,18,563,"""AA""",2016 FL BSS TYR JAX 50,FG,SFTL,4/23/2016
50 FR,26.50,26.50,14,584,"""AA""",2012 FG Short Course Junior Ol,FG,UN,3/9/2012
50 FR,27.14,27.14,14,529,"""AA""",FG Area 2 Developmental Champi,FG,UN,2/24/2012
50 FR,27.22,27.22,14,522,"""AA""",FG Area 2 Developmental Champi,FG,UN,2/24/2012
50 FR,27.69,27.69,13,538,"""A""",2011 FG Broward County Champio,FG,FLA,12/10/2011
50 FR,28.91,28.91,12,502,"""A""",2010 FG Broward County Champs,FG,FLA,12/11/2010
50 FR,29.31,29.31,12,473,"""A""",2010 FG Speedo Winter Champs,FG,FLA,11/19/2010
50 FR,29.31,29.31,12,473,"""A""",2010 FG Speedo Winter Champs,FG,FLA,11/19/2010
50 FR,29.31r,29.31,12,473,"""A""",2010 FG Speedo Winter Champs,FG,FLA,11/21/2010
50 FR,29.31r,29.31,12,473,"""A""",2010 FG Speedo Winter Champs,FG,FLA,11/21/2010
50 FR,29.63,29.63,13,384,"""BB""",2011 FG SAS January Scotty Invite,FG,FLA,1/26/2011
50 FR,29.79,29.79,12,439,"""BB""",2010 FG Area 2 Developmental,FG,FLA,11/6/2010
50 FR,30.14,30.14,12,415,"""BB""",2010 FL BSS February Invite,FL,BSS,2/5/2010
50 FR,30.22,30.22,12,409,"""BB""",2010 FL Area I & IV Champs,FL,BSS,3/13/2010
50 FR,30.94r,30.94,11,444,"""BB""",2009 GA Down Under,FL,BSS,10/11/2009
50 FR,32.03,32.03,11,372,"""B""",2009 FL B Meet Champs East,FL,BSS,12/12/2009
50 FR,32.53,32.53,11,341,"""B""",2009 GA Down Under,FL,BSS,10/9/2009
50 FR,32.64,32.64,11,334,"""B""",2009 FL BSS Winter SC I,FL,BSS,2/6/2009
50 FR,34.09,34.09,10,373,"""BB""",2008 FL Gator Holiday Classic,FL,BSS,12/5/2008
50 FR,34.27,34.27,10,363,"""BB""",2008 FL NIke Invite,FL,BSS,10/17/2008
50 FR,39.57,39.57,9,224,"""B""",2007 GA Down Under,FL,BSS,10/5/2007
50 FR,40.94,40.94,9,166,"""Slower than B""",2007 FL Bolles Sharks Season Kick Off,FL,UN,9/22/2007
50 FR,44.32,44.32,8,49,"""Slower than B""",2006 FG Broward County Holiday Classic,FG,FLA,12/2/2006
50 FR,46.25,46.25,9,7,"""Slower than B""",2007 FG Division II North Champ,FG,FLA,3/2/2007
50 FR,47.22,47.22,9,1,"""Slower than B""",2007 FG Pre JO-021707,FG,FLA,2/17/2007
100 FR,53.46,53.46,16,702,"""AAA""",2014 GU TWST Senior Champs,FG,SFTL,12/7/2014
100 FR,54.78,54.78,16,639,"""AAA""",2014 GU TWST Senior Champs,FG,SFTL,12/7/2014
100 FR,54.96,54.96,15,636,"""AAA""",2013 FG Speedo Winter Championships,FG,SFTL,11/21/2013
100 FR,55.34,55.34,15,618,"""AA""",2013 FG Speedo Winter Championships,FG,SFTL,11/21/2013
100 FR,56.05,56.05,17,566,"""AA""",2015 FL T2 Aquatics Naples Open,FG,SFTL,1/19/2015
100 FR,56.26,56.26,15,577,"""AA""",2013 FG Senior Championships,FG,SFTL,3/22/2013
100 FR,56.46,56.46,15,568,"""AA""",2013 FG Senior Championships,FG,SFTL,3/22/2013
100 FR,57.10r,57.10,15,539,"""AA""",2013 FG Senior Championships,FG,SFTL,3/22/2013
100 FR,57.68,57.68,14,554,"""AA""",2012 FG Speedo Winter Champs,FG,SFTL,11/15/2012
100 FR,57.73,57.73,14,552,"""AA""",2012 FG Speedo Winter Champs,FG,SFTL,11/15/2012
100 FR,58.03,58.03,15,499,"""A""",2013 FL T2 Aquatics Naples Open,FG,SFTL,1/19/2013
100 FR,58.70,58.70,14,510,"""AA""",2012 FG Short Course Junior Ol,FG,UN,3/9/2012
100 FR,59.50,59.50,13,514,"""AA""",2011 FG Broward County Champio,FG,FLA,12/10/2011
100 FR,1:00.27,1:00.27,13,482,"""A""",2011 FG Speedo Winter Champs,FG,FLA,11/17/2011
100 FR,1:00.67,1:00.67,13,466,"""A""",2011 FG  Area 1 Development,FG,FLA,10/8/2011
100 FR,1:02.66,1:02.66,13,389,"""BB""",2011 FG Area 2  Developmental,FG,FLA,2/25/2011
100 FR,1:02.80,1:02.80,12,470,"""A""",2010 FG Speedo Winter Champs,FG,FLA,11/19/2010
100 FR,1:02.80,1:02.80,12,470,"""A""",2010 FG Speedo Winter Champs,FG,FLA,11/19/2010
100 FR,1:02.92,1:02.92,12,466,"""A""",2010 FG Broward County Champs,FG,FLA,12/11/2010
100 FR,1:03.62,1:03.62,12,442,"""BB""",2010 FG Area 2 Developmental,FG,FLA,11/6/2010
100 FR,1:05.74,1:05.74,12,370,"""BB""",2010 FL SwimOrlandoYMCA Winter Open,FL,BSS,1/22/2010
100 FR,1:05.77,1:05.77,13,280,"""BB""",2011 FG SAS January Scotty Invite,FG,FLA,1/26/2011
100 FR,1:07.30,1:07.30,11,405,"""BB""",2009 FL B Meet Champs East,FL,BSS,12/12/2009
100 FR,1:07.88,1:07.88,12,304,"""BB""",2010 FL Area I & IV Champs,FL,BSS,3/13/2010
100 FR,1:09.20,1:09.20,11,346,"""B""",2009 GA Down Under,FL,BSS,10/9/2009
100 FR,1:10.46,1:10.46,11,308,"""B""",2009 FL Bolles Sharks Kick Off,FL,BSS,9/19/2009
100 FR,1:10.80,1:10.80,11,298,"""B""",2009 FL BSS Winter SC I,FL,BSS,2/6/2009
100 FR,1:11.51,1:11.51,10,423,"""A""",2008 FL Gator Holiday Classic,FL,BSS,12/5/2008
100 FR,1:15.00,1:15.00,10,329,"""BB""",2008 FL NIke Invite,FL,BSS,10/17/2008
100 FR,1:16.97,1:16.97,10,279,"""BB""",2008 FL Bolles Sharks Season Kick Off,FL,BSS,9/20/2008
100 FR,1:24.03,1:24.03,9,251,"""B""",2007 FL BSS TYR Winter Short Course In,FL,BSS,11/9/2007
100 FR,1:25.70,1:25.70,9,216,"""B""",2007 GA Down Under,FL,BSS,10/5/2007
100 FR,1:27.68,1:27.68,9,177,"""B""",2007 FL Tenth Annual Carey Hilliard's,FL,BSS,10/27/2007
100 FR,1:36.18,1:36.18,9,47,"""Slower than B""",2007 FG Division II North Champ,FG,FLA,3/2/2007
200 FR,1:57.76,1:57.76,17,626,"""AA""",2015 FL T2 Aquatics Naples Open,FG,SFTL,1/17/2015
200 FR,1:58.36,1:58.36,16,612,"""AAA""",2014 FG Speedo Winter Championships,FG,SFTL,11/22/2014
200 FR,1:58.80,1:58.80,16,602,"""AA""",2014 FG Speedo Winter Championships,FG,SFTL,11/22/2014
200 FR,2:00.34,2:00.34,17,566,"""AA""",2015 FL T2 Aquatics Naples Open,FG,SFTL,1/17/2015
200 FR,2:01.51,2:01.51,16,540,"""AA""",2014 FL T2 Aquatics Naples Open,FG,SFTL,1/18/2014
200 FR,2:02.46,2:02.46,14,569,"""AA""",2012 FG Speedo Winter Champs,FG,SFTL,11/15/2012
200 FR,2:02.87,2:02.87,14,560,"""AA""",2012 FG Speedo Winter Champs,FG,SFTL,11/15/2012
200 FR,2:03.87,2:03.87,16,489,"""AA""",2014 FL T2 Aquatics Naples Open,FG,SFTL,1/18/2014
200 FR,2:07.82,2:07.82,13,491,"""AA""",2011 FG  Area 1 Development,FG,FLA,10/8/2011
200 FR,2:08.48,2:08.48,13,478,"""A""",2011 FG Speedo Winter Champs,FG,FLA,11/17/2011
200 FR,2:14.30,2:14.30,12,471,"""A""",2010 - FHSAA - A District 10 U,FG,UN,10/30/2010
200 FR,2:14.64,2:14.64,12,465,"""A""",2010 FG Speedo Winter Champs,FG,FLA,11/19/2010
200 FR,2:14.64,2:14.64,12,465,"""A""",2010 FG Speedo Winter Champs,FG,FLA,11/19/2010
200 FR,2:15.25,2:15.25,12,455,"""A""",2010 - FHSAA - A District 10 U,FG,UN,10/30/2010
200 FR,2:18.49,2:18.49,12,400,"""A""",2010 FG Area 2 Developmental,FG,FLA,11/6/2010
200 FR,2:21.01,2:21.01,13,255,"""BB""",2011 FG Area 2  Developmental,FG,FLA,2/25/2011
200 FR,2:21.93,2:21.93,12,345,"""BB""",2010 FL SwimOrlandoYMCA Winter Open,FL,BSS,1/22/2010
200 FR,2:22.36,2:22.36,13,235,"""BB""",2011 FG SAS January Scotty Invite,FG,FLA,1/26/2011
200 FR,2:22.75,2:22.75,12,332,"""BB""",2010 FL Area I & IV Champs,FL,BSS,3/13/2010
200 FR,2:24.01,2:24.01,12,313,"""BB""",2010 FL BSS February Invite,FL,BSS,2/5/2010
200 FR,2:27.67,2:27.67,11,353,"""BB""",2009 FL Nike Fall Short Course,FL,BSS,10/23/2009
200 FR,2:29.53,2:29.53,11,325,"""BB""",2009 FL B Meet Champs East,FL,BSS,12/12/2009
200 FR,2:40.20,2:40.20,10,327,"""BB""",2008 FL NIke Invite,FL,BSS,10/17/2008
200 FR,2:58.30,2:58.30,10,137,"""B""",2008 FL Bolles Invitational,FL,BSS,2/8/2008
200 FR,2:58.30,2:58.30,10,137,"""B""",2008 FL Bolles Invitational,FL,BSS,2/8/2008
200 FR,3:00.72,3:00.72,9,240,"""B""",2007 FL BSS TYR Winter Short Course In,FL,BSS,11/9/2007
500 FR,5:20.33,5:20.33,17,557,"""AA""",2015 FL T2 Aquatics Naples Open,FG,SFTL,1/18/2015
500 FR,5:22.31,5:22.31,15,559,"""AA""",2013 FL T2 Aquatics Naples Open,FG,SFTL,1/19/2013
500 FR,5:25.50,5:25.50,15,532,"""AA""",2013 FG Senior Championships,FG,SFTL,3/22/2013
500 FR,5:32.43,5:32.43,14,498,"""AA""",2012 FG Speedo Winter Champs,FG,SFTL,11/15/2012
500 FR,5:43.71,5:43.71,13,450,"""A""",2011 FG  Area 1 Development,FG,FLA,10/8/2011
500 FR,5:44.29,5:44.29,13,445,"""A""",2011 FG Invitational- CSSC-092,FG,FLA,9/24/2011
500 FR,5:46.88,5:46.88,14,388,"""A""",FG Area 2 Developmental Champi,FG,UN,2/24/2012
500 FR,6:01.86,6:01.86,12,433,"""A""",2010 - FHSAA - A District 10 U,FG,UN,10/30/2010
500 FR,6:02.75,6:02.75,12,427,"""A""",2010 - FHSAA - A District 10 U,FG,UN,10/30/2010
500 FR,6:05.48,6:05.48,12,410,"""A""",2010 FG Speedo Winter Champs,FG,FLA,11/19/2010
