Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
100 FR,53.88,53.88,19,667,"""AA""",2018 Mizzou Invitational,CA,UN,11/17/2018
200 BK,2:09.51,2:09.51,19,685,"""AA""",2018 Mizzou Invitational,CA,UN,11/17/2018
100 BK,56.30,56.30,19,836,2019 Futures,2018 Mizzou Invitational,CA,UN,11/16/2018
400 IM,4:28.97,4:28.97,19,761,2019 Futures,2018 Mizzou Invitational,CA,UN,11/16/2018
400 IM,4:30.01,4:30.01,19,752,2019 Futures,2018 Mizzou Invitational,CA,UN,11/16/2018
200 IM,2:04.86,2:04.86,19,803,2019 Futures,2018 Mizzou Invitational,CA,UN,11/15/2018
200 IM,2:05.95,2:05.95,19,781,2019 Futures,2018 Mizzou Invitational,CA,UN,11/15/2018
100 BK,58.16,58.16,19,755,"""AAA""",CSUB vs CBU,CA,UN,10/27/2018
200 BK,2:08.42,2:08.42,19,705,"""AA""",CSUB vs CBU,CA,UN,10/27/2018
200 IM,2:06.54,2:06.54,19,769,2019 Futures,CSUB vs CBU,CA,UN,10/27/2018
100 FR,54.64,54.64,19,631,"""AA""",2018 Pomona Pitzer vs Cal Bapt,CA,UN,10/26/2018
200 FR,1:56.52,1:56.52,19,646,"""AAA""",2018 Pomona Pitzer vs Cal Bapt,CA,UN,10/26/2018
200 IM,2:10.17,2:10.17,19,698,"""AAA""",2018 Pomona Pitzer vs Cal Bapt,CA,UN,10/26/2018
200 IM,2:10.17,2:10.17,19,698,"""AAA""",2018 Pomona Pitzer vs Cal Bapt,CA,UN,10/26/2018
100 BK,57.36,57.36,19,789,2019 Futures,UNLV vs Cal Baptist,CA,UN,10/20/2018
200 BK,2:11.54,2:11.54,19,649,"""AA""",UNLV vs Cal Baptist,CA,UN,10/20/2018
400 IM,4:33.23,4:33.23,19,724,"""AAA""",UNLV vs Cal Baptist,CA,UN,10/20/2018
100 BK,59.17,59.17,19,712,"""AA""",Malibu Invite 2018,CA,UN,10/13/2018
100 FL,58.44,58.44,19,702,"""AA""",Malibu Invite 2018,CA,UN,10/13/2018
100 FR,54.69,54.69,19,629,"""AA""",2018 PCSC Pentathlon,CA,UN,10/6/2018
100 BK,57.74,57.74,19,773,2019 Futures,2018 PCSC Pentathlon,CA,UN,10/6/2018
100 BR,1:08.30,1:08.30,19,667,"""AA""",2018 PCSC Pentathlon,CA,UN,10/6/2018
100 FL,58.31,58.31,19,707,"""AA""",2018 PCSC Pentathlon,CA,UN,10/6/2018
200 IM,2:09.66,2:09.66,19,708,"""AAA""",2018 PCSC Pentathlon,CA,UN,10/6/2018
100 FR,51.27r,51.27,19,796,2019 Futures,2018 NCAA Division II Champion,US,UN,3/17/2018
100 FR,51.58,51.58,19,780,2019 Futures,2018 NCAA Division II Champion,US,UN,3/17/2018
100 FR,51.65r,51.65,19,777,2019 Futures,2018 NCAA Division II Champion,US,UN,3/17/2018
100 BK,57.46,57.46,19,785,2019 Futures,2018 NCAA Division II Champion,US,UN,3/16/2018
100 BK,57.72r,57.72,19,773,2019 Futures,2018 NCAA Division II Champion,US,UN,3/15/2018
400 IM,4:26.44,4:26.44,19,784,2019 Futures,2018 NCAA Division II Champion,US,UN,3/15/2018
400 IM,4:26.75,4:26.75,19,781,2019 Futures,2018 NCAA Division II Champion,US,UN,3/15/2018
200 IM,2:06.10,2:06.10,19,778,2019 Futures,2018 NCAA Division II Champion,US,UN,3/14/2018
100 FR,51.30r,51.30,19,794,2019 Futures,2018 RMAC Championships,US,UN,2/17/2018
100 FR,51.54,51.54,19,782,2019 Futures,2018 RMAC Championships,US,UN,2/17/2018
100 FR,52.44,52.44,19,737,"""AAA""",2018 RMAC Championships,US,UN,2/17/2018
100 BK,55.90,55.90,19,853,2018 Winter Juniors (SCY),2018 RMAC Championships,US,UN,2/16/2018
100 BK,56.16,56.16,19,842,2019 Futures,2018 RMAC Championships,US,UN,2/16/2018
100 BK,55.88r,55.88,19,854,"""AAAA""",2018 RMAC Championships,US,UN,2/15/2018
400 IM,4:22.82,4:22.82,19,817,2018 Winter Juniors (SCY),2018 RMAC Championships,US,UN,2/15/2018
400 IM,4:27.86,4:27.86,19,771,2019 Futures,2018 RMAC Championships,US,UN,2/15/2018
200 IM,2:03.62,2:03.62,19,828,"""AAAA""",2018 RMAC Championships,US,UN,2/14/2018
200 IM,2:03.66,2:03.66,19,827,"""AAAA""",2018 RMAC Championships,US,UN,2/14/2018
100 BK,59.63,59.63,19,693,"""AA""",2018 UC San Diego at Cal Bapti,US,UN,1/20/2018
200 BK,2:11.63,2:11.63,19,648,"""AA""",2018 UC San Diego at Cal Bapti,US,UN,1/20/2018
100 FL,59.55,59.55,19,659,"""AA""",2018 UC San Diego at Cal Bapti,US,UN,1/20/2018
50 BK,27.59r,27.59,19,746,"""Slower than B""",GCU v. CBU v. NMSU v. Rice,US,UN,1/6/2018
100 BK,57.63,57.63,19,777,2019 Futures,GCU v. CBU v. NMSU v. Rice,US,UN,1/6/2018
200 BK,2:08.39,2:08.39,19,705,"""AA""",GCU v. CBU v. NMSU v. Rice,US,UN,1/6/2018
100 FL,58.26,58.26,19,709,"""AAA""",GCU v. CBU v. NMSU v. Rice,US,UN,1/6/2018
100 FR,56.57,56.57,19,543,"""A""",2017 CBU Lancers Swim Dive Inv,CA,UN,12/16/2017
50 BK,27.93r,27.93,19,714,"""Slower than B""",2017 CBU Lancers Swim Dive Inv,CA,UN,12/16/2017
100 BK,1:00.85,1:00.85,19,643,"""AA""",2017 CBU Lancers Swim Dive Inv,CA,UN,12/16/2017
100 IM,1:02.04,1:02.04,19,606,"""Slower than B""",2017 CBU Lancers Swim Dive Inv,CA,UN,12/16/2017
400 IM,4:37.16,4:37.16,19,690,"""AAA""",2017 CBU Lancers Swim Dive Inv,CA,UN,12/16/2017
100 BK,58.54r,58.54,19,738,"""AA""",2017 CBU Lancers Swim Dive Inv,CA,UN,12/15/2017
200 IM,2:08.99,2:08.99,19,721,"""AAA""",2017 CBU Lancers Swim Dive Inv,CA,UN,12/15/2017
100 FR,52.94r,52.94,18,712,"""AAA""",2017OB UNLV INVITE,CA,UN,11/18/2017
200 BK,2:07.31,2:07.31,18,725,"""AA""",2017OB UNLV INVITE,CA,UN,11/18/2017
