Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,19.97,19.97,22,894,2017 US Open,2018 Georgia Tech Fall Invitat,US,UN,11/15/2018
50 FR,20.26,20.26,20,865,2017 US Open,2017 NI - Ob - NJCAAS,FL,UN,3/1/2017
50 FR,20.28,20.28,22,863,2017 US Open,2018 Georgia Tech Fall Invitat,US,UN,11/15/2018
50 FR,20.30,20.30,21,861,2019 Summer Juniors (LCM),2018 American Ath. Conf. - Swi,US,UN,2/15/2018
50 FR,20.33,20.33,20,858,2019 Summer Juniors (LCM),2017 NI - Ob - NJCAAS,FL,UN,3/1/2017
50 FR,20.44,20.44,20,847,2019 Summer Juniors (LCM),2016 Spartan Invitational,FL,UN,12/17/2016
50 FR,20.46,20.46,19,845,2019 Summer Juniors (LCM),2016 FL NJCAA National Champs,FL,UN,3/2/2016
50 FR,20.48,20.48,20,843,2019 Summer Juniors (LCM),2016 Spartan Invitational,FL,UN,12/17/2016
50 FR,20.54,20.54,21,837,2018 Winter Nationals (LCM),2018 American Ath. Conf. - Swi,US,UN,2/15/2018
50 FR,20.55,20.55,19,836,2019 Summer Juniors (LCM),2016 FL NJCAA National Champs,FL,UN,3/2/2016
50 FR,20.75,20.75,21,816,2018 Winter Juniors (SCY),2017 Georgia Tech Fall Invitat,FL,UN,11/16/2017
50 FR,20.76,20.76,19,815,2018 Winter Juniors (SCY),2015 Georgia Tech Fall Invitat,FL,UN,11/19/2015
50 FR,20.79,20.79,21,812,2018 Winter Juniors (SCY),2017 Georgia Tech Fall Invitat,FL,UN,11/16/2017
50 FR,20.81,20.81,19,810,2018 Winter Juniors (SCY),2015 Georgia Tech Fall Invitat,FL,UN,11/19/2015
50 FR,20.89,20.89,22,802,2018 Winter Juniors (SCY),CU vs ECU vs LRU,US,UN,11/3/2018
50 FR,21.06,21.06,19,786,"""AAAA""",2016 FL RATS Stanton C. Craigie Invite,FL,IRSC,2/6/2016
50 FR,21.10,21.10,22,782,2019 Futures,ECU v. UNC,US,UN,10/5/2018
50 FR,21.15,21.15,21,777,2019 Futures,2018 South Carolina Winter Inv,US,UN,1/27/2018
50 FR,21.20,21.20,21,772,2019 Futures,ECU v. South Carolina,US,UN,1/13/2018
50 FR,21.27r,21.27,21,765,2019 Futures,2018 South Carolina Winter Inv,US,UN,1/26/2018
50 FR,21.28,21.28,21,764,2019 Futures,ECU Quad Meet,FL,UN,10/14/2017
50 FR,21.29,21.29,21,763,2019 Futures,East Carolina vs Old Dominion,FL,UN,10/21/2017
50 FR,21.29,21.29,21,763,2019 Futures,ECU v. UNCW,FL,UN,10/28/2017
50 FR,21.29,21.29,17,779,"""AAAA""",2013 Speedo Winter Junior Nationals,GU,KATY,12/12/2013
50 FR,21.30,21.30,21,762,2019 Futures,Navy vs ECU 2017,FL,UN,10/6/2017
50 FR,21.32r,21.32,18,760,2019 Futures,2015 GU UIL Region 5-6A Champs,GU,UN,2/5/2015
50 FR,21.34r,21.34,20,758,2019 Futures,2017 FL Stanton C. Craigie Invit,FL,IRSC,2/5/2017
50 FR,21.39,21.39,22,753,2019 Futures,UNCW vs. ECU,US,UN,10/27/2018
50 FR,21.42,21.42,21,751,"""AAA""",2018 ECU vs VMI vs UMBC,US,UN,1/20/2018
50 FR,21.50,21.50,18,743,"""AAA""",2015 GU Speedo Sectionals Champio,GU,KATY,3/1/2015
50 FR,21.50,21.50,18,743,"""AAA""",2015 GU AGS Sectionals Champs,GU,KATY,3/1/2015
50 FR,21.52r,21.52,18,741,"""AAA""",2015 GU UIL Region 5-6A Champs,GU,UN,2/5/2015
50 FR,21.54,21.54,18,739,"""AAA""",2014 Speedo Winter Junior Cham,GU,KATY,12/11/2014
50 FR,21.55,21.55,16,780,"""AAAA""",2013 GU AGS Speedo Champions,GU,KATY,2/28/2013
50 FR,21.66,21.66,16,770,"""AAAA""",2013 NCSA Junior Swim,GU,KATY,3/12/2013
50 FR,21.87,21.87,17,723,"""AAA""",2013 GU AGS Senior Champs,GU,KATY,12/6/2013
50 FR,21.88r,21.88,18,706,"""AAA""",2015 GU UIL District 19-6A Champs,GU,UN,1/31/2015
50 FR,21.98r,21.98,19,696,"""AAA""",2016 FL RATS Stanton C. Craigie Invite,FL,IRSC,2/7/2016
50 FR,22.13,22.13,15,778,"""AAAA""",2012 GU AGS Speedo Sectional Champs,GU,KATY,3/1/2012
50 FR,22.21,22.21,17,691,"""AAA""",2013 GU AGS Senior Champs,GU,KATY,12/6/2013
50 FR,22.23r,22.23,18,673,"""AAA""",2015 GU PEAK Invite,GU,KATY,1/18/2015
50 FR,22.26,22.26,17,686,"""AAA""",2013 GU HCAP Senior,GU,KATY,10/19/2013
50 FR,22.33,22.33,15,759,"""AAA""",2012 LA TAQ Mardi Gras Meet,GU,KATY,1/13/2012
50 FR,22.50,22.50,16,690,"""AAA""",2013 LA TAQ Mardi Gras Meet,GU,KATY,1/18/2013
50 FR,22.50,22.50,16,690,"""AAA""",2013 LA TAQ Mardi Gras Meet,GU,KATY,1/18/2013
50 FR,22.69,22.69,18,629,"""AA""",2015 GU PEAK Invite,GU,KATY,1/18/2015
50 FR,22.85,22.85,13,833,"""AAAA""",2010 GU TWST TAGS SC Champs,GU,KATY,3/11/2010
50 FR,23.08,23.08,14,733,"""AAA""",2011 ST AAAA  A +,GU,KATY,2/12/2011
50 FR,23.23,23.23,15,676,"""AA""",2011 GU LSST Senior Invitational,GU,KATY,11/12/2011
50 FR,23.23,23.23,15,676,"""AA""",2011 GU PACK Senior Invitational,GU,KATY,11/12/2011
50 FR,23.45,23.45,13,780,"""AAA""",2010 GU TWST TAGS SC Champs,GU,KATY,3/11/2010
50 FR,23.48,23.48,14,697,"""AAA""",2011 GU TWST 9-14 Elite Invitational,GU,KATY,1/15/2011
50 FR,23.58,23.58,14,688,"""AAA""",2010 WT ALL STARS,GU,KATY,11/13/2010
50 FR,23.62,23.62,14,684,"""AAA""",2010 GU LSST 11-14 Allstar Qualifying,GU,KATY,10/16/2010
50 FR,23.95,23.95,13,736,"""AAA""",2009 NT TSA All Star Challenge,GU,KATY,11/14/2009
50 FR,24.25,24.25,13,710,"""AA""",2009 GU LSST 9-14 Elite All Star Q,GU,KATY,10/24/2009
50 FR,25.21,25.21,13,628,"""A""",2009 GU KATY 9 -14 Elite,GU,KATY,11/21/2009
50 FR,25.39,25.39,12,723,"""AAA""",2009 GU SCAT Open,GU,KATY,1/30/2009
50 FR,27.33,27.33,12,581,"""AA""",2008 GU CFSC 11-14 Open,GU,KATY,11/21/2008
100 FR,44.87,44.87,20,843,2018 Winter Juniors (SCY),2017 NI - Ob - NJCAAS,FL,UN,3/4/2017
100 FR,45.04,45.04,21,834,2018 Winter Juniors (SCY),2018 American Ath. Conf. - Swi,US,UN,2/17/2018
100 FR,45.16,45.16,20,827,2018 Winter Juniors (SCY),2016 Spartan Invitational,FL,UN,12/19/2016
100 FR,45.22,45.22,20,824,2018 Winter Juniors (SCY),2016 Spartan Invitational,FL,UN,12/19/2016
100 FR,45.26,45.26,19,822,2018 Winter Juniors (SCY),2016 FL NJCAA National Champs,FL,UN,3/5/2016
100 FR,45.43,45.43,21,813,"""AAAA""",2018 American Ath. Conf. - Swi,US,UN,2/17/2018
100 FR,45.57,45.57,19,805,2018 Winter Juniors (SCY),2015 Georgia Tech Fall Invitat,FL,UN,11/21/2015
100 FR,45.81,45.81,19,793,2019 Futures,2016 FL NJCAA National Champs,FL,UN,3/5/2016
100 FR,45.84,45.84,22,791,"""AAAA""",2018 Georgia Tech Fall Invitat,US,UN,11/17/2018
100 FR,45.85,45.85,19,791,2019 Futures,2015 Georgia Tech Fall Invitat,FL,UN,11/21/2015
100 FR,45.86,45.86,20,790,"""AAAA""",2017 NI - Ob - NJCAAS,FL,UN,3/4/2017
100 FR,45.93,45.93,17,808,2019 Futures,2014 GU UIL Region 4-5A Champs,GU,UN,2/7/2014
100 FR,45.98,45.98,18,784,2019 Futures,2015 ST UIL 6A State Meet,GU,UN,2/20/2015
100 FR,46.00,46.00,18,783,2019 Futures,2015 GU UIL Region 5-6A Champs,GU,UN,2/5/2015
100 FR,46.20,46.20,17,794,2019 Futures,2013 Speedo Winter Junior Nationals,GU,KATY,12/12/2013
100 FR,46.24,46.24,21,770,2019 Futures,2017 Georgia Tech Fall Invitat,FL,UN,11/18/2017
100 FR,46.28,46.28,17,790,2019 Futures,2014 ST UIL Texas  5A State Meet,GU,UN,2/21/2014
100 FR,46.33,46.33,18,765,2019 Futures,2015 ST UIL 6A State Meet,GU,UN,2/20/2015
100 FR,46.39,46.39,17,784,2019 Futures,2014 ST UIL Texas  5A State Meet,GU,UN,2/21/2014
100 FR,46.57,46.57,18,753,"""AAAA""",2014 Speedo Winter Junior Cham,GU,KATY,12/13/2014
100 FR,46.74,46.74,18,744,"""AAA""",2015 GU UIL Region 5-6A Champs,GU,UN,2/5/2015
100 FR,46.88,46.88,17,759,"""AAA""",2014 GU UIL Region 4-5A Champs,GU,UN,2/7/2014
100 FR,46.92r,46.92,18,735,"""AAA""",2015 GU UIL Region 5-6A Champs,GU,UN,2/5/2015
100 FR,47.08r,47.08,21,727,"""AAA""",ECU v. South Carolina,US,UN,1/13/2018
100 FR,47.10,47.10,22,726,"""AAA""",ECU v. UNC,US,UN,10/5/2018
100 FR,47.19r,47.19,21,721,"""AAA""",Navy vs ECU 2017,FL,UN,10/6/2017
100 FR,47.22,47.22,22,719,"""AAA""",William & Mary vs. East Caroli,US,UN,10/13/2018
100 FR,47.26r,47.26,21,717,"""AAA""",2018 ECU vs VMI vs UMBC,US,UN,1/20/2018
100 FR,47.27,47.27,15,822,"""AAAA""",2012 GU UIL Region 5-5A Champs,GU,UN,2/10/2012
100 FR,47.32r,47.32,18,714,"""AAA""",2015 GU UIL District 19-6A Champs,GU,UN,1/31/2015
100 FR,47.35,47.35,17,735,"""AAA""",2014 GU UIL District 14-5A Champs,GU,UN,1/31/2014
100 FR,47.45r,47.45,18,708,"""AAA""",2015 GU UIL Region 5-6A Champs,GU,UN,2/5/2015
100 FR,47.47,47.47,21,707,"""AAA""",2018 ECU vs VMI vs UMBC,US,UN,1/20/2018
100 FR,47.58,47.58,17,723,"""AAA""",2013 GU UIL TISCA-Gulf Invite,GU,UN,11/22/2013
100 FR,47.60,47.60,15,806,"""AAAA""",2012 GU UIL Region 5-5A Champs,GU,UN,2/10/2012
100 FR,47.61,47.61,17,722,"""AAA""",2014 GU UIL District 14-5A Champs,GU,UN,1/31/2014
100 FR,47.80,47.80,18,690,"""AAA""",2015 GU UIL District 19-6A Champs,GU,UN,1/30/2015
100 FR,47.82,47.82,18,689,"""AAA""",2014 GU UIL TISCA-Gulf Invite,GU,UN,11/21/2014
100 FR,47.91,47.91,15,790,"""AAAA""",2012 GU UIL District 19-5A Champs,GU,UN,2/3/2012
100 FR,47.98,47.98,18,681,"""AAA""",2015 GU UIL District 19-6A Champs,GU,UN,1/30/2015
100 FR,48.02,48.02,17,701,"""AAA""",2013 GU UIL TISCA-Gulf Invite,GU,UN,11/22/2013
100 FR,48.10r,48.10,15,780,"""AAAA""",2012 UIL 5A State Meet,GU,UN,2/24/2012
100 FR,48.11,48.11,18,675,"""AAA""",2014 GU UIL TISCA-Gulf Invite,GU,UN,11/21/2014
100 FR,48.12r,48.12,15,779,"""AAAA""",2012 UIL 5A State Meet,GU,UN,2/24/2012
100 FR,48.16,48.16,19,672,"""AAA""",2016 FL RATS Stanton C. Craigie Invite,FL,IRSC,2/7/2016
100 FR,48.24,48.24,16,720,"""AAA""",2013 NCSA Junior Swim,GU,KATY,3/12/2013
100 FR,48.25,48.25,15,773,"""AAAA""",2012 LA TAQ Mardi Gras Meet,GU,KATY,1/13/2012
100 FR,48.26,48.26,16,719,"""AAA""",2013 GU AGS Speedo Champions,GU,KATY,2/28/2013
100 FR,48.28,48.28,16,718,"""AAA""",2013 LA TAQ Mardi Gras Meet,GU,KATY,1/18/2013
100 FR,48.28,48.28,16,718,"""AAA""",2013 LA TAQ Mardi Gras Meet,GU,KATY,1/18/2013
100 FR,48.41,48.41,15,765,"""AAA""",2012 GU UIL District 19-5A Champs,GU,UN,2/3/2012
100 FR,48.43,48.43,14,806,"""AAAA""",2010 GU FCST Age Group Champs,GU,KATY,12/10/2010
100 FR,48.51,48.51,15,760,"""AAA""",2012 GU AGS Speedo Sectional Champs,GU,KATY,3/1/2012
100 FR,48.90,48.90,17,657,"""AA""",2013 GU HCAP Senior,GU,KATY,10/19/2013
100 FR,49.00,49.00,13,873,"""AAAA""",2010 GU TWST TAGS SC Champs,GU,KATY,3/11/2010
100 FR,49.07,49.07,15,732,"""AAA""",2011 GU AGS Senior Champs,GU,KATY,12/2/2011
100 FR,49.17,49.17,14,769,"""AAAA""",2011 GU AGS Speedo Sectional Champs,GU,KATY,3/3/2011
100 FR,49.48,49.48,15,712,"""AAA""",2011 GU KATY Intrasquad,GU,KATY,9/24/2011
100 FR,49.75,49.75,14,741,"""AAAA""",2010 GU FCST Age Group Champs,GU,KATY,12/10/2010
100 FR,49.76,49.76,15,699,"""AAA""",2011 GU LSST Senior Invitational,GU,KATY,11/12/2011
100 FR,49.76,49.76,15,699,"""AAA""",2011 GU PACK Senior Invitational,GU,KATY,11/12/2011
100 FR,50.22r,50.22,13,813,"""AAAA""",2010 GU TWST TAGS SC Champs,GU,KATY,3/12/2010
100 FR,50.70,50.70,14,695,"""AAA""",2010 GU LSST 11-14 Allstar Qualifying,GU,KATY,10/16/2010
100 FR,50.80,50.80,14,691,"""AAA""",2011 GU TWST 9-14 Elite Invitational,GU,KATY,1/15/2011
100 FR,50.95,50.95,13,779,"""AAA""",2010 GU TWST TAGS SC Champs,GU,KATY,3/11/2010
100 FR,50.99,50.99,13,777,"""AAA""",2009 NT TSA All Star Challenge,GU,KATY,11/14/2009
100 FR,51.22,51.22,13,766,"""AAA""",2009 GU FCST Gulf AG Champs,GU,KATY,12/11/2009
100 FR,51.45,51.45,13,755,"""AAA""",2010 GU KATY Spring Champs TT,GU,KATY,2/27/2010
100 FR,51.82,51.82,14,643,"""AAA""",2010 WT ALL STARS,GU,KATY,11/13/2010
100 FR,51.97,51.97,13,731,"""AAA""",2009 GU FCST Gulf AG Champs,GU,KATY,12/11/2009
100 FR,52.34,52.34,13,714,"""AAA""",2009 GU KATY 9 -14 Elite,GU,KATY,11/21/2009
100 FR,52.60,52.60,13,702,"""AAA""",2009 GU LSST 9-14 Elite All Star Q,GU,KATY,10/24/2009
100 FR,53.04,53.04,12,796,"""AAAA""",2009 NT TAGS SC Championships,GU,KATY,3/12/2009
100 FR,53.06,53.06,12,795,"""AAAA""",2009 NT TAGS SC Championships,GU,KATY,3/12/2009
100 FR,54.21,54.21,12,748,"""AAAA""",2009 GU KATY 12&U Spring Champs,GU,KATY,2/27/2009
100 FR,54.86,54.86,15,467,"""A""",2011 GU HCAP Senior Open,GU,KATY,10/22/2011
100 FR,55.91,55.91,12,680,"""AAA""",2009 GU AGS 11 & Over Open,GU,KATY,1/9/2009
100 FR,57.97,57.97,12,601,"""AA""",2008 GU FCST 11 & Up Open,GU,KATY,10/11/2008
100 FR,58.60,58.60,12,577,"""AA""",2008 GU TWST All Star Qualifying,GU,KATY,10/25/2008
100 FR,59.33,59.33,12,550,"""AA""",2008 GU CFSC 11-14 Open,GU,KATY,11/21/2008
200 FR,1:39.17,1:39.17,20,824,2018 Winter Juniors (SCY),2016 Spartan Invitational,FL,UN,12/18/2016
200 FR,1:39.48,1:39.48,16,847,2019 Summer Juniors (LCM),2013 GU UIL Region 4-5A Champs,GU,UN,2/8/2013
200 FR,1:39.59,1:39.59,19,812,2018 Winter Juniors (SCY),2016 FL NJCAA National Champs,FL,UN,3/3/2016
200 FR,1:39.78,1:39.78,18,807,2018 Winter Juniors (SCY),2015 GU UIL Region 5-6A Champs,GU,UN,2/5/2015
200 FR,1:39.97r,1:39.97,20,802,2018 Winter Juniors (SCY),2016 Spartan Invitational,FL,UN,12/18/2016
200 FR,1:40.01,1:40.01,21,801,"""AAAA""",2018 American Ath. Conf. - Swi,US,UN,2/16/2018
200 FR,1:40.02,1:40.02,17,812,2018 Winter Juniors (SCY),2014 ST UIL Texas  5A State Meet,GU,UN,2/21/2014
200 FR,1:40.07,1:40.07,18,800,2018 Winter Juniors (SCY),2015 ST UIL 6A State Meet,GU,UN,2/20/2015
200 FR,1:40.34,1:40.34,21,792,"""AAAA""",2018 American Ath. Conf. - Swi,US,UN,2/16/2018
200 FR,1:40.53,1:40.53,20,787,"""AAAA""",2017 NI - Ob - NJCAAS,FL,UN,3/2/2017
200 FR,1:40.67,1:40.67,19,783,2019 Futures,2016 FL NJCAA National Champs,FL,UN,3/3/2016
200 FR,1:40.67,1:40.67,16,815,2019 Futures,2013 ST UIL 5A State Meet,GU,UN,2/22/2013
200 FR,1:40.89,1:40.89,17,789,2019 Futures,2013 Speedo Winter Junior Nationals,GU,KATY,12/12/2013
200 FR,1:41.20,1:41.20,20,769,2019 Futures,2017 NI - Ob - NJCAAS,FL,UN,3/2/2017
200 FR,1:41.40,1:41.40,17,775,2019 Futures,2014 ST UIL Texas  5A State Meet,GU,UN,2/21/2014
200 FR,1:41.65,1:41.65,18,758,2019 Futures,2015 ST UIL 6A State Meet,GU,UN,2/20/2015
200 FR,1:41.72,1:41.72,18,756,2019 Futures,2014 Speedo Winter Junior Cham,GU,KATY,12/12/2014
200 FR,1:41.73,1:41.73,17,767,2019 Futures,2014 GU UIL Region 4-5A Champs,GU,UN,2/7/2014
200 FR,1:41.81,1:41.81,16,785,"""AAAA""",2013 ST UIL 5A State Meet,GU,UN,2/22/2013
200 FR,1:42.22,1:42.22,16,774,"""AAAA""",2013 GU UIL Region 4-5A Champs,GU,UN,2/8/2013
200 FR,1:42.34,1:42.34,16,771,"""AAAA""",2013 GU UIL District 14-5A Champs,GU,UN,2/1/2013
200 FR,1:42.45,1:42.45,19,737,"""AAA""",2015 Georgia Tech Fall Invitat,FL,UN,11/20/2015
200 FR,1:42.82,1:42.82,17,738,"""AAA""",2014 GU UIL Region 4-5A Champs,GU,UN,2/7/2014
200 FR,1:42.83,1:42.83,18,727,"""AAA""",2015 GU AGS Sectionals Champs,GU,KATY,2/28/2015
200 FR,1:42.83,1:42.83,18,727,"""AAA""",2015 GU Speedo Sectionals Champio,GU,KATY,2/28/2015
200 FR,1:43.06,1:43.06,21,721,"""AAA""",2017 Georgia Tech Fall Invitat,FL,UN,11/17/2017
200 FR,1:43.32,1:43.32,17,725,"""AAA""",2014 GU UIL District 14-5A Champs,GU,UN,1/31/2014
200 FR,1:43.53,1:43.53,18,709,"""AAA""",2015 GU UIL Region 5-6A Champs,GU,UN,2/5/2015
200 FR,1:43.73,1:43.73,19,704,"""AAA""",2015 Georgia Tech Fall Invitat,FL,UN,11/20/2015
