Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,24.98r,24.98,18,673,"""AAA""",2016 CCSA Swimming and Diving,NE,UN,2/18/2016
50 FR,26.37r,26.37,16,561,"""AA""",2014 NE YNS Elite Senior Meet,NE,SSA,2/14/2014
50 FR,26.47,26.47,16,553,"""AA""",2013 ME Bowdoin Open,NE,SSA,12/13/2013
50 FR,26.48,26.48,15,555,"""AA""",2013 NE SSA Regionals,NE,SSA,2/15/2013
50 FR,26.62,26.62,15,542,"""A""",2013 NE SSA Mid-Season Classic,NE,SSA,1/25/2013
50 FR,26.63,26.63,15,542,"""A""",2012 ME Bowdoin Open,NE,SSA,12/7/2012
50 FR,26.86,26.86,17,504,"""A""",2015 NE SSA Late Season Classi,NE,SSA,2/7/2015
50 FR,26.91,26.91,16,515,"""A""",2014 NE SSA Mid-Season Classic,NE,SSA,1/31/2014
50 FR,27.04,27.04,14,537,"""AA""",2012 NE UVAC REGIONALS,NE,SYP,2/10/2012
50 FR,27.18,27.18,16,492,"""A""",2013 NE EST Exeter Sprints,NE,SSA,11/23/2013
50 FR,27.20r,27.20,16,490,"""A""",2014 NE TSSA,NE,SSA,3/9/2014
50 FR,27.20,27.20,17,476,"""A""",2014 NE SSA Fall Classic,NE,SSA,10/18/2014
50 FR,27.22,27.22,14,522,"""AA""",2011 NE YNS Reid Sacco,NE,SYP,11/11/2011
50 FR,27.34,27.34,16,478,"""A""",2013 NE SSA Fall Classic,NE,SSA,11/1/2013
50 FR,27.34,27.34,16,478,"""A""",2014 NE TSSA,NE,SSA,3/7/2014
50 FR,27.39,27.39,13,563,"""AA""",2011 NE TSSA,NE,SYP,3/19/2011
50 FR,27.40,27.40,14,507,"""AA""",2012 NE TSSA,NE,SYP,3/17/2012
50 FR,27.42,27.42,14,505,"""AA""",2011 NE MYT  Fall Invite,NE,SYP,10/28/2011
50 FR,27.54,27.54,15,464,"""A""",2013 ME Winter SYOA,NE,SSA,1/19/2013
50 FR,27.65,27.65,15,455,"""A""",2012 NE Solo Aquatics Fall Cla,NE,UN,11/10/2012
50 FR,27.75,27.75,15,447,"""BB""",2012 NE SSA Halloween Classic,NE,UN,10/26/2012
50 FR,28.04,28.04,13,509,"""A""",2011 NE SSA New Year's Classic,NE,UN,1/7/2011
50 FR,28.19,28.19,13,497,"""A""",2011 NE NSSC Regionals Meet,NE,SYP,2/11/2011
50 FR,28.46,28.46,13,475,"""A""",2010 NE SSA Holiday Classic,NE,UN,12/3/2010
50 FR,29.04,29.04,12,493,"""A""",2010 NE SSA New Year's Classic,NE,PST,1/8/2010
50 FR,29.42,29.42,12,465,"""A""",2010 NE MAG Regionals Meet,NE,PST,2/12/2010
50 FR,29.94,29.94,12,429,"""BB""",2009 NE EST Sprints,NE,PST,12/4/2009
50 FR,30.69,30.69,12,378,"""BB""",2009 NE SSA Thanksgiving Class,NE,PST,11/13/2009
50 FR,30.71,30.71,11,460,"""BB""",2009 NE TSSA March Champs,NE,PST,3/21/2009
50 FR,31.15r,31.15,11,430,"""BB""",2009 NE TSSA March Champs,NE,PST,3/22/2009
