Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,20.83,20.83,20,808,2018 Winter Juniors (SCY),UF vs. FSU 010518,FL,UN,1/5/2018
50 FR,20.85,20.85,19,806,2018 Winter Juniors (SCY),2017 FL Area 3 Championships,FL,SPA,3/4/2017
50 FR,21.14,21.14,19,778,2019 Futures,2017 FL Area 3 Championships,FL,SPA,3/4/2017
50 FR,21.38r,21.38,20,754,2019 Futures,UF vs. FAU 010618,FL,UN,1/6/2018
50 FR,21.61r,21.61,16,774,"""AAAA""",2014 FL NASA Junior National Cham,FL,CAT,3/27/2014
50 FR,23.22,23.22,15,677,"""AA""",2012 FL CAT Jingle Bell Meet,FL,CAT,12/14/2012
50 FR,23.22r,23.22,14,720,"""AAA""",2012 FL NASA Showcase Classic,FL,CAT,4/13/2012
50 FR,23.45,23.45,15,657,"""AA""",2013 FL CAT Al Soltis Memorial Me,FL,CAT,1/19/2013
50 FR,24.05,24.05,15,603,"""A""",2012 FL CAT Jingle Bell Meet,FL,CAT,12/14/2012
50 FR,24.83,24.83,14,578,"""AA""",2011 CAT Jingle Bell Meet,FL,CAT,12/2/2011
50 FR,26.00,26.00,13,562,"""A""",2011 FL CAT Al Soltis Memorial,FL,CAT,1/15/2011
50 FR,26.28,26.28,13,540,"""A""",2011 FL CAT Last Chance,FL,CAT,2/4/2011
50 FR,26.77r,26.77,13,500,"""BB""",2010 FL CAT Jingle Bell Meet,FL,CAT,12/4/2010
50 FR,27.31,27.31,12,582,"""AA""",2010 FL Last Chance Champs,FL,CAT,2/5/2010
50 FR,27.68r,27.68,12,556,"""A""",2010 FL Spring JO Champs,FL,CAT,2/19/2010
50 FR,28.81,28.81,11,602,"""BB""",2009 FL Al Soltis Memorial,FL,CAT,1/16/2009
50 FR,29.33,29.33,10,665,"""AAA""",2008 FL CAT Last Chance JO Qual,FL,CAT,2/8/2008
50 FR,29.34r,29.34,10,664,"""AAA""",2008 FL Spring JO Champs,FL,CAT,2/22/2008
50 FR,29.60,29.60,11,549,"""BB""",2008 FL Winter Haven Stingrays SC,FL,CAT,9/26/2008
50 FR,30.22,30.22,11,508,"""BB""",2008 FL Trick Or Treat Open,FL,CAT,10/18/2008
50 FR,30.29,30.29,11,504,"""BB""",2008 FL Jingle Bell Open,FL,CAT,12/12/2008
50 FR,30.75r,30.75,10,580,"""A""","2008 FL ""Al Soltis Memorial"" Wint",FL,CAT,1/19/2008
50 FR,30.84,30.84,10,575,"""A""",2007 FL Winter Haven Stingrays SCY,FL,UN,9/21/2007
50 FR,32.53,32.53,9,590,"""BB""",2007 FL CAT L.C. JO Qualif,FL,TBAY,2/9/2007
50 FR,33.13,33.13,8,557,"""BB""",2006 FL Sum Area 3&5 Champs,FL,TBAY,7/28/2006
50 FR,33.46,33.46,9,539,"""BB""",2007 GA Eastern Swim Classic,FL,TBAY,1/12/2007
50 FR,33.86,33.86,9,517,"""BB""",2006 FL Halloween Open,FL,TBAY,10/13/2006
50 FR,40.30,40.30,8,200,"""Slower than B""",2005 FL Halloween Open,FL,TBAY,10/14/2005
50 FR,41.68,41.68,8,142,"""Slower than B""",2005 FL CFYR Holiday Invitational,FL,TBAY,11/18/2005
50 FR,46.46,46.46,7,1,"""Slower than B""",2005 FL Area 3 & 5 Championships,FL,TBAY,7/29/2005
50 FR,49.72,49.72,7,1,"""Slower than B""",2005 FL SPRING AREA 3&5 CHAMPIONS,FL,TBAY,3/18/2005
50 FR,56.48,56.48,7,1,"""Slower than B""",2004 FL SYS Turkey Meet,FL,TBAY,11/19/2004
100 FR,44.34,44.34,19,871,2019 Summer Juniors (LCM),2017 FL SC Senior Champs,FL,SPA,2/26/2017
100 FR,44.91,44.91,19,841,2018 Winter Juniors (SCY),2017 FL SC Senior Champs,FL,SPA,2/26/2017
100 FR,45.53,45.53,19,807,2018 Winter Juniors (SCY),2017 FL CAT Al Soltis Memorial Meet,FL,SPA,1/16/2017
100 FR,45.54,45.54,19,807,2018 Winter Juniors (SCY),2016 FL SPA-PYP SAT& SUN,FL,SPA,11/19/2016
100 FR,45.92,45.92,17,809,2019 Futures,2014 FL CAT Jingle Bell Meet,FL,CAT,12/14/2014
100 FR,46.18r,46.18,17,795,2019 Futures,2014 FG FHSAA Swimming,FL,UN,11/7/2014
100 FR,46.42r,46.42,17,783,2019 Futures,2014 FG FHSAA Swimming,FL,UN,11/7/2014
100 FR,46.60,46.60,18,751,"""AAA""",UA vs WSU vs UNLV,FL,UN,10/23/2015
100 FR,46.68r,46.68,16,800,"""AAAA""",2014 FL NASA Junior National Cham,FL,CAT,3/29/2014
100 FR,47.26,47.26,17,739,"""AAA""",2014 FL CAT Jingle Bell Meet,FL,CAT,12/14/2014
100 FR,48.20,48.20,17,692,"""AAA""",2015 FL CAT Al Soltis Memorial In,FL,CAT,1/19/2015
100 FR,48.20,48.20,17,692,"""AAA""",2015 FL CAT Al Soltis Memorial In,FL,CAT,1/19/2015
100 FR,48.40,48.40,16,712,"""AAA""",2013 FL STAT-Nike Swim Classic Meet -,FL,CAT,10/11/2013
100 FR,48.78,48.78,15,746,"""AAA""",2012 FL CAT Jingle Bell Meet,FL,CAT,12/14/2012
100 FR,50.66,50.66,15,655,"""AA""",2013 FL CAT Al Soltis Memorial Me,FL,CAT,1/19/2013
100 FR,51.33,51.33,15,624,"""AA""",2012 FL CAT Jingle Bell Meet,FL,CAT,12/14/2012
100 FR,52.94,52.94,13,686,"""AA""",2011 FL CAT/NASA Showcase,FL,CAT,4/6/2011
100 FR,53.50,53.50,13,661,"""AA""",2011 FL CAT/NASA Showcase,FL,CAT,4/6/2011
