Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,19.76,19.76,19,916,2019 Summer Nationals (LCM),2018 ACC Men's Champs TT,US,UN,2/22/2018
50 FR,19.76,19.76,19,916,2019 Summer Nationals (LCM),2018 ACC Men's Championship,US,UN,2/22/2018
50 FR,20.06,20.06,19,885,2017 US Open,2018 ACC Men's Championship,US,UN,2/22/2018
50 FR,20.06,20.06,19,885,2017 US Open,2018 ACC Men's Championship,US,UN,2/22/2018
50 FR,20.06,20.06,19,885,2017 US Open,2018 ACC Men's Championship,US,UN,2/22/2018
50 FR,20.06,20.06,19,885,2017 US Open,2018 ACC Men's Championship,US,UN,2/22/2018
50 FR,20.06,20.06,19,885,2017 US Open,2018 ACC Men's Championship,US,UN,2/22/2018
50 FR,20.06,20.06,19,885,2017 US Open,2018 ACC Men's Championship,US,UN,2/22/2018
50 FR,20.08,20.08,19,883,2017 US Open,2018 ACC Men's Championship,US,UN,2/22/2018
50 FR,20.10,20.10,19,881,2017 US Open,2017 Georgia Tech Fall Invitat,GA,UN,11/16/2017
50 FR,20.18,20.18,19,873,2017 US Open,2017 Georgia Tech Fall Invitat,GA,UN,11/16/2017
50 FR,20.24,20.24,19,867,2017 US Open,Auburn University Invite,US,UN,2/2/2018
50 FR,20.26r,20.26,19,865,2017 US Open,Auburn University Invite,US,UN,2/2/2018
50 FR,20.42,20.42,19,849,2019 Summer Juniors (LCM),Florida State vs Florida Atlan,US,UN,1/27/2018
50 FR,20.50,20.50,19,841,2018 Winter Nationals (LCM),Auburn University Invite,US,UN,2/2/2018
50 FR,20.98,20.98,18,794,2018 Winter Juniors (SCY),Bearcat Midseason Invitational,GA,UN,11/17/2016
50 FR,21.06,21.06,18,786,2019 Futures,Bearcat Midseason Invitational,GA,UN,11/17/2016
50 FR,21.10,21.10,19,782,2019 Futures,Florida State vs Alabama vs Mi,US,UN,1/12/2018
50 FR,21.13,21.13,17,795,"""AAAA""",2016 GA Southeast Divisional Cham,GA,SST,1/30/2016
50 FR,21.14,21.14,15,872,2019 Futures,2014 FL NASA Junior National Cham,GA,SST,3/26/2014
50 FR,21.19,21.19,17,789,"""AAAA""",2016 SE Southern Premier,GA,SST,3/5/2016
50 FR,21.28,21.28,19,764,2019 Futures,Florida State University Tripl,GA,UN,11/4/2017
50 FR,21.40,21.40,17,768,"""AAA""",2015 GA Senior Short Course St,GA,SST,12/5/2015
50 FR,21.63,21.63,16,773,"""AAAA""",2015 FL NASA Junior National Cham,GA,SST,3/26/2015
50 FR,21.63,21.63,15,825,"""AAAA""",2014 NC ESSZ SPEEDO Championsh,GA,SST,3/13/2014
50 FR,21.63,21.63,15,825,"""AAAA""",2014 FL NASA Junior National Cham,GA,SST,3/26/2014
50 FR,21.66,21.66,16,770,"""AAAA""",2015 NC Speedo Champions Serie,GA,SST,3/7/2015
50 FR,21.74,21.74,15,815,"""AAA""",2014 NC ESSZ SPEEDO Championsh,GA,SST,3/13/2014
50 FR,21.75,21.75,15,814,"""AAA""",2014 NC ESSZ SPEEDO Championsh,GA,SST,3/13/2014
50 FR,21.75,21.75,19,719,"""AAA""",2017 All Florida Invitational,GA,UN,9/22/2017
50 FR,21.77,21.77,16,759,"""AAA""",2014 GA Senior Short Course St,GA,SST,12/6/2014
50 FR,21.82,21.82,19,712,"""AAA""",Florida State vs Notre,US,UN,1/19/2018
50 FR,21.87,21.87,16,750,"""AAA""",2014 GA Senior Short Course St,GA,SST,12/6/2014
50 FR,21.90,21.90,17,720,"""AAA""",2016 GA Southeast Divisional Cham,GA,SST,1/30/2016
50 FR,21.93,21.93,16,744,"""AAA""",2014 GA Freestyle Frenzy,GA,SST,11/22/2014
50 FR,21.99r,21.99,15,791,"""AAA""",2013 GA GCAT Winter Sprinter,GA,SST,12/21/2013
50 FR,22.11,22.11,17,700,"""AAA""",2015 GA 18th Annual Carey Hilliard's I,GA,SST,10/25/2015
50 FR,22.19,22.19,16,719,"""AAA""",2014 GA 17th Annual Carey Hilliard's I,GA,SST,10/19/2014
50 FR,22.21,22.21,15,770,"""AAA""",2014 GA SST Winter Classic,GA,SST,1/11/2014
50 FR,22.21,22.21,16,717,"""AAA""",2015 GA SST Winter Classic,GA,SST,1/11/2015
50 FR,22.22,22.22,17,690,"""AAA""",2015 FL BSS TYR October Meet,GA,SST,10/18/2015
50 FR,22.22,22.22,17,690,"""AAA""",2016 GA SST Winter Classic,GA,SST,1/10/2016
