Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
100 FR,50.84,50.84,21,818,2018 Winter Juniors (SCY),Art Adamson Invitational,FL,UN,11/16/2018
100 FR,50.92,50.92,21,814,"""AAAA""",Art Adamson Invitational,FL,UN,11/16/2018
100 FL,54.54,54.54,21,857,"""AAAA""",Art Adamson Invitational,FL,UN,11/15/2018
100 FL,54.75,54.75,21,848,"""AAAA""",Art Adamson Invitational,FL,UN,11/15/2018
50 FR,22.92,22.92,21,874,2018 Winter Juniors (SCY),Art Adamson Invitational,FL,UN,11/14/2018
50 FR,23.04,23.04,21,861,2018 Winter Juniors (SCY),Art Adamson Invitational,FL,UN,11/14/2018
100 FR,50.34,50.34,21,844,2018 Winter Juniors (SCY),2018 HI Swimming Senior SCY Ch,FL,UN,11/10/2018
50 FR,23.97,23.97,21,769,2019 Futures,Roadrunner Invite,FL,UN,10/20/2018
100 FR,52.86,52.86,21,716,"""AAA""",Roadrunner Invite,FL,UN,10/20/2018
200 FR,1:55.66,1:55.66,21,667,"""AAA""",Roadrunner Invite,FL,UN,10/20/2018
50 FR,23.57,23.57,21,808,"""AAAA""",CSU Bakersfield Sprint Classic,FL,UN,10/19/2018
100 IM,59.47,59.47,21,714,"""Slower than B""",CSU Bakersfield Sprint Classic,FL,UN,10/19/2018
100 FR,50.89,50.89,20,815,2018 Winter Juniors (SCY),2018 MPSF Swim & Dive Champs,US,UN,2/17/2018
100 FR,51.18,51.18,20,801,"""AAAA""",2018 MPSF Swim & Dive Champs,US,UN,2/17/2018
200 FR,1:49.58,1:49.58,20,823,2018 Winter Juniors (SCY),2018 MPSF Swim & Dive Champs,US,UN,2/16/2018
200 FR,1:50.11,1:50.11,20,809,"""AAAA""",2018 MPSF Swim & Dive Champs,US,UN,2/16/2018
50 FR,23.27,23.27,20,838,2018 Winter Juniors (SCY),2018 MPSF Swim & Dive Champs,US,UN,2/15/2018
50 FR,23.29,23.29,20,836,2018 Winter Juniors (SCY),2018 MPSF Swim & Dive Champs,US,UN,2/15/2018
50 FR,23.76,23.76,20,790,2019 Futures,"Hawaii, Minnesota, Drury",US,UN,1/6/2018
100 FL,57.21,57.21,20,750,2019 Futures,"Hawaii, Minnesota, Drury",US,UN,1/6/2018
100 FR,51.59,51.59,20,780,2019 Futures,Art Adamson Invitational Worki,HI,UN,11/18/2017
100 FL,55.41,55.41,20,821,"""AAAA""",Art Adamson Invitational Worki,HI,UN,11/17/2017
100 FL,55.46,55.46,20,819,"""AAAA""",Art Adamson Invitational Worki,HI,UN,11/17/2017
50 FR,23.49r,23.49,20,816,2018 Winter Juniors (SCY),Art Adamson Invitational Worki,HI,UN,11/16/2017
50 FR,23.60,23.60,20,805,2019 Futures,Art Adamson Invitational Worki,HI,UN,11/16/2017
100 FR,51.30,51.30,20,794,2019 Futures,2017 HI Swimming Senior SCY,HI,UN,11/11/2017
100 FR,55.51,55.51,20,591,"""AA""",2017 HI Swimming Senior SCY,HI,UN,11/11/2017
50 FR,24.56,24.56,20,712,"""AAA""",UCSB V Hawaii 2017,HI,UN,10/29/2017
100 FL,57.39,57.39,20,742,2019 Futures,UCSB V Hawaii 2017,HI,UN,10/29/2017
50 FR,24.28,24.28,20,739,"""AAA""",CSUB v Hawaii v Idaho,HI,UN,10/28/2017
100 FL,56.45,56.45,20,780,2019 Futures,CSUB v Hawaii v Idaho,HI,UN,10/28/2017
100 FR,53.00,53.00,20,709,"""AAA""",2017 HI Senior Meet,HI,UN,10/21/2017
100 FL,57.10,57.10,20,754,2019 Futures,2017 HI Senior Meet,HI,UN,10/21/2017
100 FL,55.21,55.21,19,829,"""AAAA""",2017 PN Speedo Sectionals at Federal Way,HI,UN,3/18/2017
100 FL,55.52,55.52,19,817,"""AAAA""",2017 PN Speedo Sectionals at Federal Way,HI,UN,3/18/2017
50 FR,23.49,23.49,19,816,2018 Winter Juniors (SCY),2017 PN Speedo Sectionals at Federal Way,HI,UN,3/17/2017
100 FR,51.00,51.00,19,810,"""AAAA""",2017 PN Speedo Sectionals at Federal Way,HI,UN,3/16/2017
100 FR,51.06,51.06,19,807,"""AAAA""",2017 PN Speedo Sectionals at Federal Way,HI,UN,3/16/2017
50 FR,24.39,24.39,19,728,"""AAA""",2017 HI Oahu A+ Meet,HI,UN,1/15/2017
50 FR,24.39,24.39,19,728,"""AAA""",2017 HI Oahu A+ Meet,HI,UN,1/15/2017
100 FR,53.61,53.61,19,680,"""AA""",2017 HI Oahu A+ Meet,HI,UN,1/15/2017
