Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,23.80r,23.80,21,786,2019 Futures,2016 A3 Performance Invitation,CA,UN,11/17/2016
50 FR,23.92,23.92,23,774,2019 Futures,2018 MPSF Swim & Dive Champs,SI,UN,2/15/2018
50 FR,23.95,23.95,21,771,2019 Futures,2016 A3 Performance Invitation,CA,UN,11/17/2016
50 FR,24.02,24.02,22,764,2019 Futures,Art Adamson Invitational Worki,SI,UN,11/16/2017
50 FR,24.05,24.05,16,776,2019 Futures,2011 Speedo Short Course Junio,SI,PS,12/8/2011
50 FR,24.08r,24.08,17,758,2019 Futures,2012 Speedo Winter Jun Nationals,SI,PS,12/6/2012
50 FR,24.08r,24.08,17,758,2019 Futures,2012 Speedo Winter Jun Nationals,SI,PS,12/6/2012
50 FR,24.28,24.28,15,757,"""AAAA""",2010 CA SO CAL GRAND PRIX,CA,TCC,1/15/2010
50 FR,24.31,24.31,15,754,"""AAAA""",2010 CA SO CAL GRAND PRIX,CA,TCC,1/15/2010
50 FR,24.34,24.34,16,748,"""AAAA""",2011 CA Kevin B. Perry Senior,CA,UN,11/11/2011
50 FR,24.36,24.36,16,746,"""AAAA""",2011 CA Winter CA NV Sectional,SI,PS,12/16/2011
50 FR,24.46,24.46,16,737,"""AAAA""",2011 CA Spring Older JO's,CA,TCC,2/10/2011
50 FR,24.48,24.48,17,720,"""AAA""",2012 Speedo Winter Jun Nationals,SI,PS,12/6/2012
50 FR,24.50,24.50,17,718,"""AAA""",2012 CA Kevin B. Perry Senior,SI,PS,11/9/2012
50 FR,24.50,24.50,16,733,"""AAA""",2011 CA Spring Older JO's,CA,TCC,2/10/2011
50 FR,24.54,24.54,15,732,"""AAA""",2010 CA Spring Older JO's,CA,TCC,2/4/2010
50 FR,24.55,24.55,15,731,"""AAA""",2010 CA Winter CA NV Sectional,CA,TCC,12/17/2010
50 FR,24.59,24.59,18,709,"""AAA""",2013 CA  SCS Club Championship,CA,UN,2/16/2013
50 FR,24.61,24.61,17,707,"""AAA""",2012 NCSA Junior National Swim,SI,UN,3/20/2012
50 FR,24.61,24.61,16,722,"""AAA""",2011 CA SCS Senior Meet,CA,TCC,1/14/2011
50 FR,24.61,24.61,14,756,"""AAAA""",2009 CA - Speedo CA-NV Winter,CA,TCC,12/18/2009
50 FR,24.65,24.65,15,721,"""AAA""",2010 CA Spring Older JO's,CA,TCC,2/4/2010
50 FR,24.68,24.68,17,701,"""AAA""",2012 CA Winter CA NV Sectional,SI,PS,12/12/2012
50 FR,24.71,24.71,16,713,"""AAA""",2011 CA SCS Senior Meet,CA,TCC,1/14/2011
50 FR,24.77,24.77,14,741,"""AAAA""",2009 CA SCS/SAND Winter Age Gr,CA,TCC,12/11/2009
50 FR,24.81,24.81,17,689,"""AAA""",2012 SI Senior Classic,SI,PS,2/17/2012
50 FR,24.84,24.84,15,703,"""AAA""",2010 CA SCS Senior Invite Shor,CA,TCC,10/23/2010
50 FR,24.89,24.89,14,730,"""AAAA""",2009 CA SGWSC Older Spring JO,CA,TCC,2/5/2009
50 FR,24.97,24.97,15,691,"""AAA""",2010 CA SCS WAG SBSC at CERR,CA,TCC,12/10/2010
50 FR,24.98,24.98,13,778,"""AAAA""",2008 CA SCS/GWSC 13-Up JO's,CA,TMEC,2/1/2008
50 FR,25.02,25.02,17,669,"""AAA""",2012 SI Senior Classic,SI,PS,2/17/2012
50 FR,25.08,25.08,14,712,"""AAAA""",2009 CA Kevin B. Perry Senior,CA,TCC,11/13/2009
50 FR,25.11,25.11,14,709,"""AAA""",2009 CA SO CAL GRAND PRIX OF S,CA,TCC,1/16/2009
50 FR,25.12,25.12,15,677,"""AAA""",2010 CA TCC Fall Short Course,CA,TCC,10/15/2010
50 FR,25.14,25.14,14,707,"""AAA""",2009 CA Kevin B. Perry Senior,CA,TCC,11/13/2009
50 FR,25.18,25.18,14,703,"""AAA""",2009 CA SGWSC Older Spring JO,CA,TCC,2/5/2009
50 FR,25.18,25.18,15,672,"""AAA""",2010 CA Kevin B. Perry Senior Inv,CA,TCC,11/12/2010
50 FR,25.18,25.18,17,654,"""AAA""",2012 CA Kevin B. Perry Senior,SI,PS,11/9/2012
50 FR,25.19,25.19,14,702,"""AAA""",2009 CA SCS Senior Short Cours,CA,TCC,10/24/2009
50 FR,25.26,25.26,13,752,"""AAA""",2008 CA Armada Senior Short Co,CA,TCC,10/25/2008
50 FR,25.28,25.28,16,659,"""AAA""",2011 CA Kevin B. Perry Senior,CA,UN,11/11/2011
50 FR,25.30,25.30,13,748,"""AAA""",2008 CA SCS/GWSC 13-Up JO's,CA,TMEC,2/1/2008
50 FR,25.39,25.39,14,683,"""AAA""",2009 CA SCS All Star Swim Fest,CA,TCC,1/11/2009
50 FR,25.40r,25.40,14,682,"""AAA""",2009 CA SGWSC Older Spring JO,CA,TCC,2/7/2009
50 FR,25.41,25.41,15,650,"""AAA""",2010 CA Kevin B. Perry Senior Inv,CA,TCC,11/12/2010
50 FR,25.45,25.45,15,647,"""AAA""",2010 CA SCS WAG SBSC at CERR,CA,TCC,12/10/2010
50 FR,25.45,25.45,13,734,"""AAA""",2008 CA SCS WAG at SAND,CA,TCC,12/12/2008
50 FR,25.48,25.48,17,626,"""AA""",2012 SI PS Freestyle Festival,SI,PS,9/29/2012
50 FR,25.56,25.56,13,724,"""AAA""",2008 CA  SCS Winter Invitation,CA,TCC,12/18/2008
50 FR,25.57,25.57,13,723,"""AAA""",2008 CA Swim Festival-Correcte,CA,TMEC,1/12/2008
50 FR,25.60,25.60,14,664,"""AAA""",2009 CA Piranha Swim Team BRW,CA,TCC,11/20/2009
