Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,23.07,23.07,18,858,2018 Winter Juniors (SCY),2015 C-USA Women's Champs & C-,US,UN,2/19/2015
50 FR,23.13,23.13,20,852,2018 Winter Juniors (SCY),2017 American Ath. Conf. - Swi,US,UN,2/16/2017
50 FR,23.19,23.19,21,846,2018 Winter Juniors (SCY),2018 American Ath. Conf. - Swi,US,UN,2/15/2018
50 FR,23.20,23.20,18,845,2018 Winter Juniors (SCY),2015 C-USA Women's Champs & C-,US,UN,2/19/2015
50 FR,23.22,23.22,17,843,2018 Winter Juniors (SCY),2014 SE GKAISA Championship Swim Meet,SE,PA,7/25/2014
50 FR,23.23,23.23,21,842,2018 Winter Juniors (SCY),2018 American Ath. Conf. - Swi,US,UN,2/15/2018
50 FR,23.30,23.30,21,835,2018 Winter Juniors (SCY),2017 Georgia Tech Fall Invitat,US,UN,11/16/2017
50 FR,23.30r,23.30,20,835,2018 Winter Juniors (SCY),2017 American Ath. Conf. - Swi,US,UN,2/16/2017
50 FR,23.46r,23.46,18,819,2018 Winter Juniors (SCY),2015 C-USA Women's Champs & C-,US,UN,2/19/2015
50 FR,23.46,23.46,17,819,2018 Winter Juniors (SCY),2014 SE TISCA TN HS Swimming,SE,UN,2/14/2014
50 FR,23.51,23.51,17,814,"""AAAA""",2014 SE TISCA TN HS Swimming,SE,UN,2/14/2014
50 FR,23.54,23.54,21,811,"""AAAA""",2017 Georgia Tech Fall Invitat,US,UN,11/16/2017
50 FR,23.56,23.56,18,809,"""AAAA""",Louisville Cardinal Invitation,SE,UN,11/21/2014
50 FR,23.57,23.57,19,808,"""AAAA""",2016 American Ath. Conf. - Swi,US,UN,2/18/2016
50 FR,23.59,23.59,19,806,"""AAAA""",2016 American Ath. Conf. - Swi,US,UN,2/18/2016
50 FR,23.62,23.62,20,803,2019 Futures,2017 American Ath. Conf. - Swi,US,UN,2/16/2017
50 FR,23.65,23.65,17,800,"""AAAA""",2014 NC ESSZ SPEEDO Championsh,SE,PA,3/13/2014
50 FR,23.69,23.69,17,797,"""AAAA""",2014 SE KISL City Meet Champio,SE,UN,1/24/2014
50 FR,23.72,23.72,17,794,"""AAAA""",2013 SE XCEL Meet of Champs,SE,PA,12/6/2013
50 FR,23.72,23.72,18,794,"""AAAA""",Louisville Cardinal Invitation,SE,UN,11/21/2014
50 FR,23.73,23.73,20,793,2019 Futures,2016 Georgia Tech Fall Invitat,US,UN,11/17/2016
50 FR,23.75,23.75,16,805,2019 Futures,2012 SE XCEL Meet of Champs,SE,PA,12/7/2012
50 FR,23.85,23.85,17,781,"""AAAA""",2014 NC ESSZ SPEEDO Championsh,SE,PA,3/13/2014
50 FR,23.97,23.97,16,784,2019 Futures,2013 SE KISL City Meet Champio,SE,UN,1/27/2013
50 FR,23.97,23.97,16,784,2019 Futures,2013 SE KISL City Meet Champio,SE,UN,1/27/2013
50 FR,23.99,23.99,19,767,"""AAAA""",2015 Janis Dowd Nike Cup,US,UN,11/19/2015
50 FR,24.06,24.06,15,778,2019 Futures,2012 Tennessee Swimming & Divi,SE,UN,2/10/2012
50 FR,24.06,24.06,21,760,2019 Futures,ECU v. South Carolina,US,UN,1/13/2018
50 FR,24.11,24.11,21,755,"""AAA""",ECU Quad Meet,US,UN,10/14/2017
50 FR,24.11,24.11,17,755,"""AAA""",2014 SE GKAISA Championship Swim Meet,SE,PA,7/25/2014
50 FR,24.16,24.16,17,751,"""AAA""",2014 SE KISL City Meet Champio,SE,UN,1/24/2014
