Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,23.61,23.61,22,804,2019 Futures,Texas Hall of Fame Swimming In,CA,UN,11/29/2018
50 FR,23.72,23.72,22,794,2019 Futures,Texas Hall of Fame Swimming In,CA,UN,11/29/2018
50 FR,24.23r,24.23,18,744,"""AAA""",2014 CA OB CIF-SS Moore League Champs,CA,UN,5/8/2014
50 FR,24.34r,24.34,18,733,"""AAA""",2014 CA OB CIF-SS Division 2,CA,UN,5/16/2014
50 FR,24.61r,24.61,22,707,"""AAA""",UTAH vs USC,CA,UN,10/19/2018
50 FR,24.64r,24.64,18,705,"""AAA""",2014 CA OB CIF-SS Division 2,CA,UN,5/16/2014
50 FR,25.01r,25.01,15,687,"""AAA""",2011 CA Spring Older JO's,CA,WCS,2/12/2011
50 FR,25.86,25.86,13,697,"""AAA""",2009 CA Brea Aquatics SC BRW M,CA,WCS,11/7/2009
50 FR,25.97,25.97,13,687,"""AAA""",2009 CA  SEAL BEACH BRW  Age G,CA,WCS,10/10/2009
50 FR,25.97,25.97,15,600,"""AA""",2011 NCSA Jr Natl Time Trials,CA,WCS,3/15/2011
50 FR,25.98,25.98,14,630,"""AAA""",2010 CA  Seal Beach BRW Meet,CA,WCS,10/9/2010
50 FR,25.99,25.99,13,685,"""AAA""",2009 CA - Speedo CA-NV Winter,CA,WCS,12/18/2009
50 FR,26.34,26.34,14,598,"""AA""",2010 CA Kevin B. Perry Senior Inv,CA,WCS,11/12/2010
50 FR,27.34,27.34,12,621,"""AA""",2008 CA Seal Beach  AGE GROUP,CA,UN,10/11/2008
50 FR,27.46,27.46,12,611,"""AA""",2008 CA SCS WAG SBSC at CERR,CA,UN,12/12/2008
50 FR,27.71,27.71,12,592,"""AA""",2008 CA MISSION VIEJO TURKEY B,CA,UN,11/21/2008
50 FR,28.96,28.96,12,498,"""A""",2008 CA BREA Spr JOMax Champs,CA,SEAL,2/22/2008
50 FR,29.06,29.06,12,491,"""A""",2008 CA AAA JO Qualifier,CA,SEAL,1/18/2008
50 FR,30.21,30.21,11,494,"""BB""",2007 CA AAA JO Qual,CA,SEAL,2/23/2007
50 FR,30.74,30.74,10,574,"""AA""",2006 CA Winter AG Champs,CA,UN,12/8/2006
50 FR,30.76,30.76,10,572,"""AA""",2006 CA MVN Turkey F/S/S,CA,UN,11/17/2006
50 FR,30.76,30.76,10,572,"""AA""",2006 CA MVN Turkey Full Meet,CA,UN,11/17/2006
50 FR,30.80,30.80,11,453,"""BB""",2007 CA MVN Turkey Classic BR,CA,SEAL,11/16/2007
50 FR,30.82,30.82,10,569,"""AA""",2006 CA AAA JOMAX 07/06,CA,FVAA,7/28/2006
50 FR,31.96,31.96,10,497,"""A""",2006 CA AAA JO Qual 02/06,CA,FVAA,2/24/2006
50 FR,32.10r,32.10,9,623,"""A""",2005 CA SCS Winter AA SBSC 1,CA,FVAA,12/10/2005
50 FR,32.15,32.15,10,486,"""A""",2006 CA AZOT AG 2/06,CA,FVAA,2/4/2006
50 FR,32.69,32.69,10,453,"""BB""",2006 CA MVN Spring JO Max,CA,FVAA,3/17/2006
50 FR,33.85,33.85,9,519,"""BB""",2005 CA MVN AB Youngers,CA,FVAA,11/18/2005
50 FR,34.29,34.29,9,494,"""BB""",2005 CA NOVA ABC 09/05,CA,FVAA,9/24/2005
50 FR,35.05,35.05,9,451,"""BB""",2005 CA SCAL BC CHAMPS 03/05,CA,GWSC,3/18/2005
50 FR,39.32,39.32,8,235,"""B""",2004 CA GWSC ABC 12/04,CA,GWSC,12/4/2004
50 FR,40.21,40.21,8,196,"""Slower than B""",2004 CA FAST ABC 10/04,CA,GWSC,10/16/2004
50 FR,41.48,41.48,8,144,"""Slower than B""",2004 CA NOVA ABC 11/04,CA,GWSC,11/6/2004
50 FR,42.06,42.06,8,123,"""Slower than B""",2004 CA NOVA BC 07/04,CA,GWSC,7/30/2004
50 FR,45.54,45.54,7,19,"""Slower than B""",2003 CA GWSC ABC 1203,CA,GWSC,12/6/2003
50 FR,48.01,48.01,7,1,"""Slower than B""",2003 CA NOVA ABC 1103,CA,GWSC,11/15/2003
50 FR,49.07,49.07,7,1,"""Slower than B""",2003 CA SCAT ABC 1003,CA,GWSC,10/18/2003
100 FR,50.59,50.59,22,831,2018 Winter Juniors (SCY),USC vs Fresno Pacific,CA,UN,11/9/2018
100 FR,50.86,50.86,22,817,2018 Winter Juniors (SCY),Texas Hall of Fame Swimming In,CA,UN,12/1/2018
100 FR,51.32,51.32,22,793,2019 Futures,Texas Hall of Fame Swimming In,CA,UN,12/1/2018
100 FR,51.73,51.73,22,773,2019 Futures,2018 PAC-12 WOMEN'S SWIMMING &,US,UN,2/24/2018
100 FR,51.77,51.77,21,770,2019 Futures,Texas Hall of Fame Swimming In,CA,UN,12/2/2017
100 FR,52.01,52.01,22,758,2019 Futures,USC vs University of Arizona,CA,UN,11/3/2018
