Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,22.93r,22.93,17,873,2018 Winter Juniors (SCY),2015 MD LSC Senior Championshi,MD,NBAC,2/26/2015
50 FR,22.96,22.96,17,870,2018 Winter Juniors (SCY),2015 MD LSC Senior Championshi,MD,NBAC,2/28/2015
50 FR,23.13r,23.13,16,867,2018 Winter Juniors (SCY),2014 MD MARYLAND SWIMMING CHAMPIO,MD,NBAC,3/6/2014
50 FR,23.14,23.14,20,851,2018 Winter Juniors (SCY),UGA Fall Invitational 2017,MD,UN,12/1/2017
50 FR,23.24,23.24,20,841,2018 Winter Juniors (SCY),UGA Fall Invitational 2017,MD,UN,12/1/2017
50 FR,23.40,23.40,14,874,2018 Winter Juniors (SCY),2012 MD SWIMMING CHAMPIONSHIP,MD,NBAC,3/1/2012
50 FR,23.43,23.43,17,822,2018 Winter Juniors (SCY),2014 MD NBAC 41ST ANNUAL CHRISTMA,MD,NBAC,12/13/2014
50 FR,23.47,23.47,17,818,2018 Winter Juniors (SCY),2015 MD LSC Senior Championshi,MD,NBAC,2/28/2015
50 FR,23.48,23.48,15,835,2018 Winter Juniors (SCY),2013 MD SWIMMING CHAMPIONSHIP,MD,NBAC,3/7/2013
50 FR,23.54,23.54,17,811,"""AAAA""",2014 MD NBAC 41ST ANNUAL CHRISTMA,MD,NBAC,12/13/2014
50 FR,23.58,23.58,14,856,2019 Futures,2011 MD NBAC CHRISTMAS INVITATION,MD,NBAC,12/9/2011
50 FR,23.58r,23.58,18,807,"""AAAA""",Texas Swimming & Diving Hall o,MD,UN,12/3/2015
50 FR,23.60,23.60,15,823,2019 Futures,2012 MD NBAC CHRISTMAS INVITATION,MD,NBAC,12/14/2012
50 FR,23.68,23.68,16,812,2019 Futures,2013 MD NBAC Christmas Meet,MD,NBAC,12/13/2013
50 FR,23.72,23.72,18,794,"""AAAA""",2016 WOMENS PAC-12 SWIMMING CH,CA,UN,2/25/2016
