Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,19.70r,19.70,22,922,2019 Summer Nationals (LCM),UGA Fall Invitational 2017,PC,UN,12/1/2017
50 FR,19.87,19.87,20,905,2019 Summer Nationals (LCM),2016 SE Southern Premier,NC,MAC,3/5/2016
50 FR,19.94r,19.94,19,897,2019 Summer Juniors (LCM),2014 AT&T Winter National Cham,NC,QU,12/5/2014
50 FR,20.00r,20.00,19,891,2019 Summer Juniors (LCM),Wingate Fall Frenzy,NC,UN,11/21/2014
50 FR,20.37,20.37,19,854,2019 Summer Juniors (LCM),2014 AT&T Winter National Cham,NC,QU,12/4/2014
50 FR,20.37r,20.37,17,870,2018 Winter Nationals (LCM),2012 Speedo Winter Jun Nationals,NC,MAC,12/6/2012
50 FR,20.41,20.41,17,866,2018 Winter Nationals (LCM),2013 SE ES SPEEDO Sectional Se,NC,MAC,3/14/2013
50 FR,20.62,20.62,17,845,2019 Summer Juniors (LCM),2013 SE ES SPEEDO Sectional Se,NC,MAC,3/14/2013
50 FR,20.68,20.68,16,865,2019 Summer Juniors (LCM),2012 NC SwimMAC Tarheel States,NC,MAC,3/23/2012
50 FR,21.12,21.12,21,780,2019 Futures,2017 PC CAL INVITATIONAL,PC,CAL,1/14/2017
50 FR,21.14,21.14,17,794,"""AAAA""",2013 NC SwimMAC Larson-Allen I,NC,MAC,1/19/2013
50 FR,21.42,21.42,16,793,"""AAAA""",2012 NC SwimMAC Tarheel States,NC,MAC,3/23/2012
50 FR,21.47,21.47,15,840,"""AAAA""",2011 NC SZES Senior Championsh,NC,MAC,3/3/2011
50 FR,21.57,21.57,17,752,"""AAA""",2013 NC SwimMAC Larson-Allen I,NC,MAC,1/19/2013
50 FR,21.58,21.58,15,830,"""AAAA""",2011 NC SZES Senior Championsh,NC,MAC,3/3/2011
50 FR,21.64,21.64,17,745,"""AAA""",2012 Speedo Winter Jun Nationals,NC,MAC,12/6/2012
50 FR,21.73,21.73,15,816,"""AAAA""",2010 NC NSS 13-14/Senior Winte,NC,MAC,12/3/2010
50 FR,21.76,21.76,15,813,"""AAAA""",2010 NC NSS 13-14/Senior Winte,NC,MAC,12/3/2010
50 FR,21.97,21.97,15,793,"""AAAA""",2011 NC NCS Senior Championshi,NC,MAC,1/27/2011
50 FR,21.98,21.98,15,792,"""AAAA""",2011 NC NCS Senior Championshi,NC,MAC,1/27/2011
50 FR,22.22,22.22,14,812,"""AAAA""",2010 NC SZ East Sect AG Champs,NC,TEAM,3/11/2010
50 FR,22.36,22.36,14,799,"""AAAA""",2010 NC 14 & Under Age Group,NC,TEAM,2/18/2010
50 FR,22.46,22.46,15,747,"""AAA""",2011 NC MAC LarsonAllen Invite,NC,MAC,1/15/2011
50 FR,22.59,22.59,14,777,"""AAAA""",2010 NC SunKissed Invitational,NC,TEAM,3/25/2010
50 FR,22.60,22.60,14,776,"""AAAA""",2010 NC SunKissed Invitational,NC,TEAM,3/25/2010
50 FR,22.62,22.62,14,775,"""AAAA""",2010 NC Senior Championships,NC,TEAM,1/28/2010
