Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,23.04,23.04,21,861,2018 Winter Juniors (SCY),Art Adamson Invitational Worki,GU,UN,11/16/2017
50 FR,23.26,23.26,21,839,2018 Winter Juniors (SCY),Art Adamson Invitational Worki,GU,UN,11/16/2017
50 FR,23.33r,23.33,18,832,2018 Winter Juniors (SCY),UGA Fall Invitational 2014,SE,UN,12/5/2014
50 FR,23.33,23.33,18,832,2018 Winter Juniors (SCY),2015 Last Chance Meet,SE,UN,2/27/2015
50 FR,23.42,23.42,17,823,2018 Winter Juniors (SCY),2014 SE Southern Premier,FL,BSS,3/7/2014
50 FR,23.63,23.63,17,802,"""AAAA""",2014 SE Southern Premier,FL,BSS,3/7/2014
50 FR,23.65,23.65,17,800,"""AAAA""",2013 Speedo Winter Junior Nationals,FL,BSS,12/12/2013
50 FR,23.72,23.72,20,794,2019 Futures,2016 GU TWST Southern Senior Champs,GU,UN,12/3/2016
50 FR,23.82,23.82,20,784,2019 Futures,2016 GU TWST Southern Senior Champs,GU,UN,12/3/2016
50 FR,23.84,23.84,16,797,2019 Futures,2012 FL Bolles Time Trial,FL,BSS,11/13/2012
50 FR,24.09,24.09,15,775,2019 Futures,2012 FL BSS 3rd Jax50 Sprint Challenge,FL,BSS,4/20/2012
50 FR,24.20,24.20,14,796,"""AAAA""",2011 CO CHSAA 5A Girls State U,CO,UN,2/11/2011
50 FR,24.23,24.23,16,759,"""AAAA""",2013 FL BSS TYR Jax 50,FL,BSS,4/19/2013
50 FR,24.34,24.34,16,748,"""AAA""",2013 NCSA Junior Swim,FL,BSS,3/12/2013
50 FR,24.35,24.35,15,750,"""AAAA""",2012 FL BSS 3rd Jax50 Sprint Challenge,FL,BSS,4/20/2012
50 FR,24.38r,24.38,14,778,"""AAAA""",2011 PN Speedo Champions Series Western Region,CO,STAR,3/9/2011
50 FR,24.40,24.40,14,776,"""AAAA""",2011 PN Speedo Champions Series Western Region,CO,STAR,3/9/2011
50 FR,24.45,24.45,14,772,"""AAAA""",2011 CO CHSAA 5A Girls State U,CO,UN,2/11/2011
50 FR,24.46,24.46,14,771,"""AAAA""",2010 CO CSI Pioneer Open,CO,STAR,12/3/2010
50 FR,24.51,24.51,16,732,"""AAA""",2013 FL BSS TYR Jax 50,FL,BSS,4/19/2013
50 FR,24.53,24.53,15,733,"""AAA""",2012 FL Spring Senior Champs,FL,BSS,2/23/2012
50 FR,24.54,24.54,14,763,"""AAAA""",2010 CO CSI Pioneer Open,CO,STAR,12/3/2010
50 FR,24.54,24.54,14,763,"""AAAA""",2011 CO Colorado State Age Gro,CO,STAR,3/4/2011
50 FR,24.55,24.55,15,731,"""AAA""",2012 FL BSS 3rd Jax50 Sprint Challenge,FL,BSS,4/20/2012
50 FR,24.62,24.62,13,812,"""AAAA""",2010 CO CSI 14&U SCY Age Group,CO,DSA,3/5/2010
50 FR,24.71,24.71,14,747,"""AAAA""",2010 MN Grand Prix,CO,STAR,11/12/2010
50 FR,24.77,24.77,14,741,"""AAAA""",2010 CO HS Coaches Invitationa,CO,UN,12/18/2010
50 FR,24.78,24.78,15,709,"""AAA""",2011-FHSAA - A District 2,CO,UN,10/25/2011
50 FR,24.78,24.78,16,706,"""AAA""",2013 FL BSS TYR Jax 50,FL,BSS,4/19/2013
50 FR,24.80,24.80,14,738,"""AAAA""",2011 MV Midwest All Stars,CO,STAR,1/15/2011
50 FR,24.86,24.86,14,733,"""AAAA""",2010 CO HS Coaches Invitationa,CO,UN,12/18/2010
50 FR,24.89,24.89,14,730,"""AAAA""",2011 CO Colorado State Age Gro,CO,STAR,3/4/2011
50 FR,24.92,24.92,15,696,"""AAA""",2012 FL Winter Indoor Invite,FL,BSS,1/27/2012
50 FR,25.13,25.13,13,764,"""AAA""",2010 MN FOXJ Winter Classic,CO,DSA,1/15/2010
50 FR,25.15,25.15,13,762,"""AAA""",2010 CO CSI 14&U SCY Age Group,CO,DSA,3/5/2010
50 FR,25.16,25.16,15,674,"""AAA""",2012 FL Winter Indoor Invite,FL,BSS,1/27/2012
50 FR,25.21,25.21,13,756,"""AAA""",2010 CO Loveland Sweetheart Op,CO,DSA,2/19/2010
50 FR,25.21,25.21,14,700,"""AAA""",2010 CO CSST Fall Open,CO,STAR,10/22/2010
50 FR,25.36,25.36,13,743,"""AAA""",2009 CO FAST Mid Season Open,CO,DSA,12/11/2009
50 FR,25.42,25.42,13,737,"""AAA""",2009 CO CSI Pioneer Open,CO,DSA,12/4/2009
50 FR,25.49,25.49,12,770,"""AAAA""",2009 CO CSI Age Group Champion,CO,STAR,3/6/2009
50 FR,25.56,25.56,13,724,"""AAA""",2010 MN FOXJ Winter Classic,CO,DSA,1/15/2010
50 FR,25.58,25.58,13,722,"""AAA""",2009 CO FAST Mid Season Open,CO,DSA,12/11/2009
50 FR,25.62,25.62,12,759,"""AAAA""",2009 PC ALMA SCY FARW SC CHMP,CO,STAR,4/2/2009
50 FR,25.63,25.63,17,613,"""AA""",2014 FL BSS TYR February Meet,FL,BSS,1/31/2014
50 FR,25.66,25.66,13,715,"""AAA""",2009 CO CSI Pioneer Open,CO,DSA,12/4/2009
50 FR,25.70,25.70,12,753,"""AAAA""",2009 PC ALMA SCY FARW SC CHMP,CO,STAR,4/2/2009
50 FR,25.78,25.78,13,704,"""AAA""",2009 CO NJST Pineapple Open,CO,UN,11/6/2009
50 FR,25.80,25.80,12,744,"""AAAA""",2009 CO CSI Age Group Champion,CO,STAR,3/6/2009
50 FR,25.91,25.91,13,692,"""AAA""",2009 CO FST October Open,CO,UN,10/16/2009
50 FR,26.36,26.36,12,699,"""AAA""",2009 CO Sweetheart Open,CO,STAR,2/20/2009
50 FR,26.49,26.49,12,688,"""AAA""",2009 CO ACES  Winter Open,CO,STAR,1/30/2009
50 FR,26.54,26.54,12,684,"""AAA""",2009 MV Midwest All Star,CO,STAR,1/17/2009
50 FR,26.68,26.68,12,673,"""AAA""",2008 CO CSI Pineapple Open,CO,STAR,12/5/2008
50 FR,26.84,26.84,12,660,"""AAA""",2008 CO CSI Pineapple Open,CO,STAR,12/5/2008
50 FR,27.10,27.10,12,639,"""AA""",2008 CO CSST Fall Open,CO,STAR,10/24/2008
50 FR,27.31,27.31,12,623,"""AA""",2008 CO CUDA Pentathlon,CO,STAR,11/15/2008
50 FR,27.51,27.51,12,607,"""AA""",2008 CO ACES High Point Open,CO,STAR,11/7/2008
50 FR,27.77,27.77,11,673,"""AA""",2008 CO CSI 14 & Under SC Stat,CO,STAR,2/29/2008
50 FR,27.94,27.94,11,660,"""AA""",2008 CO CSI 14 & Under SC Stat,CO,STAR,2/29/2008
50 FR,28.09,28.09,11,649,"""AA""",2008 CO Loveland  Sweetheart M,CO,STAR,2/15/2008
50 FR,28.19,28.19,11,641,"""AA""",2008 CO TOPS Colorado Open,CO,STAR,1/25/2008
50 FR,28.61,28.61,10,715,"""AAA""",2007 CO 14&U SC State Champ,CO,HRA,3/2/2007
50 FR,28.88,28.88,11,589,"""A""",2007 CO CSST FALL OPEN,CO,UN,10/19/2007
50 FR,28.92,28.92,11,587,"""A""",2008 CO ACES  Winter Open,CO,STAR,2/1/2008
50 FR,29.35r,29.35,10,665,"""AAA""",2007 CO 14&U SC State Champ,CO,HRA,3/4/2007
50 FR,29.59,29.59,10,649,"""AAA""",2006 CO NJ Pineapple Open Non,CO,HRA,12/1/2006
50 FR,29.70,29.70,10,641,"""AAA""",2006 CO TOPS High Point Open,CO,HRA,11/10/2006
50 FR,29.83,29.83,10,633,"""AA""",2007 CO TOPS Colorado Open,CO,HRA,1/26/2007
50 FR,30.25,30.25,10,605,"""AA""",2006 CA MVN Turkey F/S/S,CO,HRA,11/17/2006
50 FR,30.25,30.25,10,605,"""AA""",2006 CA MVN Turkey Full Meet,CO,HRA,11/17/2006
50 FR,30.32,30.32,10,601,"""AA""",2007 MV Midwest All-Stars,CO,HRA,1/13/2007
50 FR,30.70,30.70,10,576,"""AA""",2006 CO CSST Fall Open,CO,HRA,10/20/2006
50 FR,30.81,30.81,9,704,"""AA""",2006 CO CSI Age Group State Ch,CO,HRA,3/3/2006
50 FR,31.03,31.03,9,690,"""AA""",2006 CO Little Cuda Open,CO,HRA,5/7/2006
50 FR,31.90,31.90,9,635,"""A""",2006 CO TOPS Colorado Open,CO,HRA,1/27/2006
50 FR,32.16,32.16,9,620,"""A""",2005 CO CSST Fall Open,CO,HRA,10/21/2005
50 FR,32.45,32.45,9,602,"""BB""",2005 CO TOPS High Point Open,CO,HRA,11/11/2005
50 FR,32.48,32.48,9,600,"""BB""",2005 CO AFA Falfins Winter Ope,CO,HRA,12/9/2005
50 FR,32.62,32.62,9,592,"""BB""",2005 CA MVN AB Youngers,CO,HRA,11/18/2005
50 FR,32.97,32.97,9,571,"""BB""",2006 CO High Altitude Classic,CO,HRA,1/13/2006
50 FR,34.17,34.17,8,500,"""BB""",2005 CO TOPS Colorado Open,CO,HRA,1/28/2005
50 FR,34.35r,34.35,8,490,"""BB""",2005 CO CSI Age Group State Ch,CO,HRA,3/4/2005
50 FR,34.79,34.79,8,465,"""BB""",2005 CO Aces Winter Open,CO,HRA,2/18/2005
50 FR,34.81,34.81,8,464,"""BB""",2005 CO Suburban League Qualif,CO,HRA,2/13/2005
50 FR,35.10,35.10,8,448,"""BB""",2005 CO EPSC High Altitude Cla,CO,HRA,1/14/2005
50 FR,35.41,35.41,8,431,"""BB""",2004 CO AFA Falfins Winter Ope,CO,HRA,12/10/2004
50 FR,35.42,35.42,8,430,"""BB""",2005 CO Silver State,CO,HRA,2/25/2005
50 FR,35.92,35.92,8,403,"""BB""",2005 CO Little Cuda Open,CO,HRA,4/3/2005
50 FR,36.40,36.40,8,378,"""B""",2004 CO TOPS High Point Open,CO,HRA,11/12/2004
50 FR,36.93,36.93,8,351,"""B""",2004 CO Thanksgiving at the Rock,CO,HRA,11/28/2004
50 FR,37.54,37.54,7,320,"""B""",2004 CO Little Cuda Open,CO,HRA,4/4/2004
50 FR,37.61,37.61,8,316,"""B""",2004 CA MVN AB - YOUNGERS 11/0,CO,HRA,11/19/2004
50 FR,37.72,37.72,8,311,"""B""",2004 CO CSST Fall Open,CO,HRA,10/22/2004
50 FR,37.83,37.83,7,305,"""B""",2004 CO HRA BB & Below,CO,HRA,2/8/2004
50 FR,37.95r,37.95,9,300,"""B""",2006 CO High Altitude Classic,CO,HRA,1/15/2006
50 FR,38.29,38.29,7,283,"""B""",2004 CO TOPS Colorado Open,CO,HRA,1/30/2004
50 FR,38.47,38.47,8,275,"""B""",2004 CO 8 & Under Festival,CO,HRA,8/4/2004
50 FR,39.22,39.22,7,240,"""B""",2003 CO CSST Fall Open,CO,HRA,10/24/2003
50 FR,39.25,39.25,7,238,"""B""",2004 CO High Altitude Classic,CO,HRA,1/16/2004
50 FR,39.33,39.33,7,235,"""B""",2003 CO North Jeffco Winter No,CO,HRA,12/5/2003
50 FR,40.17,40.17,7,198,"""Slower than B""",2003 CO TOPS High Point Open,CO,HRA,11/7/2003
100 FR,49.27,49.27,21,901,2017 US Open,2018 SEC Swimming & Diving Cha,GU,UN,2/18/2018
100 FR,49.47,49.47,21,890,2017 US Open,2018 SEC Swimming & Diving Cha,GU,UN,2/18/2018
100 FR,49.54,49.54,18,886,2019 Summer Juniors (LCM),2015 SEC Swimming & Diving Cha,SE,UN,2/21/2015
100 FR,49.80,49.80,21,872,2018 Winter Nationals (LCM),Art Adamson Invitational Worki,GU,UN,11/18/2017
100 FR,49.81,49.81,18,872,2019 Summer Juniors (LCM),2015 SEC Swimming & Diving Cha,SE,UN,2/21/2015
100 FR,49.92,49.92,21,866,2018 Winter Juniors (SCY),Art Adamson Invitational Worki,GU,UN,11/18/2017
100 FR,49.92,49.92,21,866,2018 Winter Juniors (SCY),2018 NCAA DI Women's Swimming,GU,UN,3/17/2018
100 FR,50.09r,50.09,21,857,2018 Winter Juniors (SCY),Art Adamson Invitational Worki,GU,UN,11/18/2017
100 FR,50.21,50.21,19,851,2018 Winter Juniors (SCY),2016 SEC Swimming & Diving Cha,SE,UN,2/20/2016
