Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,23.23r,23.23,19,842,2018 Winter Juniors (SCY),2016 SEC Swimming & Diving Cha,SC,UN,2/17/2016
50 FR,23.38,23.38,19,827,2018 Winter Juniors (SCY),2016 SEC Swimming & Diving Cha,SC,UN,2/17/2016
50 FR,23.39,23.39,18,826,2018 Winter Juniors (SCY),2015 Georgia Tech Fall Invitat,FG,UN,11/19/2015
50 FR,23.41r,23.41,18,824,2018 Winter Juniors (SCY),2015 Georgia Tech Fall Invitat,FG,UN,11/19/2015
50 FR,23.45,23.45,20,820,2018 Winter Juniors (SCY),2017 SEC Swimming & Diving Cha,US,UN,2/15/2017
50 FR,23.59r,23.59,20,806,"""AAAA""",Auburn University Invite,US,UN,2/2/2018
50 FR,23.60,23.60,18,805,"""AAAA""",2015 Georgia Tech Fall Invitat,FG,UN,11/19/2015
50 FR,23.65,23.65,20,800,2019 Futures,Auburn University Invite,US,UN,2/2/2018
50 FR,23.70,23.70,19,796,2019 Futures,2016 Georgia Tech Fall Invitat,SC,UN,11/17/2016
50 FR,23.74,23.74,20,792,2019 Futures,2017 Georgia Tech Fall Invitat,US,UN,11/16/2017
50 FR,23.80,23.80,20,786,2019 Futures,Auburn University Invite,US,UN,2/2/2018
50 FR,23.93,23.93,17,773,"""AAAA""",FHSAA Swimming and Diving Cham,FG,UN,11/15/2014
50 FR,23.98r,23.98,17,768,"""AAAA""",FHSAA Swimming and Diving Cham,FG,UN,11/15/2014
50 FR,24.07,24.07,20,759,2019 Futures,Florida State vs Alabama vs Mi,US,UN,1/12/2018
50 FR,24.11,24.11,19,755,"""AAA""",Texas A&M vs. South Carolina,SC,UN,10/28/2016
50 FR,24.13r,24.13,20,754,"""AAA""",Florida State vs Minnesota,US,UN,10/7/2017
50 FR,24.16r,24.16,17,751,"""AAA""",FHSAA Swimming and Diving Cham,FG,UN,11/15/2014
50 FR,24.19,24.19,17,748,"""AAA""",2014 FHSAA 1A Region 4  USA-S,FG,UN,11/8/2014
50 FR,24.19,24.19,17,748,"""AAA""",FHSAA Swimming and Diving Cham,FG,UN,11/15/2014
50 FR,24.19,24.19,20,748,"""AAA""",UF vs. FSU 010518,US,UN,1/5/2018
50 FR,24.22,24.22,18,745,"""AAA""",2015 FG Florida Gold Coast Senior,FG,SAS,3/22/2015
