Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,24.82,24.82,14,736,"""AAAA""",2011 FG Speedo Winter Champs,FG,SOFL,11/17/2011
50 FR,24.94,24.94,14,725,"""AAAA""",2011 FG Speedo Winter Champs,FG,SOFL,11/17/2011
50 FR,24.94,24.94,17,676,"""AAA""",2015 FG Florida Gold Coast Senior,FG,SOFL,3/22/2015
50 FR,25.08,25.08,17,663,"""AAA""",2015 FG Florida Gold Coast Senior,FG,SOFL,3/22/2015
50 FR,25.18r,25.18,17,654,"""AAA""",2015 FG Florida Gold Coast Senior,FG,SOFL,3/20/2015
50 FR,26.02r,26.02,17,578,"""AA""",Florida Gold Coast Sprint Cham,FG,SOFL,12/6/2014
50 FR,26.03r,26.03,16,591,"""AA""",2013 FG Friday Distance - IMX/IMR Chal,FG,SOFL,9/28/2013
50 FR,26.05,26.05,17,575,"""AA""",Florida Gold Coast Sprint Cham,FG,SOFL,12/6/2014
50 FR,26.59,26.59,13,632,"""AA""",2010 FG Broward County Champs,FG,UN,12/11/2010
50 FR,28.55r,28.55,10,719,"""AAA""",2008 FG Junior Olympic Champs,FG,PST,3/1/2008
50 FR,28.66,28.66,10,712,"""AAA""",2008 FG Sprint Pentathlon 13&O,FG,PST,2/8/2008
50 FR,28.73,28.73,10,707,"""AAA""",2008 FL vs. FGC All-Star Meet,FG,PST,3/29/2008
50 FR,28.79,28.79,10,703,"""AAA""",2007 FG Winter Champs,FG,UN,11/15/2007
50 FR,28.87,28.87,10,697,"""AAA""",2007 FG Comets Oct. Open Invite,FG,UN,10/5/2007
50 FR,29.02,29.02,10,687,"""AAA""",2008 FG Scots Winter Invite,FG,PST,1/25/2008
50 FR,29.06,29.06,10,684,"""AAA""",2008 FG Plantation Feb Invite,FG,PST,2/9/2008
50 FR,29.08,29.08,10,683,"""AAA""",2007 FG Top 16 Invitational,FG,UN,9/14/2007
50 FR,29.23,29.23,10,673,"""AAA""",2007 FG Winter Champs,FG,UN,11/15/2007
50 FR,29.49,29.49,10,655,"""AAA""",2007 FG Comets Oct. A-Invite #102607-F,FG,UN,10/26/2007
50 FR,29.64,29.64,10,645,"""AAA""",2007 FG Palm Beach County,FG,UN,8/25/2007
50 FR,30.34,30.34,9,734,"""AA""",2007 FG Junior Olympics,FG,CST,3/15/2007
50 FR,30.66,30.66,9,713,"""AA""",2007 FG Pre JO-021707,FG,CST,2/17/2007
50 FR,30.81,30.81,9,704,"""AA""",2007 FG Junior Olympics,FG,CST,3/15/2007
50 FR,31.00,31.00,9,692,"""AA""",2007 FL vs. FGC All-Star Meet,FG,CST,3/24/2007
50 FR,31.10,31.10,9,685,"""A""",2007 FG Plantation Swim Team Invite,FG,CST,2/23/2007
50 FR,32.71,32.71,8,586,"""BB""",2006 FG Division II South,FG,CST,3/3/2006
50 FR,32.85,32.85,8,578,"""BB""",2006 FG Division II South,FG,CST,3/3/2006
50 FR,33.02,33.02,8,568,"""BB""",2006 FG Speedo JO Champs,FG,CST,3/16/2006
