Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,23.40,23.40,20,825,2018 Winter Juniors (SCY),UGA Fall Invitational 2016,FL,UN,12/2/2016
50 FR,23.59,23.59,14,855,2018 Winter Nationals (LCM),2011 FL Swimming Spring Senior,FL,UN,2/24/2011
50 FR,23.66,23.66,18,800,"""AAAA""",2014 FL CAT Jingle Bell Meet,FL,CAT,12/12/2014
50 FR,23.67r,23.67,18,799,"""AAAA""",2015 FL NASA Junior National Cham,FL,CAT,3/24/2015
50 FR,23.69,23.69,17,797,"""AAAA""",2014 FL NASA Junior National Cham,FL,CAT,3/26/2014
50 FR,23.70,23.70,17,796,"""AAAA""",2014 FL NASA Junior National Cham,FL,CAT,3/26/2014
50 FR,23.75,23.75,19,791,"""AAAA""",UGA Fall Invitational 2015,SE,UN,12/4/2015
50 FR,23.78,23.78,14,837,2019 Futures,2011 FL Swimming Age Groups Ch,FL,UN,2/17/2011
50 FR,23.84,23.84,14,831,2017 US Open,2010 SCY Juniors,FL,TBAY,12/9/2010
50 FR,23.88,23.88,17,778,"""AAAA""",2014 FL Pinellas County Aquatic,FL,UN,9/20/2014
50 FR,23.95,23.95,14,820,2019 Futures,2011 FL Swimming Age Groups Ch,FL,UN,2/17/2011
50 FR,24.17,24.17,14,799,"""AAAA""",2011 FL Swimming Spring Senior,FL,UN,2/24/2011
50 FR,24.17,24.17,14,799,"""AAAA""",2011 FL CAT Al Soltis Memorial,FL,UN,1/15/2011
50 FR,24.17,24.17,17,750,"""AAA""",2014 FL CAT Al Soltis Memorial,FL,CAT,1/18/2014
50 FR,24.18,24.18,12,882,"""AAAA""",2009 FL Elizabeth Kazeck Fall Inv,FL,TBAY,9/26/2009
50 FR,24.20,24.20,14,796,"""AAAA""",2011 FL CAT Last Chance,FL,UN,2/4/2011
50 FR,24.23,24.23,13,849,"""AAAA""",2010 FL vs. FGC All-Star Meet,FL,TBAY,4/10/2010
50 FR,24.36,24.36,15,749,"""AAAA""",2012 FL Spring Senior Champs,FL,CAT,2/23/2012
50 FR,24.39,24.39,12,864,"""AAAA""",2009 FL 13th Annual Sweet,FL,TBAY,9/11/2009
50 FR,24.39,24.39,12,864,"""AAAA""",2009 FL 13th Annual Sweet,FL,TBAY,9/11/2009
50 FR,24.44,24.44,13,829,"""AAAA""",2010 FL Spring JO Champs,FL,TBAY,2/18/2010
50 FR,24.46,24.46,18,722,"""AAA""",2014 FL CAT Fall Harvest Classic,FL,CAT,11/16/2014
50 FR,24.46,24.46,18,722,"""AAA""",2015 FL CAT Al Soltis Memorial In,FL,CAT,1/17/2015
50 FR,24.46,24.46,18,722,"""AAA""",2015 FL CAT Al Soltis Memorial In,FL,CAT,1/17/2015
50 FR,24.49,24.49,18,719,"""AAA""",2014 FL CAT Jingle Bell Meet,FL,CAT,12/12/2014
50 FR,24.49,24.49,12,855,"""AAAA""",2009 FL Elizabeth Kazeck Fall Inv,FL,TBAY,9/26/2009
50 FR,24.50,24.50,17,718,"""AAA""",2014 FL Pinellas County Aquatic,FL,UN,9/20/2014
50 FR,24.51,24.51,13,822,"""AAAA""",2010 FL TBAY Invitational,FL,TBAY,6/26/2010
50 FR,24.54,24.54,17,714,"""AAA""",2014 FL CAT Last Chance,FL,CAT,3/1/2014
50 FR,24.57,24.57,12,848,"""AAAA""",2009 FL 13th Annual Sweet,FL,TBAY,9/11/2009
50 FR,24.57,24.57,12,848,"""AAAA""",2009 FL 13th Annual Sweet,FL,TBAY,9/11/2009
50 FR,24.62,24.62,13,812,"""AAAA""",2010 FL Spring JO Champs,FL,TBAY,2/18/2010
50 FR,24.64,24.64,13,810,"""AAAA""",2009 FL Gator Holiday Classic,FL,TBAY,12/4/2009
50 FR,24.66,24.66,13,808,"""AAAA""",2010 FL Spring SR Champs,FL,TBAY,2/25/2010
50 FR,24.68,24.68,13,806,"""AAAA""",2010 FL Area 3-5 Champs,FL,TBAY,3/19/2010
50 FR,24.68,24.68,14,750,"""AAAA""",2010 FL SPA Friday Nite at the Races,FL,TBAY,10/29/2010
50 FR,24.69,24.69,15,718,"""AAA""",2011 CAT Jingle Bell Meet,FL,CAT,12/2/2011
50 FR,24.70,24.70,13,804,"""AAAA""",2009 FL WFLA Halloween Invite,FL,TBAY,10/16/2009
50 FR,24.71,24.71,14,747,"""AAAA""",2011 FL FSPA Invitational Meet,FL,UN,10/8/2011
50 FR,24.72,24.72,16,712,"""AAA""",2013 FL CAT Al Soltis Memorial Me,FL,CAT,1/19/2013
50 FR,24.73,24.73,15,714,"""AAA""",2012 FL CAT Last Chance TT,FL,CAT,2/11/2012
50 FR,24.75,24.75,14,743,"""AAAA""",2010 FL CAT Fall Classic,FL,TBAY,11/5/2010
50 FR,24.78,24.78,12,830,"""AAAA""",2009 FL TBAY Invite,FL,TBAY,7/11/2009
50 FR,24.79,24.79,12,829,"""AAAA""",2009 FL Friday Nite Races SPA,FL,TBAY,10/2/2009
50 FR,24.82,24.82,13,793,"""AAAA""",2010 FL Spring SR Champs,FL,TBAY,2/25/2010
50 FR,24.84,24.84,13,791,"""AAAA""",2010 FL 14th Annual Sweet Sept,FL,TBAY,9/10/2010
50 FR,24.85,24.85,13,790,"""AAAA""",2010 FL Area 3-5 Champs,FL,TBAY,3/19/2010
50 FR,24.91,24.91,13,784,"""AAAA""",2009 FL Patriot Aquatics Winter,FL,TBAY,11/14/2009
50 FR,24.92,24.92,12,818,"""AAAA""",2009 FL Friday Nite Races SPA,FL,TBAY,10/2/2009
50 FR,24.93,24.93,13,783,"""AAAA""",2009 FL Gator Holiday Classic,FL,TBAY,12/4/2009
50 FR,24.98,24.98,12,813,"""AAAA""",2009 FL Spring JO Champs,FL,TBAY,2/19/2009
50 FR,25.06,25.06,14,714,"""AAAA""",2011 FL FSPA Invitational Meet,FL,UN,10/8/2011
50 FR,25.09,25.09,13,768,"""AAAA""",SPA-Friday Nite Races 10/30/2009,FL,TBAY,10/30/2009
50 FR,25.15r,25.15,18,657,"""AAA""",2015 SE War Eagle Invitational,SE,AU,10/10/2015
50 FR,25.20,25.20,15,670,"""AAA""",2012 FL CAT Al Soltis Memorial Me,FL,CAT,1/14/2012
50 FR,25.21,25.21,14,700,"""AAA""",2010 FL WFLA Halloween Invite,FL,TBAY,10/15/2010
50 FR,25.23,25.23,13,755,"""AAA""",2010 FL SPA-Saturday Morning Races,FL,TBAY,3/13/2010
50 FR,25.36,25.36,13,743,"""AAA""",2010 FL SPA $1.50 Per Event Meet,FL,TBAY,1/16/2010
