Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,24.69,24.69,21,700,"""AAA""",Texas A&M vs. North Texas Wome,GU,UN,1/11/2017
100 FR,51.63,51.63,21,778,2019 Futures,Texas A&M v Florida,GU,UN,11/5/2016
100 FR,51.90,51.90,23,764,2019 Futures,Art Adamson Invitational,GU,UN,11/16/2018
100 FR,52.77,52.77,21,721,"""AAA""",Texas A&M v LSU 2017,GU,UN,1/21/2017
200 FR,1:49.18r,1:49.18,20,834,2018 Winter Juniors (SCY),UGA Fall Invitational 2015,MA,UN,12/5/2015
200 FR,1:49.28r,1:49.28,23,831,2018 Winter Juniors (SCY),Art Adamson Invitational,GU,UN,11/15/2018
200 FR,1:49.33,1:49.33,21,830,2018 Winter Juniors (SCY),Texas A&M v Florida,GU,UN,11/5/2016
200 FR,1:49.57,1:49.57,23,824,2018 Winter Juniors (SCY),Art Adamson Invitational,GU,UN,11/15/2018
200 FR,1:49.80,1:49.80,21,817,"""AAAA""",Art Adamson Invitational,GU,UN,11/18/2016
200 FR,1:49.99,1:49.99,23,812,"""AAAA""",UT Men & Women vs. TAMU,GU,UN,11/2/2018
200 FR,1:50.58,1:50.58,22,797,"""AAAA""",Alabama v Texas A&M,GU,UN,10/20/2018
200 FR,1:51.10,1:51.10,21,783,"""AAAA""",Art Adamson Invitational,GU,UN,11/18/2016
200 FR,1:54.29,1:54.29,22,701,"""AAA""",RICE VS TEXAS A&M,GU,UN,12/2/2017
200 FR,1:54.62,1:54.62,22,693,"""AAA""",LSU vs A&M,GU,UN,1/20/2018
500 FR,4:47.21,4:47.21,21,865,2019 Summer Juniors (LCM),Art Adamson Invitational,GU,UN,11/17/2016
500 FR,4:49.54,4:49.54,22,841,2018 Winter Juniors (SCY),Texas A&M v Texas 2017,GU,UN,11/3/2017
500 FR,4:53.36,4:53.36,21,801,"""AAAA""",Texas A&M vs Auburn,GU,UN,10/21/2017
1000 FR,10:01.87,10:01.87,21,837,2018 Winter Juniors (SCY),Texas A&M v LSU 2017,GU,UN,1/21/2017
1000 FR,10:08.62,10:08.62,23,806,"""AAAA""",Texas A&M v TCU/Rice,GU,UN,12/1/2018
50 BK,27.74r,27.74,22,732,"""Slower than B""",LSU vs A&M,GU,UN,1/20/2018
100 BK,58.46,58.46,22,742,"""AAA""",SMU vs A&M,GU,UN,1/9/2018
100 BR,1:02.25,1:02.25,22,874,2017 US Open,Texas A&M v Texas 2017,GU,UN,11/3/2017
100 BR,1:04.17,1:04.17,21,806,2018 Winter Juniors (SCY),Texas A&M vs Auburn,GU,UN,10/21/2017
100 BR,1:04.29,1:04.29,21,802,2018 Winter Juniors (SCY),Notre Dame vs. TAMU vs. MSU,GU,UN,10/13/2017
100 BR,1:04.32,1:04.32,22,801,"""AAAA""",Texas A&M v Missouri 2018,GU,UN,1/6/2018
100 BR,1:05.88,1:05.88,22,748,2019 Futures,Ohio State vs Texas A&M and Lo,GU,UN,10/12/2018
200 BR,2:11.50,2:11.50,21,917,2019 Summer Nationals (LCM),2017 SEC Swimming & Diving Cha,GU,UN,2/18/2017
200 BR,2:12.53,2:12.53,22,901,2017 US Open,2018 SEC Swimming & Diving Cha,GU,UN,2/18/2018
200 BR,2:12.86,2:12.86,21,896,2019 Summer Nationals (LCM),2017 SEC Swimming & Diving Cha,GU,UN,2/18/2017
200 BR,2:12.90,2:12.90,22,895,2017 US Open,2018 SEC Swimming & Diving Cha,GU,UN,2/18/2018
200 BR,2:13.23,2:13.23,22,890,2017 US Open,Art Adamson Invitational Worki,GU,UN,11/18/2017
200 BR,2:14.09,2:14.09,21,876,2017 US Open,2017 NCAA DI Women's,GU,UN,3/18/2017
200 BR,2:14.30,2:14.30,21,873,2017 US Open,Art Adamson Invitational,GU,UN,11/19/2016
200 BR,2:14.57,2:14.57,23,869,2017 US Open,Art Adamson Invitational,GU,UN,11/16/2018
200 BR,2:15.11,2:15.11,22,860,2019 Summer Juniors (LCM),2018 NCAA DI Women's Swimming,GU,UN,3/17/2018
200 BR,2:15.60,2:15.60,20,852,2019 Summer Juniors (LCM),2016 Women's B1G Champs,MA,UN,2/20/2016
200 BR,2:16.05,2:16.05,22,845,"""AAAA""",Art Adamson Invitational Worki,GU,UN,11/18/2017
200 BR,2:17.55,2:17.55,23,822,"""AAAA""",Art Adamson Invitational,GU,UN,11/16/2018
200 BR,2:17.97,2:17.97,23,815,"""AAAA""",UT Men & Women vs. TAMU,GU,UN,11/2/2018
200 BR,2:17.98,2:17.98,21,815,"""AAAA""",Art Adamson Invitational,GU,UN,11/19/2016
200 BR,2:18.22,2:18.22,21,812,"""AAAA""",Texas A&M vs SMU Women,GU,UN,1/20/2017
200 BR,2:18.37,2:18.37,21,809,"""AAAA""",Notre Dame vs. TAMU vs. MSU,GU,UN,10/14/2017
200 BR,2:19.08,2:19.08,20,798,2018 Winter Juniors (SCY),Michigan-UVA-Penn St Tri Meet,US,UN,11/1/2015
200 BR,2:19.23,2:19.23,22,796,2018 Winter Juniors (SCY),Texas A&M v Missouri 2018,GU,UN,1/6/2018
200 BR,2:19.67,2:19.67,22,789,2018 Winter Juniors (SCY),Alabama v Texas A&M,GU,UN,10/20/2018
200 BR,2:20.62,2:20.62,22,775,2019 Futures,SMU vs A&M,GU,UN,1/9/2018
200 BR,2:21.21,2:21.21,22,766,2019 Futures,Ohio State vs Texas A&M and Lo,GU,UN,10/13/2018
200 BR,2:21.50,2:21.50,22,761,2019 Futures,LSU vs A&M,GU,UN,1/20/2018
100 FL,58.09,58.09,23,715,"""AAA""",Texas A&M v TCU/Rice,GU,UN,12/1/2018
100 FL,58.09,58.09,23,715,"""AAA""",Texas A&M v TCU/Rice,GU,UN,12/1/2018
100 FL,58.09,58.09,23,715,"""AAA""",Texas A&M v TCU/Rice,GU,UN,12/1/2018
200 FL,1:59.79,1:59.79,20,873,2018 Winter Juniors (SCY),UGA Fall Invitational 2015,MA,UN,12/6/2015
200 FL,2:00.46,2:00.46,20,861,2018 Winter Juniors (SCY),UGA Fall Invitational 2015,MA,UN,12/6/2015
200 FL,2:02.00,2:02.00,21,835,2018 Winter Juniors (SCY),UT Women vs. Texas A&M,GU,UN,11/3/2016
200 FL,2:02.41,2:02.41,21,828,2018 Winter Juniors (SCY),Texas A&M vs SMU Women,GU,UN,1/20/2017
200 FL,2:03.50,2:03.50,20,809,2019 Futures,Michigan-UVA-Penn St Tri Meet,US,UN,10/31/2015
200 FL,2:03.95,2:03.95,21,801,2019 Futures,Art Adamson Invitational,GU,UN,11/19/2016
100 IM,59.45,59.45,22,714,"""Slower than B""",RICE VS TEXAS A&M,GU,UN,12/2/2017
200 IM,1:56.50,1:56.50,21,978,2019 Summer Nationals (LCM),2017 SEC Swimming & Diving Cha,GU,UN,2/15/2017
200 IM,1:56.60,1:56.60,21,976,2019 Summer Nationals (LCM),2017 SEC Swimming & Diving Cha,GU,UN,2/15/2017
200 IM,1:57.22,1:57.22,22,963,2019 Summer Nationals (LCM),2018 SEC Swimming & Diving Cha,GU,UN,2/15/2018
200 IM,1:57.22,1:57.22,22,963,2019 Summer Nationals (LCM),2018 SEC Swimming & Diving Cha,GU,UN,2/15/2018
200 IM,1:57.31,1:57.31,23,961,2019 Summer Nationals (LCM),Art Adamson Invitational,GU,UN,11/14/2018
200 IM,1:57.63,1:57.63,21,954,2019 Summer Nationals (LCM),2017 NCAA DI Women's,GU,UN,3/16/2017
200 IM,1:57.91,1:57.91,23,948,2019 Summer Nationals (LCM),Art Adamson Invitational,GU,UN,11/14/2018
200 IM,1:58.64,1:58.64,21,932,2019 Summer Nationals (LCM),Art Adamson Invitational,GU,UN,11/17/2016
200 IM,1:58.77,1:58.77,22,930,2017 US Open,Art Adamson Invitational Worki,GU,UN,11/16/2017
200 IM,1:59.23,1:59.23,22,920,2017 US Open,Art Adamson Invitational Worki,GU,UN,11/16/2017
200 IM,1:59.63,1:59.63,20,911,2019 Summer Juniors (LCM),2016 Women's B1G Champs,MA,UN,2/18/2016
200 IM,1:59.68,1:59.68,20,910,2019 Summer Juniors (LCM),UGA Fall Invitational 2015,MA,UN,12/4/2015
200 IM,1:59.97,1:59.97,21,904,2017 US Open,Art Adamson Invitational,GU,UN,11/17/2016
200 IM,2:00.29,2:00.29,20,897,2019 Summer Juniors (LCM),2016 Women's B1G Champs,MA,UN,2/18/2016
200 IM,2:00.50,2:00.50,22,893,2019 Summer Juniors (LCM),2018 NCAA DI Women's Swimming,GU,UN,3/15/2018
200 IM,2:00.92,2:00.92,23,884,2018 Winter Nationals (LCM),UT Men & Women vs. TAMU,GU,UN,11/2/2018
200 IM,2:01.00,2:01.00,21,882,2018 Winter Juniors (SCY),Notre Dame vs. TAMU vs. MSU,GU,UN,10/13/2017
200 IM,2:01.41,2:01.41,21,874,2018 Winter Juniors (SCY),UT Women vs. Texas A&M,GU,UN,11/3/2016
200 IM,2:01.46,2:01.46,21,873,2018 Winter Juniors (SCY),Texas A&M v Florida,GU,UN,11/5/2016
200 IM,2:01.48,2:01.48,22,872,2018 Winter Juniors (SCY),Ohio State vs Texas A&M and Lo,GU,UN,10/12/2018
200 IM,2:01.95,2:01.95,20,862,2018 Winter Juniors (SCY),UGA Fall Invitational 2015,MA,UN,12/4/2015
200 IM,2:02.17,2:02.17,21,858,2018 Winter Juniors (SCY),Texas A&M vs Auburn,GU,UN,10/21/2017
200 IM,2:03.49,2:03.49,20,831,2018 Winter Juniors (SCY),Michigan-UVA-Penn St Tri Meet,US,UN,10/31/2015
200 IM,2:04.71,2:04.71,21,806,2019 Futures,Texas A&M v LSU 2017,GU,UN,1/21/2017
200 IM,2:07.82,2:07.82,22,744,2019 Futures,LSU vs A&M,GU,UN,1/20/2018
400 IM,4:07.51,4:07.51,23,961,2019 Summer Nationals (LCM),Art Adamson Invitational,GU,UN,11/15/2018
400 IM,4:07.59,4:07.59,21,960,2019 Summer Nationals (LCM),2017 NCAA DI Women's,GU,UN,3/17/2017
400 IM,4:07.90,4:07.90,21,957,2019 Summer Nationals (LCM),2017 SEC Swimming & Diving Cha,GU,UN,2/16/2017
400 IM,4:08.31,4:08.31,22,953,2019 Summer Nationals (LCM),2018 SEC Swimming & Diving Cha,GU,UN,2/16/2018
400 IM,4:08.67,4:08.67,21,950,2019 Summer Nationals (LCM),2017 NCAA DI Women's,GU,UN,3/17/2017
400 IM,4:08.72,4:08.72,21,949,2019 Summer Nationals (LCM),2017 SEC Swimming & Diving Cha,GU,UN,2/16/2017
400 IM,4:09.34,4:09.34,22,943,2019 Summer Nationals (LCM),2018 SEC Swimming & Diving Cha,GU,UN,2/16/2018
400 IM,4:11.71,4:11.71,22,921,2019 Summer Nationals (LCM),Art Adamson Invitational Worki,GU,UN,11/17/2017
400 IM,4:11.80,4:11.80,20,920,2019 Summer Nationals (LCM),UGA Fall Invitational 2015,MA,UN,12/5/2015
400 IM,4:11.81,4:11.81,21,920,2019 Summer Nationals (LCM),Art Adamson Invitational,GU,UN,11/18/2016
400 IM,4:11.90,4:11.90,20,919,2019 Summer Nationals (LCM),UGA Fall Invitational 2015,MA,UN,12/5/2015
400 IM,4:12.23,4:12.23,22,916,2019 Summer Juniors (LCM),Texas A&M v Texas 2017,GU,UN,11/3/2017
400 IM,4:12.37,4:12.37,22,914,2019 Summer Juniors (LCM),2018 NCAA DI Women's Swimming,GU,UN,3/16/2018
400 IM,4:12.83,4:12.83,20,910,2019 Summer Nationals (LCM),2016 Women's B1G Champs,MA,UN,2/19/2016
400 IM,4:12.84,4:12.84,22,910,2019 Summer Juniors (LCM),Art Adamson Invitational Worki,GU,UN,11/17/2017
400 IM,4:13.60,4:13.60,20,903,2019 Summer Nationals (LCM),Last Chance Qualifier-Women,MA,UN,2/28/2016
400 IM,4:14.07,4:14.07,23,898,2019 Summer Juniors (LCM),Art Adamson Invitational,GU,UN,11/15/2018
400 IM,4:14.56,4:14.56,20,894,2019 Summer Juniors (LCM),2016 Women's B1G Champs,MA,UN,2/19/2016
400 IM,4:15.11,4:15.11,21,888,2017 US Open,Art Adamson Invitational,GU,UN,11/18/2016
400 IM,4:15.23,4:15.23,21,887,2017 US Open,Notre Dame vs. TAMU vs. MSU,GU,UN,10/14/2017
400 IM,4:16.69,4:16.69,22,874,2018 Winter Juniors (SCY),Texas A&M v Missouri 2018,GU,UN,1/6/2018
400 IM,4:17.83,4:17.83,20,863,2018 Winter Juniors (SCY),Michigan-UVA-Penn St Tri Meet,US,UN,11/1/2015
400 IM,4:17.89,4:17.89,21,862,2018 Winter Juniors (SCY),Texas A&M vs. North Texas Wome,GU,UN,1/11/2017
400 IM,4:18.20,4:18.20,22,860,2018 Winter Juniors (SCY),Ohio State vs Texas A&M and Lo,GU,UN,10/13/2018
400 IM,4:18.80,4:18.80,21,854,2018 Winter Juniors (SCY),Texas A&M vs SMU Women,GU,UN,1/20/2017
400 IM,4:19.67,4:19.67,22,846,2018 Winter Juniors (SCY),Alabama v Texas A&M,GU,UN,10/20/2018
400 IM,4:21.91,4:21.91,20,825,2018 Winter Juniors (SCY),Last Chance Qualifier-Women,MA,UN,2/28/2016
