Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,23.82,23.82,21,784,2019 Futures,2017 Janis Hape Dowd Carolina,FL,UN,2/3/2017
50 FR,23.91,23.91,21,775,2019 Futures,2017 Janis Hape Dowd Carolina,FL,UN,2/3/2017
50 FR,24.17,24.17,22,750,"""AAA""",2017 Georgia Tech Fall Invitat,FL,UN,11/16/2017
50 FR,24.26,24.26,21,741,"""AAA""",UGA Fall Invitational 2016,FL,UN,12/2/2016
50 FR,24.70,24.70,16,714,"""AAA""",2012 GU TWST Short Course Champs II,GU,TWST,2/17/2012
50 FR,24.75,24.75,17,694,"""AAA""",2013 GU TWST SC Champs II,GU,TWST,3/1/2013
50 FR,24.82,24.82,16,702,"""AAA""",2012 GU TWST Short Course Champs II,GU,TWST,2/17/2012
50 FR,24.84,24.84,17,686,"""AAA""",2013 GU TWST SC Champs II,GU,TWST,3/1/2013
50 FR,25.04,25.04,16,682,"""AAA""",2012 GU AGS Speedo Sectional Champs,GU,TWST,3/1/2012
50 FR,25.19,25.19,17,653,"""AAA""",2012 GU AGS Senior Champs,GU,TWST,11/30/2012
50 FR,25.31,25.31,15,660,"""AAA""",2011 GU TWST Short Course Champs,GU,AMBU,2/25/2011
50 FR,25.41r,25.41,22,633,"""AA""",Florida State vs Minnesota,FL,UN,10/7/2017
50 FR,25.49,25.49,17,625,"""AA""",2012 GU AGS Senior Champs,GU,TWST,11/30/2012
50 FR,25.60,25.60,15,633,"""AAA""",2011 GU AGS Speedo Sectional Champs,GU,AMBU,3/3/2011
50 FR,25.60,25.60,14,664,"""AAA""",2010 GU TWST Spring Champs,GU,AMBU,2/19/2010
50 FR,25.71,25.71,16,620,"""AA""",2012 NCSA Junior National Swim,GU,TWST,3/20/2012
50 FR,25.71,25.71,17,605,"""AA""",2013 GU TWST SC Open,GU,TWST,1/19/2013
50 FR,25.72,25.72,14,653,"""AAA""",2010 GU TWST TAGS SC Champs,GU,AMBU,3/11/2010
50 FR,25.82,25.82,15,613,"""AA""",2011 GU TWST Short Course Champs,GU,AMBU,2/25/2011
50 FR,25.82,25.82,14,644,"""AAA""",2010 GU TWST Spring Champs,GU,AMBU,2/19/2010
