Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,20.59,20.59,18,832,2019 Summer Juniors (LCM),2014 Speedo Winter Junior Cham,FL,BD,12/11/2014
50 FR,20.78,20.78,18,813,2018 Winter Juniors (SCY),2014 Speedo Winter Junior Cham,FL,BD,12/11/2014
50 FR,20.81,20.81,18,810,2018 Winter Juniors (SCY),2014 FL PA Fall Invite,FL,BD,11/16/2014
50 FR,21.15r,21.15,18,777,"""AAAA""",2014 FG FHSAA Swimming,FL,UN,11/7/2014
50 FR,21.56,21.56,17,753,"""AAA""",2013 FL CAT Jingle Bell Meet,FL,BD,12/13/2013
50 FR,21.79r,21.79,18,715,"""AAA""",2014 FG FHSAA Swimming,FL,UN,11/7/2014
50 FR,21.79,21.79,19,715,"""AAA""",2015 All Florida Invitational,FL,UN,9/18/2015
50 FR,21.82r,21.82,17,728,"""AAA""",2014 FL Spring Senior Champion,FL,BD,2/28/2014
50 FR,21.83r,21.83,18,711,"""AAA""",2015 FL Spring Senior Championship,FL,BD,2/27/2015
50 FR,21.87,21.87,17,723,"""AAA""",2013 FL Patriot Aquatics Fall Inv,FL,BD,11/15/2013
50 FR,21.87,21.87,17,723,"""AAA""",2013 FL Patriot Aquatics Fall Inv,FL,BD,11/15/2013
50 FR,21.93,21.93,17,717,"""AAA""",2013 FL CAT Jingle Bell Meet,FL,BD,12/13/2013
50 FR,22.14r,22.14,18,681,"""AAA""",2015 FL BD Central Florida Relays,FL,BD,1/31/2015
50 FR,22.19r,22.19,16,719,"""AAA""",2012 FL Patriot Aquatics Fall Inv,FL,BD,11/10/2012
50 FR,22.44r,22.44,15,749,"""AAA""",2011 FL Patriot Aquatics Fall Inv,FL,BD,11/12/2011
50 FR,22.45,22.45,16,695,"""AAA""",2013 NCSA Junior Swim,FL,BD,3/12/2013
50 FR,22.60,22.60,15,734,"""AAA""",2011 FL GSC Holiday Classic,FL,BD,12/2/2011
50 FR,22.63r,22.63,17,651,"""AA""",2013 FHSAA 4A Region 2,FL,UN,11/8/2013
50 FR,22.69,22.69,15,726,"""AAA""",2011 FL GSC Holiday Classic,FL,BD,12/2/2011
50 FR,22.98r,22.98,16,646,"""AA""",2012 - FHSAA - 3A District 2,FL,UN,10/27/2012
50 FR,23.20,23.20,15,679,"""AA""",2011 FL Patriot Aquatics Fall Inv,FL,BD,11/12/2011
50 FR,23.31,23.31,15,669,"""AA""",Mac Crutchfield Short Course I,FL,BD,1/27/2012
50 FR,23.36,23.36,15,665,"""AA""",2012 FL Spring Senior Champs,FL,BD,2/23/2012
50 FR,23.61,23.61,14,685,"""AAA""",2011 FL Swimming Spring Senior,FL,BD,2/24/2011
50 FR,23.72,23.72,14,675,"""AAA""",2011 FL Swimming Age Groups Ch,FL,BD,2/17/2011
50 FR,24.19,24.19,14,634,"""AA""",2010 FL CAT Jingle Bell Meet,FL,BD,12/3/2010
50 FR,24.42,24.42,14,614,"""AA""",2011 FL YCF Winter Invite Sanction #5,FL,BD,1/21/2011
