Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,19.73,19.73,19,919,2019 Summer Nationals (LCM),2016 Men's B1G S&D,IN,UN,2/25/2016
50 FR,19.73,19.73,19,919,2019 Summer Nationals (LCM),2016 Men's B1G S&D,IN,UN,2/25/2016
50 FR,19.78,19.78,20,914,2019 Summer Nationals (LCM),2016 AT&T Winter National Cham,IN,IU,12/1/2016
50 FR,19.81,19.81,21,911,2017 US Open,Purdue Invite 2017,IN,UN,11/16/2017
50 FR,19.87,19.87,21,905,2017 US Open,2018 Men's B1G Swimming & Divi,IN,UN,2/22/2018
50 FR,19.89,19.89,21,903,2017 US Open,Purdue Invite 2017,IN,UN,11/16/2017
50 FR,19.92,19.92,20,899,2017 US Open,2016 AT&T Winter National Cham,IN,IU,12/1/2016
50 FR,19.93,19.93,21,898,2017 US Open,2018 Men's B1G Swimming & Divi,IN,UN,2/22/2018
50 FR,20.04,20.04,20,887,2017 US Open,2017 MEN'S B1G,IN,UN,2/23/2017
50 FR,20.23,20.23,19,868,2019 Summer Juniors (LCM),2015 Hoosierland Closed Invita,IN,UN,12/3/2015
50 FR,20.30,20.30,18,861,2019 Summer Juniors (LCM),2015 MAC Mens Championships,US,UN,3/5/2015
50 FR,20.31,20.31,18,860,2019 Summer Juniors (LCM),2015 MAC Mens Championships,US,UN,3/5/2015
50 FR,20.39,20.39,20,852,2019 Summer Juniors (LCM),TN vs KY vs IU,IN,UN,10/27/2017
50 FR,20.46,20.46,20,845,2019 Summer Juniors (LCM),IU - Cincinnati - Notre Dame,IN,UN,11/9/2017
50 FR,20.59,20.59,20,832,2019 Summer Juniors (LCM),Purdue vs. IU 2017,IN,UN,1/21/2017
50 FR,20.65,20.65,20,826,2018 Winter Juniors (SCY),UF vs. Indiana & Texas,IN,UN,10/20/2017
50 FR,20.68,20.68,19,823,2018 Winter Juniors (SCY),IU - UC,IN,UN,11/11/2016
50 FR,20.69,20.69,20,822,2018 Winter Juniors (SCY),IU - Michigan,IN,UN,1/13/2017
50 FR,20.69,20.69,21,822,2018 Winter Juniors (SCY),Louisville vs Indiana,IN,UN,1/26/2018
50 FR,20.73,20.73,21,818,2018 Winter Juniors (SCY),IU - PU Dual Meet,IN,UN,1/20/2018
50 FR,20.73,20.73,20,818,2018 Winter Juniors (SCY),UF vs. Indiana & Texas,IN,UN,10/21/2017
50 FR,20.80,20.80,20,811,2018 Winter Juniors (SCY),IU -  Louisville,IN,UN,1/27/2017
50 FR,20.82,20.82,18,809,2018 Winter Juniors (SCY),IU - KY - TN - UNC,IN,UN,10/30/2015
50 FR,20.83,20.83,18,808,2018 Winter Juniors (SCY),UT vs Indiana vs Florida,IN,UN,10/17/2015
50 FR,20.99,20.99,19,793,2018 Winter Juniors (SCY),2016 IU - PU Meet,IN,UN,1/23/2016
50 FR,21.09,21.09,18,783,"""AAAA""",Auburn vs Indiana,IN,UN,11/7/2015
50 FR,21.28,21.28,17,780,"""AAAA""",2014 NI - Ob -  NYS Federation Swimming,MR,UN,2/28/2014
50 FR,21.28,21.28,17,780,"""AAAA""",2014 NI - Ob -  NYS Federation Swimming,MR,UN,2/28/2014
50 FR,21.50,21.50,17,759,"""AAA""",2014 NI - Ob -  NYS Federation Swimming,MR,UN,2/28/2014
50 FR,21.69,21.69,17,740,"""AAA""",2014 MR OB CHSAA City Championships,MR,UN,2/6/2014
