Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,25.56r,25.56,19,619,"""AA""",2014 Georgia Tech Fall Invitat,FL,UN,11/20/2014
50 FR,26.22,26.22,20,560,"""AA""",2016 FL RATS Stanton C. Craigie Invite,FL,IRSC,2/6/2016
50 FR,26.25r,26.25,19,557,"""AA""",2015 FL RATS Stanton C. Craigie Memori,FL,IRSC,2/8/2015
50 FR,26.85r,26.85,15,523,"""AA""",2011 GA Northern Divisional Champ,GA,LINS,3/26/2011
50 FR,27.23,27.23,14,521,"""AA""",2010 GA Rays Invite,GA,TWS,2/5/2010
50 FR,27.34,27.34,14,512,"""AA""",2010 SE NIKE SC Invitational,GA,TWS,1/16/2010
50 FR,27.38,27.38,17,461,"""A""",2012 GA Marlins Invite,GA,LINS,11/30/2012
50 FR,27.46,27.46,15,471,"""A""",2010 GA Marlins Invite,GA,LINS,12/10/2010
50 FR,27.74,27.74,13,534,"""A""",2009 GA Northern Div Champ,GA,TWS,3/27/2009
50 FR,27.94,27.94,18,415,"""BB""",2013 GA SwimAtlanta Veterans Weekend I,GA,SA,11/16/2013
50 FR,28.09,28.09,15,420,"""BB""",2010 GA Hurricane Fall Classic,GA,LINS,10/29/2010
50 FR,28.19,28.19,14,442,"""A""",2009 GA RAYS IMX,GA,TWS,11/6/2009
50 FR,28.64,28.64,13,461,"""A""",2008 GA AP TWS vs. SwimAtlanta,GA,TWS,10/26/2008
50 FR,29.03r,29.03,12,493,"""A""",2008 GA Northern Divisional Champ,GA,TWS,3/29/2008
50 FR,29.15,29.15,12,485,"""A""",2008 GA Northern Divisional Champ,GA,TWS,3/28/2008
50 FR,29.18,29.18,13,418,"""BB""",2008 GA IMX Invitational,GA,TWS,11/7/2008
50 FR,29.70,29.70,12,446,"""A""",2008 GA Northern Divisional Champ,GA,TWS,3/28/2008
50 FR,30.61,30.61,12,383,"""BB""",2007 GA TWS Invite 2007,GA,TWS,11/30/2007
50 FR,30.61,30.61,12,383,"""BB""",2008 SE Pilot January Classic,GA,TWS,1/18/2008
50 FR,30.74,30.74,12,374,"""BB""",2007 GA IMX Invitational,GA,TWS,11/9/2007
50 FR,32.54,32.54,12,261,"""B""",2007 GA TWS Big Brother Big Sister,GA,TWS,9/30/2007
50 FR,32.66,32.66,11,333,"""B""",2007 GA RAYS Invitational,GA,TWS,2/2/2007
50 FR,33.55,33.55,11,280,"""B""",2007 SC Stingray Invite,GA,TWS,1/12/2007
50 FR,33.58,33.58,11,278,"""B""",2006 GA IMX Invitational,GA,TWS,11/10/2006
50 FR,34.16,34.16,11,245,"""B""",2006 GA TWS Invite,GA,TWS,12/1/2006
50 FR,35.45,35.45,11,176,"""Slower than B""",Tidal Wave Big Brother & Big S,GA,UN,10/1/2006
50 FR,45.86,45.86,8,13,"""Slower than B""",2003 GA ABSC vs TWS,GA,TWS,10/12/2003
100 FR,54.48r,54.48,18,638,"""AAA""",2014 GA OBS GHSA 6A State Swimming &,GA,UN,2/7/2014
100 FR,54.87r,54.87,19,620,"""AA""",2014 Georgia Tech Fall Invitat,FL,UN,11/22/2014
100 FR,54.94,54.94,20,617,"""AA""",2016 FL RATS Stanton C. Craigie Invite,FL,IRSC,2/7/2016
100 FR,55.58r,55.58,18,588,"""AA""",2014 GA OBS GHSA 6A State Swimming &,GA,UN,2/7/2014
100 FR,55.58,55.58,21,588,"""AA""",2017 FL ATAC Mac Crutchfield SC I,FL,NOLE,1/29/2017
100 FR,55.66,55.66,15,604,"""AAA""",2011 GA Northern Divisional Champ,GA,LINS,3/25/2011
100 FR,56.28,56.28,16,570,"""AA""",2011 GA Georgia Short Course Senior Ch,GA,LINS,12/9/2011
100 FR,56.34,56.34,17,553,"""AA""",2012 GA Georgia Senior Short Course St,GA,LINS,12/7/2012
100 FR,56.46,56.46,15,568,"""AA""",2011 GA Northern Divisional Champ,GA,LINS,3/25/2011
100 FR,56.72,56.72,21,537,"""A""",2017 FL ATAC Mac Crutchfield SC I,FL,NOLE,1/29/2017
100 FR,57.85,57.85,13,584,"""AA""",2009 GA Northern Div Champ,GA,TWS,3/27/2009
100 FR,57.94r,57.94,14,543,"""AA""",2010 GA Georgia 14&U SC,GA,TWS,2/28/2010
100 FR,58.05,58.05,15,499,"""AA""",2010 GA 4TH ANNUAL LUQMAN R. EL-AMIN I,GA,LINS,11/12/2010
100 FR,58.14,58.14,13,571,"""AA""",2009 GA Northern Div Champ,GA,TWS,3/27/2009
100 FR,58.24,58.24,17,472,"""A""",2012 GA 6TH Annual Luqman R El-Amin,GA,LINS,11/9/2012
100 FR,58.30,58.30,18,469,"""A""",2013 GA SwimAtlanta Veterans Weekend I,GA,SA,11/16/2013
100 FR,58.32,58.32,15,487,"""A""",2011 MS Laurel Winter Invite,GA,LINS,1/14/2011
100 FR,58.33,58.33,14,526,"""AA""",2010 GA Northern Divisional Champ,GA,UN,3/26/2010
100 FR,58.72,58.72,16,465,"""A""",2011 GA 5TH ANNUAL LUQMAN R EL-AMIN IN,GA,LINS,11/11/2011
100 FR,59.01,59.01,14,498,"""AA""",2010 SE NIKE SC Invitational,GA,TWS,1/16/2010
100 FR,59.14,59.14,14,492,"""AA""",2010 GA Northern Divisional Champ,GA,UN,3/26/2010
100 FR,59.37,59.37,18,425,"""A""",2013 GA SCAT Fall Invitational,GA,UN,10/5/2013
100 FR,59.53,59.53,16,432,"""A""",2011 GA Marlins Invite,GA,LINS,12/2/2011
100 FR,59.95,59.95,14,459,"""A""",2009 GA RAYS IMX,GA,TWS,11/6/2009
100 FR,1:00.49,1:00.49,13,473,"""A""",2009 GA 65th Annual Short Course Coach,GA,TWS,1/16/2009
100 FR,1:00.57,1:00.57,13,470,"""A""",2008 GA TWS Invite,GA,TWS,12/5/2008
100 FR,1:00.91,1:00.91,13,456,"""A""",2008 GA TWS Invite,GA,TWS,12/5/2008
100 FR,1:01.03,1:01.03,15,379,"""BB""",2010 GA Marlins Invite,GA,LINS,12/10/2010
100 FR,1:02.57,1:02.57,13,392,"""BB""",2008 GA IMX Invitational,GA,TWS,11/7/2008
100 FR,1:03.09,1:03.09,15,304,"""BB""",2010 GA Hurricane Fall Classic,GA,LINS,10/29/2010
100 FR,1:03.43r,1:03.43,12,448,"""BB""",2008 GA 14 & Under Short Cours,GA,TWS,3/2/2008
100 FR,1:03.86,1:03.86,14,312,"""BB""",2009 GA AP Big Brother/Big Sister,GA,TWS,10/4/2009
100 FR,1:05.71,1:05.71,13,282,"""BB""",2008 GA AP TWS Big Brother - Big Sister,GA,TWS,10/5/2008
100 FR,1:07.73,1:07.73,12,308,"""BB""",2008 SE Pilot January Classic,GA,TWS,1/18/2008
100 FR,1:09.83,1:09.83,12,247,"""B""",2007 GA IMX Invitational,GA,TWS,11/9/2007
100 FR,1:09.89,1:09.89,12,246,"""B""",2007 GA TWS vs. SwimAtlanta,GA,TWS,10/21/2007
100 FR,1:11.85,1:11.85,11,269,"""B""",2007 GA Northern Div Champs,GA,TWS,3/23/2007
100 FR,1:12.61,1:12.61,11,248,"""B""",2007 GA RAYS Invitational,GA,TWS,2/2/2007
100 FR,1:15.17,1:15.17,11,184,"""Slower than B""",2006 GA TWS Invite,GA,TWS,12/1/2006
100 FR,1:16.00,1:16.00,11,165,"""Slower than B""",2007 GA TWS-DAQ-SWAT Tri Meet,GA,TWS,1/28/2007
100 FR,1:17.95,1:17.95,11,123,"""Slower than B""",2006 GA IMX Invitational,GA,TWS,11/10/2006
100 FR,1:20.22,1:20.22,11,80,"""Slower than B""",TWS vs. Swim Atlanta,GA,TWS,10/22/2006
200 FR,1:56.35,1:56.35,22,651,"""AAA""",2017 Georgia Tech Fall Invitat,FL,UN,11/17/2017
200 FR,1:56.90r,1:56.90,19,637,"""AAA""",2014 Georgia Tech Fall Invitat,FL,UN,11/21/2014
200 FR,1:56.96,1:56.96,20,636,"""AAA""",2016 FL RATS Stanton C. Craigie Invite,FL,IRSC,2/6/2016
200 FR,1:58.11,1:58.11,19,609,"""AA""",2015 FL RATS Stanton C. Craigie Memori,FL,IRSC,2/7/2015
200 FR,1:58.39,1:58.39,18,602,"""AA""",2013 GA Senior Short Course St,GA,SA,12/6/2013
200 FR,1:59.18,1:59.18,15,605,"""AAA""",2011 GA Northern Divisional Champ,GA,LINS,3/25/2011
200 FR,1:59.23,1:59.23,22,583,"""AA""",Florida State University Tripl,FL,UN,11/4/2017
200 FR,1:59.55,1:59.55,17,584,"""AA""",2012 GA Georgia Senior Short Course St,GA,LINS,12/7/2012
200 FR,1:59.87,1:59.87,21,568,"""AA""",2016 FL NOLE 12 Days of Waves,FL,NOLE,12/10/2016
200 FR,1:59.89,1:59.89,16,577,"""AA""",2011 GA Georgia Short Course Senior Ch,GA,LINS,12/9/2011
200 FR,2:00.73,2:00.73,22,549,"""AA""",Florida State vs Notre,US,UN,1/19/2018
200 FR,2:01.75,2:01.75,15,547,"""AA""",2011 GA Northern Divisional Champ,GA,LINS,3/25/2011
200 FR,2:03.53,2:03.53,15,508,"""AA""",2011 MS Laurel Winter Invite,GA,LINS,1/14/2011
200 FR,2:03.97,2:03.97,15,499,"""AA""",2010 GA Senior State Champs,GA,LINS,12/3/2010
200 FR,2:04.14,2:04.14,17,483,"""A""",2013 GA Northern Divisional Champ,GA,LINS,3/22/2013
200 FR,2:05.31,2:05.31,18,451,"""A""",2014 SE Ralph Crocker Classic,GA,SA,1/17/2014
200 FR,2:05.48,2:05.48,17,456,"""A""",2013 GA Northern Divisional Champ,GA,LINS,3/22/2013
200 FR,2:06.29,2:06.29,18,431,"""A""",2013 GA SCAT Fall Invitational,GA,UN,10/5/2013
200 FR,2:06.32,2:06.32,14,486,"""AA""",2010 GA Northern Divisional Champ,GA,UN,3/26/2010
200 FR,2:06.86,2:06.86,17,428,"""A""",2012 GA ABSC vs. LINS vs. CBF,GA,LINS,10/21/2012
200 FR,2:07.34,2:07.34,13,501,"""AA""",2009 GA Northern Div Champ,GA,TWS,3/27/2009
200 FR,2:07.73,2:07.73,15,422,"""A""",2010 GA Marlins Invite,GA,LINS,12/10/2010
200 FR,2:07.81,2:07.81,13,491,"""AA""",2009 GA RAYS Invitational,GA,TWS,2/20/2009
200 FR,2:09.56,2:09.56,15,386,"""A""",2010 GA 4TH ANNUAL LUQMAN R. EL-AMIN I,GA,LINS,11/12/2010
200 FR,2:10.09,2:10.09,15,376,"""A""",2010 GA Hurricane Fall Classic,GA,LINS,10/29/2010
200 FR,2:10.39,2:10.39,14,405,"""A""",2010 GA Northern Divisional Champ,GA,UN,3/26/2010
200 FR,2:10.64,2:10.64,13,435,"""A""",2009 GA Northern Div Champ,GA,TWS,3/27/2009
200 FR,2:11.00,2:11.00,14,394,"""A""",2010 SE NIKE SC Invitational,GA,TWS,1/16/2010
200 FR,2:17.02,2:17.02,13,319,"""BB""",2008 GA IMX Invitational,GA,TWS,11/7/2008
200 FR,2:17.45,2:17.45,12,417,"""A""",2008 GA RAYS Invitational,GA,TWS,2/15/2008
200 FR,2:17.86,2:17.86,13,305,"""BB""",2008 GA TWS Invite,GA,TWS,12/5/2008
200 FR,2:18.96,2:18.96,12,392,"""A""",2008 GA TWS-SWAT-DAQ Tri-Meet,GA,TWS,2/3/2008
200 FR,2:20.26,2:20.26,12,371,"""BB""",2008 SE Pilot January Classic,GA,TWS,1/18/2008
200 FR,2:21.47,2:21.47,14,219,"""BB""",2009 GA AP TWS-SA Dual Meet,GA,TWS,10/25/2009
200 FR,2:22.19,2:22.19,12,341,"""BB""",2007 GA IMX Invitational,GA,TWS,11/9/2007
200 FR,2:22.85,2:22.85,12,331,"""BB""",2007 GA TWS Invite 2007,GA,TWS,11/30/2007
200 FR,2:34.22,2:34.22,11,261,"""B""",2007 GA RAYS Invitational,GA,TWS,2/2/2007
200 FR,2:35.68,2:35.68,11,242,"""B""",2007 GA Northern Div Champs,GA,TWS,3/23/2007
200 FR,2:36.47,2:36.47,11,233,"""B""",2007 SC Stingray Invite,GA,TWS,1/12/2007
200 FR,2:41.73,2:41.73,11,172,"""B""",2006 GA TWS Invite,GA,TWS,12/1/2006
200 FR,2:48.94,2:48.94,11,102,"""Slower than B""",2006 GA IMX Invitational,GA,TWS,11/10/2006
500 FR,5:07.79,5:07.79,18,659,"""AAA""",2014 GA OBS GHSA 6A State Swimming &,GA,UN,2/7/2014
500 FR,5:08.48,5:08.48,19,653,"""AAA""",2015 NI - Ob - NJCAA Swimming & Diving Champs,FL,UN,3/5/2015
500 FR,5:08.91,5:08.91,22,649,"""AAA""",2017 Georgia Tech Fall Invitat,FL,UN,11/16/2017
500 FR,5:09.58,5:09.58,20,643,"""AAA""",2015 Georgia Tech Fall Invitat,FL,UN,11/19/2015
500 FR,5:10.31,5:10.31,18,636,"""AAA""",2014 GA OBS GHSA 6A State Swimming &,GA,UN,2/7/2014
500 FR,5:10.63,5:10.63,16,644,"""AAA""",2012 NCSA Junior National Swim,GA,LINS,3/20/2012
500 FR,5:10.74,5:10.74,19,632,"""AAA""",2014 Georgia Tech Fall Invitat,FL,UN,11/20/2014
500 FR,5:11.10,5:11.10,18,629,"""AAA""",2013 GA Senior Short Course St,GA,SA,12/6/2013
500 FR,5:12.32,5:12.32,17,628,"""AAA""",2013 GA GHSA 6A State Swimming &,GA,UN,2/8/2013
500 FR,5:12.94,5:12.94,19,612,"""AAA""",2015 NI - Ob - NJCAA Swimming & Diving Champs,FL,UN,3/5/2015
500 FR,5:15.42,5:15.42,18,590,"""AA""",2014 SE Southern Premier,GA,SA,3/7/2014
500 FR,5:15.47,5:15.47,15,620,"""AAA""",2011 GA Northern Divisional Champ,GA,LINS,3/25/2011
500 FR,5:15.82,5:15.82,16,597,"""AAA""",2011 GA Georgia Short Course Senior Ch,GA,LINS,12/9/2011
500 FR,5:16.01,5:16.01,17,595,"""AA""",2013 GA GHSA 6A State Swimming &,GA,UN,2/8/2013
500 FR,5:17.95,5:17.95,17,578,"""AA""",2012 GA Georgia Senior Short Course St,GA,LINS,12/7/2012
500 FR,5:20.02,5:20.02,22,550,"""AA""",Florida State vs Minnesota,FL,UN,10/7/2017
500 FR,5:21.63,5:21.63,17,546,"""AA""",2013 GA Cobb Championships,GA,UN,1/25/2013
500 FR,5:26.83,5:26.83,17,502,"""AA""",2013 GA Cobb Championships,GA,UN,1/25/2013
500 FR,5:34.27,5:34.27,18,433,"""A""",2013 GA SwimAtlanta Veterans Weekend I,GA,SA,11/16/2013
500 FR,5:34.88,5:34.88,16,438,"""A""",2011 GA 5TH ANNUAL LUQMAN R EL-AMIN IN,GA,LINS,11/11/2011
500 FR,5:35.40,5:35.40,14,475,"""AA""",2010 GA Northern Divisional Champ,GA,UN,3/26/2010
500 FR,5:37.10,5:37.10,15,439,"""A""",2011 MS Laurel Winter Invite,GA,LINS,1/14/2011
