Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,21.10r,21.10,19,782,2019 Futures,2017 RMAC Championships,US,UN,2/8/2017
50 FR,21.70,21.70,19,723,"""AAA""",2017 RMAC Championships,US,UN,2/8/2017
50 FR,21.78,21.78,19,716,"""AAA""",2016 UNLV INVITE,CA,UN,12/1/2016
50 FR,21.83,21.83,20,711,"""AAA""",2017OB UNLV INVITE,US,UN,11/16/2017
50 FR,22.28,22.28,21,668,"""AA""",2018 PCSC Pentathlon,US,UN,10/6/2018
50 FR,22.38,22.38,20,658,"""AA""",2017 CBU Lancers Swim Dive Inv,US,UN,12/15/2017
50 FR,22.47r,22.47,21,650,"""AA""",2018 Pomona Pitzer vs Cal Bapt,US,UN,10/26/2018
50 FR,22.47r,22.47,21,650,"""AA""",2018 Pomona Pitzer vs Cal Bapt,US,UN,10/26/2018
50 FR,22.94,22.94,20,606,"""AA""",2017 PCSC Pentathlon,US,UN,10/7/2017
50 FR,24.06,24.06,16,548,"""A""",2013 CA SCS/SBSC Winter Age Gr,CA,SCAT,12/13/2013
50 FR,24.26,24.26,16,530,"""A""",2013 CA SAN CLEMENTE GATOR JOM,CA,SCAT,7/19/2013
50 FR,24.60,24.60,16,500,"""A""",2013 SI RSD AB All Ages North Meet,CA,SCAT,10/12/2013
50 FR,25.28,25.28,15,496,"""BB""",2012 CA STOP BRW AGE GROUP MEE,CA,SCAT,11/3/2012
50 FR,25.70,25.70,15,461,"""BB""","2012 CA ORCA  ""BRW"" SC Age Gro",CA,SCAT,12/1/2012
50 FR,25.95,25.95,15,440,"""BB""",2012 CA MISSION VIEJO TURKEY B,CA,SCAT,11/16/2012
50 FR,26.48,26.48,15,397,"""BB""",2012 CA AAA RED-WHITE MEET,CA,SCAT,5/19/2012
50 FR,27.72,27.72,14,343,"""BB""",2011 CA DA  BRW AGE GROUP MEET,CA,SCAT,12/3/2011
50 FR,32.38,32.38,14,42,"""Slower than B""",2011 CA AAA RW Meet,CA,SCAT,5/20/2011
50 FR,48.42,48.42,10,1,"""Slower than B""",2007 CA South Orange County Sw,CA,TTS,8/8/2007
100 FR,49.53r,49.53,21,605,"""AA""",Malibu Invite 2018,US,UN,10/13/2018
100 FR,50.18,50.18,20,574,"""AA""",2017 PCSC Pentathlon,US,UN,10/7/2017
100 FR,50.74,50.74,21,548,"""A""",2018 PCSC Pentathlon,US,UN,10/6/2018
100 FR,51.65r,51.65,16,557,"""AA""",2013 CA OB CIF Sea View League - Finals,CA,UN,5/3/2013
100 FR,52.70,52.70,20,459,"""BB""",PPSD vs. CBU,US,UN,10/27/2017
