Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,20.18,20.18,21,873,2017 US Open,2018 MPSF Swim & Dive Champs,US,UN,2/15/2018
50 FR,20.22r,20.22,21,869,2017 US Open,Art Adamson Invitational,HI,UN,11/14/2018
50 FR,20.27,20.27,21,864,2017 US Open,Art Adamson Invitational,HI,UN,11/14/2018
50 FR,20.27,20.27,21,864,2017 US Open,2018 MPSF Swim & Dive Champs,US,UN,2/15/2018
50 FR,20.37,20.37,21,854,2019 Summer Juniors (LCM),Art Adamson Invitational,HI,UN,11/14/2018
50 FR,20.40,20.40,20,851,2019 Summer Juniors (LCM),2017 MPSF Swim & Dive Champs,US,UN,2/16/2017
50 FR,20.43,20.43,21,848,2019 Summer Juniors (LCM),2018 Bulldog Invitational Last,US,UN,2/24/2018
50 FR,20.46,20.46,21,845,2019 Summer Juniors (LCM),2018 Bulldog Invitational Last,US,UN,2/24/2018
50 FR,20.47,20.47,20,844,2019 Summer Juniors (LCM),Art Adamson Invitational Worki,GA,UN,11/16/2017
50 FR,20.49,20.49,20,842,2019 Summer Juniors (LCM),2017 MPSF Swim & Dive Champs,US,UN,2/16/2017
50 FR,20.68,20.68,21,823,2018 Winter Juniors (SCY),CSU Bakersfield Sprint Classic,HI,UN,10/19/2018
50 FR,20.73,20.73,20,818,2018 Winter Juniors (SCY),Art Adamson Invitational Worki,GA,UN,11/16/2017
50 FR,20.76,20.76,19,815,2018 Winter Juniors (SCY),2016 A3 Performance Invitation,GA,UN,11/17/2016
50 FR,20.92,20.92,19,800,2018 Winter Juniors (SCY),2016 HI Swimming Senior SCY Ch,GA,UN,11/13/2016
50 FR,20.94,20.94,19,798,2018 Winter Juniors (SCY),2016 A3 Performance Invitation,GA,UN,11/17/2016
50 FR,21.11,21.11,20,781,2019 Futures,CSUB v Hawaii v Idaho,GA,UN,10/28/2017
50 FR,21.12,21.12,18,780,"""AAAA""",2015 SE Southern Premier,GA,SA,3/7/2015
50 FR,21.16r,21.16,18,776,"""AAAA""",UGA Fall Invitational 2015,GA,UN,12/4/2015
50 FR,21.18,21.18,19,774,"""AAAA""",UGA vs Wisconsin,US,UN,1/30/2016
50 FR,21.18,21.18,18,774,"""AAAA""",UGA Fall Invitational 2015,GA,UN,12/4/2015
50 FR,21.18,21.18,21,774,2019 Futures,Roadrunner Invite,HI,UN,10/20/2018
50 FR,21.20,21.20,17,788,"""AAAA""",2014 GA Senior Short Course St,GA,SA,12/6/2014
50 FR,21.22,21.22,17,786,"""AAAA""",2014 GA OBS GHSA 6A State Swimming &,GA,UN,2/7/2014
50 FR,21.22,21.22,17,786,"""AAAA""",2014 GA OBS GHSA 6A State Swimming &,GA,UN,2/7/2014
50 FR,21.29,21.29,17,779,"""AAAA""",2014 GA Senior Short Course St,GA,SA,12/6/2014
50 FR,21.31,21.31,18,761,2019 Futures,2015 SE Southern Premier,GA,SA,3/7/2015
50 FR,21.49,21.49,18,744,"""AAA""",UGA vs Emory,GA,UN,11/13/2015
50 FR,21.50,21.50,20,743,"""AAA""",Hawaii vs Purdue,US,UN,1/2/2018
50 FR,21.51,21.51,20,742,"""AAA""",UCSB V Hawaii 2017,GA,UN,10/29/2017
50 FR,21.67r,21.67,17,742,"""AAA""",2014 SE Southern Premier,GA,SA,3/7/2014
50 FR,21.69,21.69,20,724,"""AAA""","Hawaii, Minnesota, Drury",US,UN,1/6/2018
50 FR,21.71,21.71,16,765,"""AAA""",2013 GA Senior Short Course St,GA,SA,12/6/2013
50 FR,21.96,21.96,17,714,"""AAA""",2014 SE Southern Premier,GA,SA,3/7/2014
50 FR,22.01,22.01,17,710,"""AAA""",2014 SE NAC October Open,GA,SA,10/19/2014
50 FR,22.10,22.10,17,701,"""AAA""",2014 SE Ralph Crocker Classic,GA,SA,1/17/2014
50 FR,22.12,22.12,16,726,"""AAA""",2013 GA Senior Short Course St,GA,SA,12/6/2013
50 FR,22.81,22.81,17,634,"""AA""",2014 SE Ralph Crocker Classic,GA,SA,1/17/2014
50 FR,22.91,22.91,16,652,"""AA""",2013 FL Spring Senior Champion,FL,BSS,2/21/2013
50 FR,22.96,22.96,15,701,"""AA""",2012 FL GSC Holiday Classic,FL,BSS,11/30/2012
50 FR,22.98,22.98,16,646,"""AA""",2013 SE NAC October Open,GA,UN,10/19/2013
50 FR,23.18,23.18,14,724,"""AAA""",2011 FL GSC Holiday Classic,FL,BSS,12/2/2011
50 FR,23.39,23.39,16,608,"""AA""",2013 GA SwimAtlanta Veterans Weekend I,GA,SA,11/16/2013
50 FR,23.71,23.71,14,676,"""AAA""",2011 FL GSC Holiday Classic,FL,BSS,12/2/2011
50 FR,23.75,23.75,15,630,"""AA""",2012 FL BSS July SCY Time Trial,FL,BSS,7/10/2012
50 FR,23.90,23.90,16,562,"""A""",2013 BSS TYR February Meet,FL,BSS,2/1/2013
50 FR,24.21,24.21,15,589,"""AA""",2012 FL Spring Senior Champs,FL,BSS,2/23/2012
50 FR,24.59,24.59,16,501,"""A""",2013 FL EAJ JaxParks Classic,FL,BSS,1/18/2013
50 FR,24.92,24.92,14,571,"""AA""",2011 FL Short Course Area 1-4,FL,BSS,3/12/2011
50 FR,25.46,25.46,13,607,"""A""",2010 FL GSC Holiday Classic,FL,BSS,12/3/2010
50 FR,25.65,25.65,15,465,"""BB""",2012 FL Winter Indoor Invite,FL,BSS,1/27/2012
50 FR,25.94,25.94,14,485,"""A""",2011 FL Wednesday Night At the Races,FL,BSS,2/9/2011
50 FR,26.26,26.26,13,541,"""A""",2010 FL Winter Invitational,FL,BSS,11/6/2010
50 FR,26.35,26.35,13,534,"""BB""",2010 GA Down Under,FL,BSS,10/8/2010
50 FR,26.50,26.50,12,641,"""AA""",2009 FL Gator Holiday Classic,FL,BSS,12/4/2009
50 FR,26.53,26.53,13,519,"""BB""",2010 EAJ Speedo Fall SC Meet,FL,BSS,10/22/2010
50 FR,26.56,26.56,13,517,"""BB""",2010 FL Area I & IV Champs,FL,BSS,3/13/2010
50 FR,26.72,26.72,12,625,"""AA""",2009 FL Gator Holiday Classic,FL,BSS,12/4/2009
50 FR,27.10,27.10,13,474,"""BB""",2010 FL BSS February Invite,FL,BSS,2/5/2010
50 FR,27.10,27.10,12,597,"""AA""",2009 FL BSS Winter SC Invite,FL,BSS,11/7/2009
50 FR,27.50,27.50,12,569,"""A""",2009 FL Nike Fall Short Course,FL,BSS,10/23/2009
50 FR,27.55,27.55,12,565,"""A""",2010 FL EAJ New Years Resolution,FL,BSS,1/1/2010
50 FR,27.66,27.66,12,557,"""A""",2009 FL Bolles Sharks Kick Off,FL,BSS,9/19/2009
50 FR,27.70,27.70,13,427,"""BB""",2010 FL Bolles Sharks Season Kick Off,FL,BSS,9/18/2010
50 FR,27.77,27.77,13,422,"""BB""",2010 FL SwimOrlandoYMCA Winter Open,FL,BSS,1/22/2010
50 FR,28.83,28.83,11,601,"""BB""","2008 FL Swimming ""B"" Cham",FL,BSS,12/13/2008
50 FR,29.35,29.35,11,566,"""BB""",2008 FL NIke Invite,FL,BSS,10/17/2008
50 FR,29.45,29.45,11,559,"""BB""",2008 FL Summer Last Chance Meet SC,FL,BSS,7/12/2008
50 FR,29.45,29.45,11,559,"""BB""",2008 FL Summer Last Chance Meet SC,FL,BSS,7/12/2008
50 FR,29.63,29.63,11,547,"""BB""",2008 FL BSS TYR Fall Invite,FL,BSS,11/8/2008
50 FR,30.15,30.15,11,513,"""BB""",2008 FL Bolles Invitational,FL,BSS,2/8/2008
50 FR,30.15,30.15,11,513,"""BB""",2008 FL Bolles Invitational,FL,BSS,2/8/2008
50 FR,30.75,30.75,10,580,"""A""",2007 FL Gator Swim Holiday Class,FL,BSS,11/30/2007
50 FR,30.79,30.79,11,471,"""BB""",2008 FL Area I & IV Champs - Mar 08,FL,BSS,3/15/2008
50 FR,31.05r,31.05,10,562,"""A""",2007 GA Down Under,FL,BSS,10/6/2007
50 FR,31.35,31.35,11,436,"""B""",2008 FL Swim Orlando Y Winter Open,FL,BSS,1/18/2008
50 FR,31.79,31.79,10,519,"""A""",2007 GA Down Under,FL,BSS,10/5/2007
50 FR,31.91,31.91,10,512,"""BB""",2007 FL BSS TYR Winter Short Course In,FL,BSS,11/9/2007
50 FR,32.26r,32.26,10,492,"""BB""",2007 FL JO Championships,FL,BSS,2/23/2007
50 FR,32.78,32.78,10,463,"""BB""",2007 FL Bolles Sharks Season Kick Off,FL,BSS,9/22/2007
50 FR,32.92,32.92,9,568,"""BB""",2006 FL Team Orlando Nov Invite,FL,BSS,11/17/2006
50 FR,33.25,33.25,9,550,"""BB""","2006 FL East ""B""",FL,BSS,12/9/2006
50 FR,33.41,33.41,9,541,"""BB""",2007 GA SST Winter Classic,FL,BSS,1/12/2007
50 FR,33.77r,33.77,10,408,"""BB""",2007 FL Area 1 & 4 Champs,FL,BSS,3/18/2007
50 FR,33.78,33.78,10,408,"""BB""",2007 FL Bolles Invitational,FL,BSS,2/9/2007
50 FR,34.04,34.04,10,394,"""BB""",2007 FL Area 1 & 4 Champs,FL,BSS,3/17/2007
50 FR,34.10r,34.10,9,504,"""BB""",2007 GA SST Winter Classic,FL,BSS,1/14/2007
50 FR,34.25,34.25,9,496,"""BB""",2006 GA Down-Under Invitational,FL,BSS,10/6/2006
50 FR,41.44,41.44,9,151,"""Slower than B""",2006 FL Bolles Winter SC Invite,FL,BSS,2/24/2006
50 FR,41.84,41.84,8,135,"""Slower than B""",2006 GA SST Winter Classic,FL,BSS,1/13/2006
50 FR,45.39,45.39,9,15,"""Slower than B""",2006 FL Area 6 Champs,FL,BSS,3/4/2006
50 FR,46.80,46.80,8,1,"""Slower than B""",2005 FL BSS Fall Invite,FL,BSS,11/19/2005
50 FR,47.77,47.77,7,1,"""Slower than B""",2004 FL The Bolles School Sharks Fall,FL,BSS,10/16/2004
50 FR,48.83,48.83,8,1,"""Slower than B""",2005 FL Bolles Winter Inviational,FL,BSS,2/18/2005
50 FR,51.04,51.04,7,1,"""Slower than B""",2005 GA Coca-Cola Winter Classic,FL,BSS,1/14/2005
100 FR,43.74,43.74,21,904,2017 US Open,2018 MPSF Swim & Dive Champs,US,UN,2/17/2018
100 FR,43.90r,43.90,21,895,2017 US Open,2018 MPSF Swim & Dive Champs,US,UN,2/17/2018
100 FR,44.02,44.02,21,889,2017 US Open,2018 MPSF Swim & Dive Champs,US,UN,2/17/2018
100 FR,44.19,44.19,21,880,2019 Summer Juniors (LCM),Art Adamson Invitational,HI,UN,11/16/2018
100 FR,44.39,44.39,20,869,2019 Summer Juniors (LCM),2017 MPSF Swim & Dive Champs,US,UN,2/18/2017
100 FR,44.45,44.45,21,865,2018 Winter Nationals (LCM),Art Adamson Invitational,HI,UN,11/16/2018
100 FR,44.52,44.52,20,862,2019 Summer Juniors (LCM),2017 MPSF Swim & Dive Champs,US,UN,2/18/2017
100 FR,44.54,44.54,19,861,2019 Summer Juniors (LCM),2016 A3 Performance Invitation,GA,UN,11/19/2016
100 FR,44.70,44.70,21,852,2018 Winter Juniors (SCY),2018 HI Swimming Senior SCY Ch,HI,UN,11/10/2018
100 FR,44.71,44.71,20,851,2018 Winter Juniors (SCY),Art Adamson Invitational Worki,GA,UN,11/18/2017
100 FR,44.86,44.86,20,843,2018 Winter Juniors (SCY),Art Adamson Invitational Worki,GA,UN,11/18/2017
100 FR,45.11,45.11,19,830,2018 Winter Juniors (SCY),2016 A3 Performance Invitation,GA,UN,11/19/2016
100 FR,45.12,45.12,19,829,2018 Winter Juniors (SCY),2016 HI Swimming Senior SCY Ch,GA,UN,11/12/2016
100 FR,45.17,45.17,20,827,2018 Winter Juniors (SCY),2017 HI Swimming Senior SCY,GA,SA,11/11/2017
100 FR,45.47,45.47,18,811,2018 Winter Juniors (SCY),2015 GA GHSA 6A State Swimming &,GA,UN,2/5/2015
100 FR,45.63,45.63,18,802,2018 Winter Juniors (SCY),2015 SE Southern Premier,GA,SA,3/8/2015
100 FR,45.69,45.69,18,799,2018 Winter Juniors (SCY),2015 GA GHSA 6A State Swimming &,GA,UN,2/5/2015
100 FR,45.94,45.94,18,786,2019 Futures,2015 SE Southern Premier,GA,SA,3/8/2015
100 FR,46.02,46.02,18,782,2019 Futures,UGA Fall Invitational 2015,GA,UN,12/6/2015
100 FR,46.03,46.03,21,781,"""AAAA""",Roadrunner Invite,HI,UN,10/20/2018
100 FR,46.08,46.08,19,778,2019 Futures,UGA vs Wisconsin,US,UN,1/30/2016
100 FR,46.10,46.10,20,777,2019 Futures,CSUB v Hawaii v Idaho,GA,UN,10/28/2017
100 FR,46.10,46.10,17,800,2019 Futures,2014 GA OBS GHSA 6A State Swimming &,GA,UN,2/7/2014
100 FR,46.24,46.24,17,792,2019 Futures,2014 GA Senior Short Course St,GA,SA,12/7/2014
100 FR,46.27,46.27,17,791,2019 Futures,2014 GA Senior Short Course St,GA,SA,12/7/2014
100 FR,46.27,46.27,18,769,2019 Futures,2015 SE Ralph Crocker Classic,GA,SA,1/18/2015
100 FR,46.38,46.38,17,785,2019 Futures,2014 GA OBS GHSA 6A State Swimming &,GA,UN,2/7/2014
100 FR,46.38r,46.38,19,763,2019 Futures,Tennessee vs UGA,US,UN,1/23/2016
100 FR,46.38r,46.38,19,763,2019 Futures,Tennessee vs UGA,US,UN,1/23/2016
100 FR,46.47,46.47,17,780,2019 Futures,2014 SE Southern Premier,GA,SA,3/7/2014
100 FR,46.84r,46.84,18,739,"""AAA""",Georgia Tech vs Georgia,GA,UN,11/4/2015
100 FR,46.95,46.95,17,755,"""AAA""",2014 SE Southern Premier,GA,SA,3/7/2014
100 FR,47.01,47.01,18,730,"""AAA""",Georgia Tech vs Georgia,GA,UN,11/4/2015
100 FR,47.01,47.01,16,782,"""AAAA""",2013 GA Senior Short Course St,GA,SA,12/6/2013
100 FR,47.11,47.11,18,725,"""AAA""",UGA vs Emory,GA,UN,11/13/2015
100 FR,47.18,47.18,20,722,"""AAA""",2017 HI Senior Meet,GA,UN,10/21/2017
100 FR,47.21,47.21,18,720,"""AAA""",UGA vs UNC,GA,UN,10/10/2015
100 FR,47.25,47.25,16,770,"""AAAA""",2013 GA Senior Short Course St,GA,SA,12/6/2013
100 FR,47.28,47.28,20,716,"""AAA""",UCSB V Hawaii 2017,GA,UN,10/29/2017
100 FR,47.33,47.33,17,736,"""AAA""",2014 SE Ralph Crocker Classic,GA,SA,1/17/2014
100 FR,47.73,47.73,17,716,"""AAA""",2014 SE NAC October Open,GA,SA,10/18/2014
100 FR,47.74,47.74,20,693,"""AAA""",Hawaii vs Purdue,US,UN,1/2/2018
100 FR,47.94,47.94,20,683,"""AAA""","Hawaii, Minnesota, Drury",US,UN,1/6/2018
100 FR,48.25,48.25,18,668,"""AAA""",2015 SE Ralph Crocker Classic,GA,SA,1/18/2015
100 FR,48.84,48.84,17,660,"""AA""",2014 SE Ralph Crocker Classic,GA,SA,1/17/2014
100 FR,49.32,49.32,16,667,"""AAA""",2013 GA SwimAtlanta Veterans Weekend I,GA,SA,11/16/2013
100 FR,49.70,49.70,15,701,"""AA""",2012 FL GSC Holiday Classic,FL,BSS,11/30/2012
100 FR,50.61,50.61,16,605,"""AA""",2013 SE NAC October Open,GA,UN,10/19/2013
