Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,24.05r,24.05,26,761,2019 Futures,2017 CBU Lancers Swim Dive Inv,US,UN,12/15/2017
100 FR,50.68r,50.68,23,826,2018 Winter Juniors (SCY),2015 Division II Men's & Women,NC,UN,3/14/2015
100 FR,50.75,50.75,22,823,2018 Winter Juniors (SCY),2014 Division II Men's & Women,US,UN,3/12/2014
100 FR,50.85r,50.85,24,818,2018 Winter Juniors (SCY),18th Annual BMC Swimming Champ,US,UN,2/13/2016
100 FR,50.87r,50.87,22,816,2018 Winter Juniors (SCY),16th Annual BMC Swimming Champ,US,UN,2/16/2014
100 FR,50.92,50.92,22,814,2018 Winter Juniors (SCY),2014 Division II Men's & Women,US,UN,3/12/2014
100 FR,51.02r,51.02,24,809,2019 Futures,2015 Wingate Fall Frenzy,NC,UN,12/6/2015
100 FR,51.34,51.34,23,792,2019 Futures,2015 Division II Men's & Women,NC,UN,3/14/2015
100 FR,51.38,51.38,27,790,2019 Futures,2018 NCAA Division II Champion,US,UN,3/17/2018
100 FR,51.77r,51.77,26,770,2019 Futures,2017 CBU Lancers Swim Dive Inv,US,UN,12/16/2017
100 FR,51.80,51.80,26,769,2019 Futures,2018 Lancer Last Chance Invite,US,UN,2/24/2018
100 FR,51.84,51.84,23,767,2019 Futures,Wingate Fall Frenzy,NC,UN,11/23/2014
100 FR,52.05,52.05,23,756,2019 Futures,Wingate Fall Frenzy,NC,UN,11/23/2014
100 FR,53.46r,53.46,26,687,"""AAA""",GCU v. CBU v. NMSU v. Rice,US,UN,1/6/2018
200 FR,1:48.51,1:48.51,22,852,2018 Winter Juniors (SCY),2014 Division II Men's & Women,US,UN,3/12/2014
200 FR,1:48.92r,1:48.92,23,841,2018 Winter Juniors (SCY),17th Annual BMC Swimming Champ,NC,UN,2/11/2015
200 FR,1:49.13r,1:49.13,24,835,2018 Winter Juniors (SCY),18th Annual BMC Swimming Champ,US,UN,2/10/2016
200 FR,1:49.24,1:49.24,23,832,2018 Winter Juniors (SCY),2015 Division II Men's & Women,NC,UN,3/12/2015
200 FR,1:49.26,1:49.26,24,832,2018 Winter Juniors (SCY),2016 Division II Men's & Women,US,UN,3/10/2016
200 FR,1:49.29,1:49.29,22,831,2018 Winter Juniors (SCY),2014 Division II Men's & Women,US,UN,3/12/2014
200 FR,1:49.36,1:49.36,23,829,2018 Winter Juniors (SCY),17th Annual BMC Swimming Champ,NC,UN,2/13/2015
200 FR,1:49.55r,1:49.55,22,824,2018 Winter Juniors (SCY),16th Annual BMC Swimming Champ,US,UN,2/15/2014
200 FR,1:49.56r,1:49.56,24,824,2018 Winter Juniors (SCY),2015 Wingate Fall Frenzy,NC,UN,12/5/2015
200 FR,1:49.76r,1:49.76,24,818,2018 Winter Juniors (SCY),2016 Division II Men's & Women,US,UN,3/11/2016
200 FR,1:50.09,1:50.09,22,810,"""AAAA""",16th Annual BMC Swimming Champ,US,UN,2/14/2014
200 FR,1:50.13,1:50.13,24,809,"""AAAA""",2016 Division II Men's & Women,US,UN,3/10/2016
200 FR,1:50.25,1:50.25,23,805,"""AAAA""",2015 Division II Men's & Women,NC,UN,3/12/2015
200 FR,1:50.86,1:50.86,24,789,"""AAAA""",2015 Wingate Fall Frenzy,NC,UN,12/5/2015
200 FR,1:50.89,1:50.89,23,788,"""AAAA""",17th Annual BMC Swimming Champ,NC,UN,2/13/2015
200 FR,1:50.92r,1:50.92,23,788,"""AAAA""",2015 Division II Men's & Women,NC,UN,3/13/2015
200 FR,1:51.67,1:51.67,22,768,"""AAAA""",16th Annual BMC Swimming Champ,US,UN,2/14/2014
200 FR,1:52.41r,1:52.41,23,749,2019 Futures,Wingate Fall Frenzy,NC,UN,11/22/2014
200 FR,1:52.46r,1:52.46,26,748,2019 Futures,2017 CBU Lancers Swim Dive Inv,US,UN,12/16/2017
200 BK,2:04.02,2:04.02,26,785,2019 Futures,2018 RMAC Championships,US,UN,2/17/2018
200 BK,2:06.25,2:06.25,26,744,"""AAA""",2018 RMAC Championships,US,UN,2/17/2018
200 BK,2:08.30,2:08.30,26,707,"""AA""",2018 UC San Diego at Cal Bapti,US,UN,1/20/2018
200 BR,2:17.85,2:17.85,24,817,2018 Winter Juniors (SCY),2016 Royal Open,US,UN,2/20/2016
100 FL,57.60,57.60,26,734,"""AAA""",GCU v. CBU v. NMSU v. Rice,US,UN,1/6/2018
100 FL,57.75,57.75,24,728,"""AAA""",USC vs UNCW vs Queens vs Winga,US,UN,1/23/2016
200 FL,1:57.94,1:57.94,24,905,2019 Summer Nationals (LCM),2016 Division II Men's & Women,US,UN,3/11/2016
200 FL,1:59.48,1:59.48,24,878,2019 Summer Juniors (LCM),18th Annual BMC Swimming Champ,US,UN,2/13/2016
200 FL,1:59.57,1:59.57,22,877,2019 Summer Juniors (LCM),2014 Division II Men's & Women,US,UN,3/12/2014
200 FL,2:00.03,2:00.03,23,869,2018 Winter Juniors (SCY),2015 Division II Men's & Women,NC,UN,3/13/2015
200 FL,2:00.04,2:00.04,23,869,2018 Winter Juniors (SCY),17th Annual BMC Swimming Champ,NC,UN,2/14/2015
200 FL,2:00.11,2:00.11,24,867,2018 Winter Juniors (SCY),2016 Division II Men's & Women,US,UN,3/11/2016
200 FL,2:00.13,2:00.13,22,867,2018 Winter Juniors (SCY),2014 Division II Men's & Women,US,UN,3/12/2014
200 FL,2:00.19,2:00.19,27,866,2018 Winter Juniors (SCY),2018 NCAA Division II Champion,US,UN,3/16/2018
