Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
100 FR,55.86,55.86,22,575,"""AA""",2018 WAC Swimming & Diving Cha,US,UN,2/24/2018
100 FL,58.06,58.06,22,716,"""AAA""",2018 WAC Swimming & Diving Cha,US,UN,2/23/2018
50 FR,25.05,25.05,22,666,"""AA""",2018 WAC Swimming & Diving Cha,US,UN,2/22/2018
50 FR,26.86,26.86,22,504,"""A""",UNLV vs GCU vs WY,US,UN,1/27/2018
100 FL,58.81,58.81,22,687,"""AA""",UNLV vs GCU vs WY,US,UN,1/27/2018
50 FR,26.11,26.11,22,570,"""A""",GCU v. BYU,US,UN,1/13/2018
100 FL,1:02.01,1:02.01,22,568,"""A""",GCU v. BYU,US,UN,1/13/2018
50 FR,26.63,26.63,22,524,"""A""",GCU v. CBU v. NMSU v. Rice,US,UN,1/6/2018
100 FL,1:01.04,1:01.04,22,603,"""A""",GCU v. CBU v. NMSU v. Rice,US,UN,1/6/2018
100 FR,58.00,58.00,22,482,"""A""",2017 Northwestern TYR Invitati,AZ,UN,11/19/2017
100 FL,1:03.82,1:03.82,22,503,"""BB""",2017 Northwestern TYR Invitati,AZ,UN,11/18/2017
50 FR,25.89,25.89,22,589,"""AA""",2017 Northwestern TYR Invitati,AZ,UN,11/17/2017
100 FL,1:02.58,1:02.58,22,547,"""A""",GCU v. Air Force,AZ,UN,11/4/2017
50 FR,25.59,25.59,22,616,"""AA""",GCU v. Idaho,AZ,UN,11/3/2017
100 FR,56.66,56.66,22,539,"""A""",GCU v. Idaho,AZ,UN,11/3/2017
200 FL,2:28.82,2:28.82,22,408,"""BB""",LMU vs. Seattle University vs.,AZ,UN,10/21/2017
50 FR,26.68,26.68,22,520,"""A""",LMU vs. Seattle University vs.,AZ,UN,10/20/2017
100 FL,1:01.82,1:01.82,22,575,"""A""",LMU vs. Seattle University vs.,AZ,UN,10/20/2017
100 FL,59.91,59.91,21,646,"""AA""",2017 WAC Swimming & Diving Cha,AZ,UN,2/24/2017
100 FR,57.25,57.25,21,514,"""A""",Shamrock Invite 2017,AZ,UN,1/28/2017
100 FR,57.82r,57.82,21,489,"""A""",Shamrock Invite 2017,AZ,UN,1/28/2017
100 FL,1:00.66,1:00.66,21,618,"""AA""",Shamrock Invite 2017,AZ,UN,1/28/2017
50 FR,26.13,26.13,21,568,"""A""",Shamrock Invite 2017,AZ,UN,1/27/2017
50 FR,25.56,25.56,21,619,"""AA""",Grand Canyon at BYU 1-14-17,AZ,GCU,1/14/2017
50 FR,25.56,25.56,21,619,"""AA""",Grand Canyon at BYU 1-14-17,AZ,UN,1/14/2017
100 FL,58.28,58.28,21,708,"""AAA""",Grand Canyon at BYU 1-14-17,AZ,GCU,1/14/2017
50 FR,26.25,26.25,21,557,"""A""",GCU v. UNLV v. CBU v. ACU,AZ,UN,1/7/2017
100 FL,1:03.27,1:03.27,21,523,"""A""",GCU v. UNLV v. CBU v. ACU,AZ,UN,1/7/2017
100 FR,56.50r,56.50,21,546,"""A""",2016 Northwestern TYR Invitati,AZ,UN,11/20/2016
50 FL,25.95,25.95,21,744,"""Slower than B""",2016 Northwestern TYR Invitati,AZ,UN,11/20/2016
50 FL,26.26,26.26,21,716,"""Slower than B""",2016 Northwestern TYR Invitati,AZ,UN,11/20/2016
100 IM,59.28,59.28,21,722,"""Slower than B""",2016 Northwestern TYR Invitati,AZ,UN,11/20/2016
100 IM,1:00.93,1:00.93,21,652,"""Slower than B""",2016 Northwestern TYR Invitati,AZ,UN,11/20/2016
100 FL,57.48,57.48,21,739,2019 Futures,2016 Northwestern TYR Invitati,AZ,UN,11/19/2016
100 FL,58.86,58.86,21,685,"""AA""",2016 Northwestern TYR Invitati,AZ,UN,11/19/2016
50 FR,25.92,25.92,21,587,"""A""",2016 Northwestern TYR Invitati,AZ,UN,11/18/2016
100 FL,58.95,58.95,20,682,"""AA""",2016 Division II Men's & Women,US,UN,3/10/2016
