Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,22.10,22.10,21,958,2019 Summer Nationals (LCM),UGA Fall Invitational 2016,FL,UN,12/2/2016
50 FR,22.22,22.22,21,946,2019 Summer Nationals (LCM),2017 ACC Women's Championship,FL,UN,2/14/2017
50 FR,22.30,22.30,21,937,2019 Summer Nationals (LCM),2017 ACC Women's Championship,FL,UN,2/14/2017
50 FR,22.47r,22.47,20,920,2019 Summer Nationals (LCM),2016 FL NJCAA National Champs,FL,UN,3/3/2016
50 FR,22.50,22.50,21,917,2017 US Open,2017 NCAA DI Women's,FL,UN,3/16/2017
50 FR,22.52r,22.52,20,915,2019 Summer Juniors (LCM),2015 Georgia Tech Fall Invitat,FL,UN,11/19/2015
50 FR,22.56,22.56,22,910,2017 US Open,2017 Georgia Tech Fall Invitat,FL,UN,11/16/2017
50 FR,22.60,22.60,22,906,2017 US Open,2018 ACC Women's Championship,US,UN,2/15/2018
50 FR,22.62,22.62,22,904,2017 US Open,2018 ACC Women's Championship,US,UN,2/15/2018
50 FR,22.64,22.64,21,902,2017 US Open,UGA Fall Invitational 2016,FL,UN,12/2/2016
50 FR,22.72,22.72,22,894,2017 US Open,2018 NCAA DI Women's Swimming,US,UN,3/15/2018
50 FR,22.75,22.75,22,891,2017 US Open,2017 Georgia Tech Fall Invitat,FL,UN,11/16/2017
50 FR,23.09,23.09,19,856,2018 Winter Juniors (SCY),2015 NI - Ob - NJCAA Swimming & Diving Champs,FL,UN,3/5/2015
50 FR,23.21,23.21,19,844,2018 Winter Juniors (SCY),2015 NI - Ob - NJCAA Swimming & Diving Champs,FL,UN,3/5/2015
50 FR,23.29,23.29,20,836,2018 Winter Juniors (SCY),2016 FL RATS Stanton C. Craigie Invite,FL,IRSC,2/6/2016
50 FR,23.45r,23.45,22,820,2018 Winter Juniors (SCY),Florida State vs Alabama vs Mi,US,UN,1/12/2018
50 FR,23.47,23.47,19,818,2018 Winter Juniors (SCY),2014 Georgia Tech Fall Invitat,FL,UN,11/20/2014
50 FR,23.47,23.47,19,818,2018 Winter Juniors (SCY),2014 Georgia Tech Fall Invitat,FL,UN,11/20/2014
50 FR,23.54r,23.54,19,811,"""AAAA""",2014 Georgia Tech Fall Invitat,FL,UN,11/20/2014
50 FR,23.63,23.63,19,802,"""AAAA""",2014 Georgia Tech Fall Invitat,FL,UN,11/20/2014
50 FR,23.70r,23.70,22,796,2019 Futures,Florida State vs Notre,US,UN,1/20/2018
50 FR,23.89,23.89,22,777,2019 Futures,UF vs. FSU 010518,US,UN,1/5/2018
50 FR,23.93,23.93,22,773,2019 Futures,Florida State vs. ASU,FL,UN,10/28/2017
50 FR,23.96,23.96,19,770,"""AAAA""",2015 FL RATS Stanton C. Craigie Memori,FL,IRSC,2/7/2015
50 FR,24.03r,24.03,22,763,2019 Futures,Florida State University Tripl,FL,UN,11/4/2017
50 FR,24.19,24.19,22,748,"""AAA""",Duke vs Florida State vs Virgi,FL,UN,10/14/2017
50 FR,25.11,25.11,22,660,"""AA""",Florida State vs Minnesota,FL,UN,10/7/2017
50 FR,25.26,25.26,22,647,"""AA""",2017 All Florida Invitational,FL,UN,9/22/2017
100 FR,49.18,49.18,22,906,2017 US Open,2017 Georgia Tech Fall Invitat,FL,UN,11/18/2017
100 FR,49.56r,49.56,22,885,2017 US Open,2018 ACC Women's Championship,US,UN,2/17/2018
100 FR,49.86,49.86,22,869,2018 Winter Nationals (LCM),2017 Georgia Tech Fall Invitat,FL,UN,11/18/2017
100 FR,49.94r,49.94,20,865,2018 Winter Juniors (SCY),2015 Georgia Tech Fall Invitat,FL,UN,11/21/2015
100 FR,49.95r,49.95,20,865,2018 Winter Juniors (SCY),2016 FL NJCAA National Champs,FL,UN,3/5/2016
100 FR,50.75r,50.75,19,823,2018 Winter Juniors (SCY),2015 NI - Ob - NJCAA Swimming & Diving Champs,FL,UN,3/7/2015
100 FR,51.04,51.04,21,808,"""AAAA""",UGA Fall Invitational 2016,FL,UN,12/4/2016
100 FR,51.83r,51.83,19,767,2019 Futures,2014 Georgia Tech Fall Invitat,FL,UN,11/22/2014
100 FR,55.79,55.79,22,578,"""AA""",2017 All Florida Invitational,FL,UN,9/24/2017
200 FR,1:55.22r,1:55.22,19,678,"""AAA""",2014 Georgia Tech Fall Invitat,FL,UN,11/21/2014
500 FR,5:22.52,5:22.52,22,528,"""AA""",Florida State vs Florida Atlan,US,UN,1/27/2018
50 BK,24.93r,24.93,20,1010,"""Slower than B""",2016 FL NJCAA National Champs,FL,UN,3/2/2016
50 BK,25.42r,25.42,20,959,"""Slower than B""",2015 Georgia Tech Fall Invitat,FL,UN,11/20/2015
50 BK,25.68r,25.68,19,932,"""Slower than B""",2015 NI - Ob - NJCAA Swimming & Diving Champs,FL,UN,3/6/2015
50 BK,26.40r,26.40,20,860,"""Slower than B""",2016 FL RATS Stanton C. Craigie Invite,FL,IRSC,2/6/2016
50 BK,26.48r,26.48,22,852,"""Slower than B""",Florida State vs Florida Atlan,US,UN,1/27/2018
50 BK,26.52r,26.52,19,848,"""Slower than B""",2015 FL RATS Stanton C. Craigie Memori,FL,IRSC,2/7/2015
100 BK,55.00r,55.00,20,894,"""AAAA""",2015 Georgia Tech Fall Invitat,FL,UN,11/19/2015
100 BK,55.37r,55.37,19,877,"""AAAA""",2015 NI - Ob - NJCAA Swimming & Diving Champs,FL,UN,3/4/2015
100 BK,55.75r,55.75,20,860,"""AAAA""",2016 FL NJCAA National Champs,FL,UN,3/3/2016
100 BK,55.78,55.78,20,859,"""AAAA""",2015 Georgia Tech Fall Invitat,FL,UN,11/20/2015
100 BK,56.67,56.67,19,819,2019 Futures,2015 FL RATS Stanton C. Craigie Memori,FL,IRSC,2/7/2015
100 BK,57.70,57.70,20,774,2019 Futures,2015 Georgia Tech Fall Invitat,FL,UN,11/20/2015
100 BK,58.01,58.01,19,761,2019 Futures,2014 Georgia Tech Fall Invitat,FL,UN,11/21/2014
200 BK,2:00.71,2:00.71,20,847,2018 Winter Juniors (SCY),2016 FL RATS Stanton C. Craigie Invite,FL,IRSC,2/7/2016
200 BK,2:02.32,2:02.32,19,817,2019 Futures,2015 FL RATS Stanton C. Craigie Memori,FL,IRSC,2/8/2015
200 BK,2:02.51,2:02.51,20,813,2019 Futures,2016 FL NJCAA National Champs,FL,UN,3/5/2016
200 BK,2:02.88,2:02.88,20,806,2019 Futures,2016 FL NJCAA National Champs,FL,UN,3/5/2016
100 BR,1:02.95,1:02.95,20,849,2019 Summer Juniors (LCM),2016 FL RATS Stanton C. Craigie Invite,FL,IRSC,2/6/2016
100 FL,51.60,51.60,21,979,2019 Summer Nationals (LCM),2017 NCAA DI Women's,FL,UN,3/17/2017
100 FL,51.68,51.68,22,976,2019 Summer Nationals (LCM),2018 ACC Women's Championship,US,UN,2/16/2018
100 FL,51.85,51.85,22,968,2019 Summer Nationals (LCM),2018 ACC Women's Championship,US,UN,2/16/2018
100 FL,51.92,51.92,22,965,2019 Summer Nationals (LCM),2018 NCAA DI Women's Swimming,US,UN,3/16/2018
100 FL,52.02,52.02,21,961,2019 Summer Nationals (LCM),UGA Fall Invitational 2016,FL,UN,12/3/2016
100 FL,52.03,52.03,21,961,2019 Summer Nationals (LCM),UGA Fall Invitational 2016,FL,UN,12/3/2016
100 FL,52.03,52.03,22,961,2019 Summer Nationals (LCM),2017 Georgia Tech Fall Invitat,FL,UN,11/17/2017
100 FL,52.12,52.12,21,957,2019 Summer Nationals (LCM),2017 NCAA DI Women's,FL,UN,3/17/2017
100 FL,52.28,52.28,21,950,2019 Summer Nationals (LCM),2017 ACC Women's Championship,FL,UN,2/15/2017
100 FL,52.38,52.38,21,946,2019 Summer Nationals (LCM),2017 ACC Women's Championship,FL,UN,2/15/2017
100 FL,52.88,52.88,22,925,2019 Summer Nationals (LCM),2018 NCAA DI Women's Swimming,US,UN,3/16/2018
100 FL,52.92,52.92,22,923,2019 Summer Nationals (LCM),2017 Georgia Tech Fall Invitat,FL,UN,11/17/2017
100 FL,53.31,53.31,20,907,2019 Summer Juniors (LCM),2016 FL NJCAA National Champs,FL,UN,3/3/2016
100 FL,53.94,53.94,20,881,2019 Summer Juniors (LCM),2015 Georgia Tech Fall Invitat,FL,UN,11/20/2015
100 FL,53.98,53.98,20,879,2019 Summer Juniors (LCM),2016 FL RATS Stanton C. Craigie Invite,FL,IRSC,2/7/2016
100 FL,54.05,54.05,20,877,2019 Summer Juniors (LCM),2016 FL NJCAA National Champs,FL,UN,3/3/2016
100 FL,54.10,54.10,20,875,2019 Summer Juniors (LCM),2015 Georgia Tech Fall Invitat,FL,UN,11/20/2015
100 FL,54.18,54.18,19,871,2019 Summer Juniors (LCM),2015 NI - Ob - NJCAA Swimming & Diving Champs,FL,UN,3/6/2015
100 FL,54.35,54.35,22,864,"""AAAA""",Florida State vs Alabama vs Mi,US,UN,1/12/2018
100 FL,54.60,54.60,22,854,"""AAAA""",Florida State vs Notre,US,UN,1/20/2018
100 FL,55.05,55.05,19,836,2018 Winter Juniors (SCY),2015 NI - Ob - NJCAA Swimming & Diving Champs,FL,UN,3/6/2015
100 FL,55.57,55.57,22,815,"""AAAA""",Florida State vs. ASU,FL,UN,10/28/2017
100 FL,55.58,55.58,19,814,2018 Winter Juniors (SCY),2014 Georgia Tech Fall Invitat,FL,UN,11/21/2014
100 FL,55.59,55.59,19,814,2018 Winter Juniors (SCY),2015 FL RATS Stanton C. Craigie Memori,FL,IRSC,2/8/2015
100 FL,55.69,55.69,22,810,2018 Winter Juniors (SCY),UF vs. FSU 010518,US,UN,1/5/2018
100 FL,56.10,56.10,19,794,"""AAAA""",2014 Georgia Tech Fall Invitat,FL,UN,11/21/2014
100 FL,56.78,56.78,22,766,2019 Futures,Duke vs Florida State vs Virgi,FL,UN,10/14/2017
100 FL,58.32,58.32,22,706,"""AA""",Florida State vs Minnesota,FL,UN,10/7/2017
100 FL,59.28,59.28,22,669,"""AA""",2017 All Florida Invitational,FL,UN,9/23/2017
200 FL,1:57.32,1:57.32,22,916,2019 Summer Nationals (LCM),2018 ACC Women's Championship,US,UN,2/17/2018
200 FL,1:57.41,1:57.41,22,915,2019 Summer Nationals (LCM),2018 NCAA DI Women's Swimming,US,UN,3/17/2018
200 FL,1:57.77,1:57.77,22,908,2019 Summer Nationals (LCM),2018 ACC Women's Championship,US,UN,2/17/2018
200 FL,1:58.51,1:58.51,21,895,2017 US Open,2017 NCAA DI Women's,FL,UN,3/18/2017
200 FL,1:58.53,1:58.53,21,895,2017 US Open,2017 ACC Women's Championship,FL,UN,2/16/2017
200 FL,1:59.74,1:59.74,22,874,2018 Winter Juniors (SCY),2017 Georgia Tech Fall Invitat,FL,UN,11/18/2017
200 FL,2:00.24,2:00.24,22,865,2018 Winter Juniors (SCY),2017 Georgia Tech Fall Invitat,FL,UN,11/18/2017
200 FL,2:00.25,2:00.25,21,865,2018 Winter Juniors (SCY),2017 ACC Women's Championship,FL,UN,2/16/2017
200 FL,2:01.14,2:01.14,20,850,2018 Winter Juniors (SCY),2016 FL NJCAA National Champs,FL,UN,3/4/2016
200 FL,2:01.20,2:01.20,20,849,2018 Winter Juniors (SCY),2016 FL RATS Stanton C. Craigie Invite,FL,IRSC,2/6/2016
200 FL,2:01.57,2:01.57,19,842,2018 Winter Juniors (SCY),2015 NI - Ob - NJCAA Swimming & Diving Champs,FL,UN,3/7/2015
200 FL,2:02.12,2:02.12,20,833,2018 Winter Juniors (SCY),2015 Georgia Tech Fall Invitat,FL,UN,11/21/2015
200 FL,2:02.15,2:02.15,20,832,2018 Winter Juniors (SCY),2016 FL NJCAA National Champs,FL,UN,3/4/2016
