Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR,20.48,20.48,21,843,2019 Summer Juniors (LCM),2018 American Ath. Conf. - Swi,US,UN,2/15/2018
50 FR,20.64,20.64,21,827,2018 Winter Juniors (SCY),2018 American Ath. Conf. - Swi,US,UN,2/15/2018
50 FR,20.64,20.64,20,827,2018 Winter Juniors (SCY),2017 American Ath. Conf. - Swi,US,UN,2/16/2017
50 FR,20.79,20.79,20,812,2018 Winter Juniors (SCY),2017 American Ath. Conf. - Swi,US,UN,2/16/2017
50 FR,21.24,21.24,18,768,"""AAAA""",2015 NI - Ob - NJCAA Swimming & Diving Champs,OR,UN,3/5/2015
50 FR,21.34,21.34,21,758,2019 Futures,2017 Georgia Tech Fall Invitat,US,UN,11/16/2017
50 FR,21.37,21.37,19,755,2019 Futures,2015 OR CAT Comfort Suites Ore,OR,UN,12/6/2015
50 FR,21.38r,21.38,18,754,2019 Futures,2015 NI - Ob - NJCAA Swimming & Diving Champs,OR,UN,3/5/2015
50 FR,21.44,21.44,20,749,"""AAA""",2016 Georgia Tech Fall Invitat,US,UN,11/17/2016
50 FR,21.45,21.45,19,748,"""AAA""",2015 OR CAT Comfort Suites Ore,OR,UN,12/6/2015
50 FR,21.45,21.45,19,748,"""AAA""",2016 PN 67th Annual Husky Invite,US,UN,1/22/2016
50 FR,21.56,21.56,18,737,"""AAA""",2015 NI - Ob - NJCAA Swimming & Diving Champs,OR,UN,3/5/2015
50 FR,21.83,21.83,21,711,"""AAA""",ECU v. UNCW,US,UN,10/28/2017
50 FR,22.14,22.14,21,681,"""AA""",ECU Quad Meet,US,UN,10/14/2017
50 FR,22.54,22.54,18,643,"""AA""",2014 OR Comfort Suites Corvallis Orego,WY,CHEY,12/6/2014
50 FR,22.54,22.54,18,643,"""AA""",2014 OR Comfort Suites Corvallis Orego,WY,CHEY,12/6/2014
50 FR,22.65,22.65,18,633,"""AA""",2015 OR Lebanon Invitational,OR,UN,1/17/2015
50 FR,22.78,22.78,18,621,"""AA""",2014 OR SCAT Invitational,WY,UN,11/9/2014
50 FR,23.21,23.21,17,597,"""AA""",2014 WY CHEY Super Sunday,WY,CHEY,2/16/2014
50 FR,23.74,23.74,16,576,"""AA""",2013 WY Winter Short Course Championships,WY,CHEY,3/1/2013
50 FR,23.76,23.76,16,575,"""AA""",2013 WY Winter Short Course Championships,WY,CHEY,3/1/2013
100 FR,45.81,45.81,21,793,"""AAAA""",2018 American Ath. Conf. - Swi,US,UN,2/17/2018
100 FR,45.94,45.94,21,786,"""AAAA""",2018 American Ath. Conf. - Swi,US,UN,2/17/2018
100 FR,45.95,45.95,20,785,"""AAAA""",2017 American Ath. Conf. - Swi,US,UN,2/18/2017
100 FR,46.81,46.81,17,763,"""AAA""",2014 WY 4A Boys High School Championships,WY,UN,2/28/2014
100 FR,46.99,46.99,19,731,"""AAA""",2015 OR CAT Comfort Suites Ore,OR,UN,12/4/2015
100 FR,47.21,47.21,20,720,"""AAA""",2016 Georgia Tech Fall Invitat,US,UN,11/19/2016
100 FR,47.48r,47.48,18,706,"""AAA""",2015 NI - Ob - NJCAA Swimming & Diving Champs,OR,UN,3/7/2015
100 FR,47.60,47.60,17,722,"""AAA""",2014 WY 4A Boys High School Championships,WY,UN,2/28/2014
100 FR,47.80r,47.80,17,712,"""AAA""",2014 WY 4A Boys High School Championships,WY,UN,2/28/2014
100 FR,47.83,47.83,21,689,"""AAA""",2017 Georgia Tech Fall Invitat,US,UN,11/18/2017
100 FR,48.16,48.16,17,694,"""AAA""",2014 PN Speedo Champions Series Western Region,WY,CHEY,3/12/2014
100 FR,48.35,48.35,21,663,"""AA""",East Carolina vs Old Dominion,US,UN,10/21/2017
100 FR,48.38,48.38,19,661,"""AAA""",2016 PN 67th Annual Husky Invite,US,UN,1/24/2016
100 FR,48.93,48.93,19,634,"""AA""",2015 OR CAT Comfort Suites Ore,OR,UN,12/4/2015
100 FR,49.03r,49.03,21,629,"""AA""",ECU Quad Meet,US,UN,10/14/2017
100 FR,49.55r,49.55,17,626,"""AA""",2014 PN Speedo Champions Series Western Region,WY,CHEY,3/15/2014
100 FR,49.57,49.57,18,603,"""AA""",2015 OR Lebanon Invitational,OR,UN,1/17/2015
100 FR,49.91,49.91,18,587,"""AA""",2014 OR SCAT Invitational,WY,UN,11/8/2014
100 FR,52.39,52.39,17,494,"""A""",2013  WY Gillette Girls & Boys High School Invite,WY,UN,10/12/2013
100 FR,54.40r,54.40,16,436,"""BB""",2013 WY Winter Short Course Championships,WY,CHEY,3/2/2013
200 FR,1:48.86,1:48.86,17,589,"""AA""",2014 PN Speedo Champions Series Western Region,WY,CHEY,3/12/2014
200 FR,1:49.36,1:48.16,16,596,"""AA""",2013 WY 4A Boys High School Championships,WY,UN,2/21/2013
200 FR,1:49.78,1:49.78,19,556,"""AA""",2015 OR CAT Comfort Suites Ore,OR,UN,12/5/2015
200 FR,1:51.60,1:50.40,16,545,"""AA""",2013 WY 4A Boys High School Championships,WY,UN,2/21/2013
200 FR,1:52.59,1:52.59,18,493,"""A""",2014 OR SCAT Invitational,WY,UN,11/7/2014
