Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
100 FR,47.93,47.93,19,684,"""AAA""","2013 HI ""Fall Season Kick-off""",HI,HAWA,9/14/2013
100 BK,56.32,56.32,19,553,"""A""","2013 HI ""Fall Season Kick-off""",HI,HAWA,9/14/2013
100 BR,1:03.42,1:03.42,19,572,"""AA""","2013 HI ""Fall Season Kick-off""",HI,HAWA,9/14/2013
100 FL,52.57,52.57,19,681,"""AAA""","2013 HI ""Fall Season Kick-off""",HI,HAWA,9/14/2013
100 IM,55.93,55.93,19,553,"""Slower than B""","2013 HI ""Fall Season Kick-off""",HI,HAWA,9/14/2013
200 FR,1:36.91,1:36.91,19,886,2019 Summer Juniors (LCM),2013 CA OBS Arena Invitational,HI,UN,11/21/2013
200 FR,1:39.17,1:39.17,19,824,2018 Winter Juniors (SCY),2013 CA OBS Arena Invitational,HI,UN,11/21/2013
500 FR,4:20.83,4:20.83,19,902,2019 Summer Nationals (LCM),2013 CA OBS Arena Invitational,HI,UN,11/21/2013
500 FR,4:25.97,4:25.97,19,850,2018 Winter Nationals (LCM),2013 CA OBS Arena Invitational,HI,UN,11/21/2013
1000 FR,9:12.70,9:12.70,19,876,2019 Summer Juniors (LCM),2013 CA OBS Arena Invitational,HI,UN,11/21/2013
1650 FR,15:15.14,15:15.14,19,897,2017 US Open,2013 CA OBS Arena Invitational,HI,UN,11/21/2013
200 FR,1:36.07,1:36.07,19,910,2017 US Open,2014 CA OBS MPSF Swim & Dive C,HI,UN,2/19/2014
200 FR,1:38.10,1:38.10,19,853,2019 Summer Juniors (LCM),2014 CA OBS MPSF Swim & Dive C,HI,UN,2/19/2014
500 FR,4:16.67,4:16.67,19,945,2017 US Open,2014 CA OBS MPSF Swim & Dive C,HI,UN,2/19/2014
500 FR,4:22.27,4:22.27,19,887,2018 Winter Nationals (LCM),2014 CA OBS MPSF Swim & Dive C,HI,UN,2/19/2014
1650 FR,14:52.10,14:52.10,19,958,2017 US Open,2014 CA OBS MPSF Swim & Dive C,HI,UN,2/19/2014
500 FR,4:23.20,4:23.20,19,878,2018 Winter Nationals (LCM),2014 NCAA Men's DiI,HI,UN,3/27/2014
1650 FR,15:14.71,15:14.71,19,898,2017 US Open,2014 NCAA Men's DiI,HI,UN,3/27/2014
200 FR,1:43.01,1:43.01,20,722,"""AAA""",2014 HI Senior Meet,HI,UN,10/3/2014
500 FR,4:36.36,4:36.36,20,748,2019 Futures,2014 HI Oahu Distance Meet,HI,UN,10/4/2014
500 FR,4:43.57,4:43.57,20,680,"""AAA""",Men's Swim & Dive - Hawaii @ C,HI,UN,10/17/2014
1000 FR,9:25.99,9:25.99,20,811,2019 Futures,Men's Swim & Dive - Hawaii @ C,HI,UN,10/17/2014
500 FR,4:35.93,4:35.93,20,752,"""AAAA""",Hawaii  @ Stanford Men,HI,UN,10/18/2014
1650 FR,15:32.83,15:32.83,20,851,2018 Winter Nationals (LCM),Hawaii  @ Stanford Men,HI,UN,10/18/2014
500 FR,4:20.96,4:20.96,20,901,2018 Winter Nationals (LCM),2014 HI Swimming Senior SCY Ch,HI,UN,11/15/2014
500 FR,4:33.31,4:33.31,20,777,"""AAAA""",2014 HI Swimming Senior SCY Ch,HI,UN,11/15/2014
200 FR,1:37.51,1:37.51,20,869,2019 Summer Juniors (LCM),2014 HI Swimming Senior SCY Ch,HI,UN,11/16/2014
200 FR,1:41.67,1:41.67,20,757,2019 Futures,2014 HI Swimming Senior SCY Ch,HI,UN,11/16/2014
100 FL,53.23,53.23,20,651,"""AA""",2014 HI Swimming Senior SCY Ch,HI,UN,11/16/2014
500 FR,4:20.22,4:20.22,20,908,2019 Summer Nationals (LCM),Texas Swimming & Diving Hall o,HI,UN,12/4/2014
500 FR,4:23.40,4:23.40,20,876,2018 Winter Nationals (LCM),Texas Swimming & Diving Hall o,HI,UN,12/4/2014
200 FR,1:37.31r,1:37.31,20,875,2019 Summer Juniors (LCM),Texas Swimming & Diving Hall o,HI,UN,12/5/2014
200 FR,1:39.33,1:39.33,20,819,2018 Winter Juniors (SCY),Texas Swimming & Diving Hall o,HI,UN,12/5/2014
1650 FR,15:08.69,15:08.69,20,914,2019 Summer Nationals (LCM),Texas Swimming & Diving Hall o,HI,UN,12/6/2014
500 FR,4:18.22,4:18.22,20,929,2019 Summer Nationals (LCM),2015 MPSF Swim & Dive Champs,US,UN,2/19/2015
500 FR,4:25.02,4:25.02,20,859,2018 Winter Nationals (LCM),2015 MPSF Swim & Dive Champs,US,UN,2/19/2015
200 FR,1:36.50,1:36.50,20,898,2019 Summer Juniors (LCM),2015 MPSF Swim & Dive Champs,US,UN,2/20/2015
200 FR,1:38.74,1:38.74,20,836,2019 Summer Juniors (LCM),2015 MPSF Swim & Dive Champs,US,UN,2/20/2015
1650 FR,15:04.89,15:04.89,20,924,2019 Summer Nationals (LCM),2015 MPSF Swim & Dive Champs,US,UN,2/21/2015
500 FR,4:26.54,4:26.54,21,844,2018 Winter Nationals (LCM),2015 HI Senior Meet,HI,UN,10/2/2015
400 IM,4:01.38,4:01.38,21,794,"""AAAA""",2015 HI Senior Meet,HI,UN,10/3/2015
1650 FR,15:45.71,15:45.71,22,818,2018 Winter Juniors (SCY),North Carolina State  vs Minnesota,HI,UN,10/21/2016
200 FL,2:03.29,2:03.29,22,569,"""A""",North Carolina State  vs Minnesota,HI,UN,10/21/2016
500 FR,4:35.84,4:35.84,22,753,2019 Futures,North Carolina State  vs Minnesota,HI,UN,10/22/2016
200 FR,1:40.18,1:40.18,22,797,2018 Winter Juniors (SCY),Wisconsin vs UGA,HI,UN,11/4/2016
1000 FR,9:12.41,9:12.41,22,877,2019 Summer Juniors (LCM),Wisconsin vs UGA,HI,UN,11/4/2016
500 FR,4:33.41,4:33.41,22,776,"""AAAA""",Wisconsin vs UGA,HI,UN,11/5/2016
500 FR,4:21.85,4:21.85,22,891,2017 US Open,Texas Hall of Fame Swimming In,HI,UN,12/1/2016
500 FR,4:22.20,4:22.20,22,888,2017 US Open,Texas Hall of Fame Swimming In,HI,UN,12/1/2016
200 FR,1:38.08,1:38.08,22,854,2019 Summer Juniors (LCM),Texas Hall of Fame Swimming In,HI,UN,12/2/2016
200 FR,1:39.74,1:39.74,22,808,2018 Winter Juniors (SCY),Texas Hall of Fame Swimming In,HI,UN,12/2/2016
400 IM,3:59.33,3:59.33,22,815,2018 Winter Juniors (SCY),Texas Hall of Fame Swimming In,HI,UN,12/2/2016
1650 FR,14:59.27,14:59.27,22,939,2019 Summer Nationals (LCM),Texas Hall of Fame Swimming In,HI,UN,12/3/2016
500 FR,4:28.53,4:28.53,22,824,2018 Winter Nationals (LCM),USC vs Wisconsin (M & W),US,UN,1/13/2017
1000 FR,9:17.47,9:17.47,22,852,2018 Winter Juniors (SCY),USC vs Wisconsin (M & W),US,UN,1/13/2017
500 FR,4:25.06,4:25.06,22,859,2018 Winter Nationals (LCM),Shamrock Invite 2017,US,UN,1/27/2017
100 FR,46.68,46.68,22,747,"""AAA""",Shamrock Invite 2017,US,UN,1/28/2017
200 FR,1:41.28,1:41.28,22,767,2019 Futures,Shamrock Invite 2017,US,UN,1/28/2017
200 FR,1:42.65r,1:42.65,22,731,"""AAA""",Shamrock Invite 2017,US,UN,1/28/2017
500 FR,4:17.12,4:17.12,22,940,2019 Summer Nationals (LCM),2017 MEN'S B1G,US,UN,2/23/2017
500 FR,4:18.55,4:18.55,22,925,2019 Summer Nationals (LCM),2017 MEN'S B1G,US,UN,2/23/2017
200 FR,1:35.94,1:35.94,22,914,2019 Summer Nationals (LCM),2017 MEN'S B1G,US,UN,2/24/2017
200 FR,1:37.52,1:37.52,22,869,2019 Summer Juniors (LCM),2017 MEN'S B1G,US,UN,2/24/2017
1650 FR,14:50.59,14:50.59,22,962,2019 Summer Nationals (LCM),2017 MEN'S B1G,US,UN,2/25/2017
500 FR,4:20.52,4:20.52,22,905,2017 US Open,2017 NCAA DI Men's,US,UN,3/23/2017
1650 FR,15:00.67,15:00.67,22,935,2019 Summer Nationals (LCM),2017 NCAA DI Men's,US,UN,3/25/2017
1000 FR,9:24.05,9:24.05,23,821,2018 Winter Juniors (SCY),Auburn vs Tennessee vs Wiscons,WI,UN,10/13/2017
200 FL,1:58.12,1:58.12,23,668,"""AA""",Auburn vs Tennessee vs Wiscons,WI,UN,10/13/2017
200 FR,1:42.59,1:42.59,23,733,"""AAA""",Auburn vs Tennessee vs Wiscons,WI,UN,10/14/2017
500 FR,4:32.92,4:32.92,23,781,"""AAAA""",Auburn vs Tennessee vs Wiscons,WI,UN,10/14/2017
500 FR,4:39.42,4:39.42,23,719,"""AAA""",Wisconsin vs. Georgia,WI,UN,10/19/2017
1000 FR,9:21.08,9:21.08,23,835,2018 Winter Juniors (SCY),Wisconsin vs. Georgia,WI,UN,10/19/2017
200 FR,1:42.95,1:42.95,23,724,"""AAA""",Wisconsin vs. NC State,WI,UN,10/27/2017
1000 FR,9:17.79,9:17.79,23,851,2018 Winter Juniors (SCY),Wisconsin vs. NC State,WI,UN,10/27/2017
500 FR,4:34.29,4:34.29,23,768,"""AAAA""",Wisconsin vs. NC State,WI,UN,10/28/2017
400 IM,4:07.90,4:07.90,23,728,"""AAA""",Wisconsin vs. NC State,WI,UN,10/28/2017
500 FR,4:29.37,4:29.37,23,816,2018 Winter Juniors (SCY),Univeristy of Minnesota Quad D,WI,UN,11/3/2017
200 FR,1:42.50,1:42.50,23,735,"""AAA""",Univeristy of Minnesota Quad D,WI,UN,11/4/2017
1000 FR,9:20.86,9:20.86,23,836,2018 Winter Juniors (SCY),Univeristy of Minnesota Quad D,WI,UN,11/4/2017
200 FR,1:42.63,1:42.63,23,732,"""AAA""",UWGB VS UW-Madison Fri-10Nov20,WI,UN,11/10/2017
500 FR,4:34.00,4:34.00,23,771,"""AAAA""",UWGB VS UW-Madison Fri-10Nov20,WI,UN,11/10/2017
500 FR,4:33.36,4:33.36,23,777,"""AAAA""",Northwestern vs Wisconsin,WI,UN,11/11/2017
1000 FR,9:15.15,9:15.15,23,864,2018 Winter Nationals (LCM),Northwestern vs Wisconsin,WI,UN,11/11/2017
500 FR,4:23.81,4:23.81,23,871,2019 Summer Juniors (LCM),Texas Hall of Fame Swimming In,WI,UN,11/30/2017
500 FR,4:24.68,4:24.68,23,863,2019 Summer Juniors (LCM),Texas Hall of Fame Swimming In,WI,UN,11/30/2017
200 FR,1:37.41,1:37.41,23,872,2017 US Open,Texas Hall of Fame Swimming In,WI,UN,12/1/2017
200 FR,1:38.52,1:38.52,23,842,2018 Winter Nationals (LCM),Texas Hall of Fame Swimming In,WI,UN,12/1/2017
100 FR,45.67,45.67,23,800,"""AAAA""",Texas Hall of Fame Swimming In,WI,UN,12/2/2017
1650 FR,15:04.44,15:04.44,23,925,2019 Summer Nationals (LCM),Texas Hall of Fame Swimming In,WI,UN,12/2/2017
100 FR,47.02r,47.02,23,730,"""AAA""",USC v Wisconsin,US,UN,1/15/2018
500 FR,4:27.85,4:27.85,23,831,2019 Summer Juniors (LCM),USC v Wisconsin,US,UN,1/15/2018
