Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
100 BK,58.98,58.98,18,720,"""AAA""",Art Adamson Invitational,AZ,UN,11/21/2014
100 BK,1:00.60,1:00.60,19,653,"""AA""",GCU v. Seattle/LMU,AZ,UN,10/23/2015
100 BK,1:00.77r,1:00.77,18,646,"""AA""",GCU v. North Dakota,AZ,UN,1/10/2015
100 BK,1:00.91,1:00.91,18,640,"""AA""",GCU v. North Dakota,AZ,UN,1/10/2015
100 BK,1:01.33,1:01.33,18,623,"""AA""",GCU v. North Dakota v. Norther,AZ,UN,1/9/2015
200 BK,2:17.26,2:17.26,19,551,"""A""",GCU v. Seattle/LMU,AZ,UN,10/24/2015
50 BR,31.47,31.47,19,702,"""Slower than B""",2015 Northwestern TYR Invitati,AZ,UN,11/20/2015
50 BR,31.74,31.74,19,682,"""Slower than B""",2015 Northwestern TYR Invitati,AZ,UN,11/20/2015
100 BR,1:07.25,1:07.25,19,702,"""AAA""",GCU v. Seattle/LMU,AZ,UN,10/23/2015
100 BR,1:07.30,1:07.30,20,700,"""AAA""",2016 Georgia Tech Fall Invitat,AZ,UN,11/18/2016
100 BR,1:08.00,1:08.00,21,677,"""AA""",ECU v. South Carolina,US,UN,1/13/2018
100 BR,1:08.47,1:08.47,21,661,"""AA""",2018 South Carolina Winter Inv,US,UN,1/26/2018
100 BR,1:08.65,1:08.65,21,656,"""AA""",Navy vs ECU 2017,US,UN,10/6/2017
100 BR,1:08.66,1:08.66,21,655,"""AA""",ECU v. UNCW,US,UN,10/28/2017
100 BR,1:08.91,1:08.91,21,647,"""AA""",East Carolina vs Old Dominion,US,UN,10/21/2017
100 BR,1:10.22,1:10.22,21,605,"""AA""",2018 ECU vs VMI vs UMBC,US,UN,1/20/2018
200 BR,2:17.30,2:17.30,19,826,2018 Winter Juniors (SCY),CSCAA Collegiste Classic,AZ,UN,3/25/2015
200 BR,2:18.03,2:18.03,20,815,"""AAAA""",2016 Georgia Tech Fall Invitat,AZ,UN,11/19/2016
200 BR,2:18.79,2:18.79,19,803,2018 Winter Juniors (SCY),CSCAA Collegiste Classic,AZ,UN,3/25/2015
200 BR,2:19.45,2:19.45,19,793,2018 Winter Juniors (SCY),2015 Northwestern TYR Invitati,AZ,UN,11/22/2015
200 BR,2:19.45,2:19.45,22,793,2018 Winter Juniors (SCY),2018 American Ath. Conf. - Swi,US,UN,2/17/2018
200 BR,2:19.83,2:19.83,22,787,2019 Futures,2018 American Ath. Conf. - Swi,US,UN,2/17/2018
200 BR,2:20.27,2:20.27,20,780,2019 Futures,2016 Georgia Tech Fall Invitat,AZ,UN,11/19/2016
200 BR,2:20.58,2:20.58,20,775,2019 Futures,2016 WAC Swimming & Diving Cha,AZ,UN,2/27/2016
